Decade2,count,mean,std,min,5%,50%,95%,max
1,40.0,5.166045818149998,41.19406520132992,-52.3872679,-46.430321897,-0.281470398,89.61887408799994,130.7692308
2,31.0,10.874698027677418,45.93588931268533,-77.56642512,-60.55684668,12.77978339,71.26095720000001,147.3684211
3,31.0,20.728876214193555,33.017208673870925,-36.90265487,-20.70344205,23.57352462,60.715863085,118.0555556
4,2.0,-13.0107125485,16.879266398028243,-24.94615628,-23.752611906849996,-13.0107125485,-2.2688131901500013,-1.075268817
5,901.0,-10.209444492855724,18.204639036793928,-85.86206897,-38.58175425,-10.66666667,15.87301587,93.37979094
6,292.0,2.7275846097945182,32.112351639734605,-86.64546057,-34.2321637405,-0.720077362,55.21978022449999,231.1258278
