FunctionalClass,count,mean,std,min,5%,50%,95%,max
1,434.0,-9.212388800746435,13.579035805775272,-89.21461044050791,-27.808573502825876,-8.481931779804121,10.443545396687984,41.58730158730159
3,837.0,-9.634365046819234,19.376955875255447,-83.4510595358224,-37.50570426941439,-10.890269151138716,23.9520515770495,93.37979094076655
4,404.0,-8.257508426534137,24.541143082548416,-74.56315789473685,-41.50250081929025,-10.243237951848757,29.258462793370633,146.66666666666666
5,258.0,-10.805694120327013,26.92168640852713,-85.86206896551724,-51.10516512283528,-11.098914789178284,23.849206349206344,146.46464646464648
6,19.0,-12.744983401626309,24.295610549157125,-44.680851063829785,-41.432370820668694,-8.661417322834646,28.576172685761673,51.515151515151516
7,1.0,46.666666666666664,,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664
8,1958.0,10.688989345436113,53.67104541205711,-92.74193548387096,-48.75,2.684684684684685,86.20926026197851,1246.1538461538462
