FunctionalClass,count,mean,std,min,5%,50%,95%,max
1,546.0,-7.425612348723442,13.2900323727324,-89.21461044,-26.619647342500002,-5.768269034499999,10.743910832500001,41.58730159
3,960.0,-9.299904668597918,19.899999627660698,-87.42072409,-38.5990653515,-9.889897529999999,23.913840466499988,94.64907317
4,453.0,-7.92620352563576,23.970935739619293,-74.56315789,-40.501565393999996,-10.07194245,28.894738793999977,146.66666669999998
5,310.0,-10.571768301945172,25.091157053247514,-85.86206897,-49.918447596,-10.05750671,19.843447319500036,146.46464650000001
6,22.0,-13.69648261213636,22.774833829005775,-44.68085106,-40.766412055,-15.024579445,25.495258165999992,51.51515152
7,1.0,46.66666667,,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
8,1514.0,9.505071351331582,41.61568383711226,-92.74193548,-50.61307902,3.512014787,86.16144975,147.61904760000002
