YearForecastProduced,MeanAbsPE
0.0,35.23558823529412
1962.0,89.29625000000001
1963.0,43.35
1964.0,34.47999999999999
1965.0,14.685555555555554
1966.0,48.776666666666664
1967.0,25.838823529411766
1968.0,23.74977272727273
1969.0,15.013448275862068
1970.0,35.96537499999998
1971.0,26.93234848484848
1972.0,36.89
1974.0,54.48105263157894
1978.0,43.546037735849055
1979.0,44.016913580246886
1980.0,40.741372549019616
1981.0,58.424117647058836
1982.0,46.88817391304345
1983.0,40.67551724137933
1984.0,23.397083333333338
1985.0,29.066538461538464
1986.0,13.936799999999998
1987.0,23.83623076923078
1989.0,23.536250000000003
1991.0,8.88
1999.0,28.395
2001.0,14.957999999999998
2002.0,22.813124999999996
2003.0,16.76304964539008
2004.0,22.411694915254238
2005.0,19.407247191011233
2006.0,18.409168900804296
2007.0,16.234289940828397
2008.0,16.493376205787786
2009.0,14.339195804195802
2010.0,12.495294117647076
2011.0,11.002903225806453
2012.0,14.317878787878792
2013.0,15.818181818181818
2014.0,2.8833333333333333
