Forecast_Method,count,mean,std,min,5%,50%,95%,max
1.0,257.0,0.050839666019455165,31.079312128633003,-77.56642512,-39.208614938000004,-5.171845109,54.70338935199999,147.3684211
2.0,7.0,-2.180435745,13.559361340652949,-16.99604743,-16.425535087,-0.346620451,13.886645962,14.02173913
4.0,174.0,-8.510548993637933,22.039892981900017,-85.86206897,-45.073876551,-9.840109809000001,27.170027025000003,90.74074074
5.0,179.0,-12.41967627407263,20.68805975173175,-86.64546057,-47.726516901,-12.06896552,18.505904578,65.64308682
6.0,679.0,-5.189124430759941,24.531537265570446,-68.82352941,-34.435991693,-6.446386809,31.711711710000042,231.1258278
