UnifiedImprovementType,Forecast_Method,count,mean,std,min,25%,50%,75%,max
1,1.0,67.0,17.040787445,15.370396436471841,0.436681223,6.3399130145,13.37209302,25.237068275,93.37979094
1,2.0,5.0,9.6445615694,6.816434996802917,0.346620451,4.395604396,13.57142857,14.81481481,15.09433962
1,4.0,106.0,17.089051876792453,14.774178672134019,0.0,6.21903235225,13.889157149999999,23.6398847075,63.75545852
1,5.0,139.0,18.55727671285612,15.41529218098838,0.639377537,8.091416210999999,14.28571429,23.876561764999998,83.42142857
1,6.0,471.0,13.47426797067729,12.83158599501514,0.0,3.97127579,10.75656202,19.53490556,118.3622829
2,4.0,1.0,6.227206419,,6.227206419,6.227206419,6.227206419,6.227206419,6.227206419
2,6.0,28.0,11.384003901714289,8.64735610696211,0.521221147,3.9560078565000003,10.168056983,17.114899895,34.38324165
3,1.0,190.0,23.866271894978944,23.458265794521004,0.598802395,8.251409037,16.307579405,34.9763462625,147.3684211
3,2.0,2.0,15.50889328,2.1031535682694327,14.02173913,14.765316205000001,15.50889328,16.252470355,16.99604743
3,4.0,67.0,17.494478110686575,18.348182051423798,0.213675214,5.4148223625,12.54752852,20.547153385,90.74074074
3,5.0,40.0,17.8279275556,16.345171937770424,2.578796562,5.84170693275,15.114430925,23.048878965,86.64546057
3,6.0,180.0,22.88316248248334,30.22268534550331,0.0,5.7574500465,13.06509377,28.197681877500003,231.1258278
