TrafficForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",359.0,14.043917286114318,91.63251459007058,-85.86206896551724,-44.78130692531399,-2.2222222222222223,106.91146535990782,1246.1538461538462
"(3000, 6000]",419.0,3.902613165983848,38.90708433938143,-84.41558441558442,-40.029244521326895,-3.3333333333333335,83.78378378378379,264.109727917221
"(6000, 9000]",394.0,-2.7802375759861477,33.06360795172784,-92.74193548387096,-47.90257048092869,-8.928571428571429,57.47126436781609,178.07074211857642
"(9000, 13000]",465.0,-2.5374434737106917,30.114848549013754,-83.4510595358224,-44.485564304461946,-6.0344827586206895,54.97975708502018,96.28099173553719
"(13000, 17000]",353.0,-0.20036763389287016,34.489239834223895,-83.42142857142858,-49.5609756097561,-3.3379694019471486,76.88160676532759,108.82352941176471
"(17000, 22000]",360.0,-5.212952885940558,34.66553463835168,-74.56315789473685,-51.54494382022472,-10.397910586324471,65.85365853658537,147.3684210526316
"(22000, 30000]",415.0,3.8746093887673165,37.20139554107508,-65.73281626103235,-47.3960534804565,-3.5714285714285716,77.7762405460247,117.79254337393873
"(30000, 40000]",386.0,-0.1721976074520624,35.226183013274664,-80.56426332288402,-44.64086776612887,-7.920648603659171,72.84196694202674,119.6969696969697
"(40000, 60000]",410.0,2.562275577306791,26.337027969323845,-89.21461044050791,-32.557737718136266,-0.892102544839891,53.46534653465346,87.57327080890973
"(60000, 717000]",350.0,-7.139316701655228,14.984457365041333,-66.27647714604237,-28.418851411126823,-6.4024849337645495,17.50474283185642,64.22764227642277
