FunctionalClass,ForecastMethodology,count,mean,std,min,5%,50%,95%,max
1,1,22.0,11.933930365318183,8.53285498047678,1.257861635,1.7065452818500002,9.645226813,29.009865120999994,34.44444444
1,4,29.0,8.67587666710345,9.218072753224304,0.35335689,0.4027856202,6.25,20.254166667999993,47.54098361
1,5,2.0,41.624379635,30.22346220345734,20.25316456,22.3902860675,41.624379635,60.858473202499994,62.99559471
1,6,493.0,10.69735048285194,10.701827792758106,0.0,0.011844231,7.99104961,27.348219086,89.21461044
3,1,175.0,15.361794411457138,13.980554544384589,0.0,0.7720141343,11.11111111,39.894336430999985,93.37979094
3,2,2.0,7.091976353,8.59381933348599,1.015228426,1.6229032186999999,7.091976353,12.5610494873,13.16872428
3,4,176.0,17.14342950392046,13.18542705669207,0.0,1.9854368932500002,14.28571429,42.682883315,75.0
3,5,79.0,17.08151056913924,16.065626519455545,0.704225352,1.3462117532,12.12121212,46.364626173,87.42072409
3,6,529.0,16.968192392527424,14.421528739752823,0.0,0.05282992940000002,13.98385639,42.90332201,94.64907317
4,1,77.0,19.224938764844158,14.154200272136809,0.0,1.0612328278,16.36363636,46.97040208200002,60.60606061
4,2,3.0,14.493527666666665,0.8106994436327778,13.57142857,13.695767194,14.81481481,15.066387139,15.09433962
4,4,63.0,17.829912452333332,21.20498291003995,0.0,0.06802721090000007,15.15151515,53.188505743999976,146.66666669999998
4,5,22.0,20.010768036136366,20.23516171608566,1.515151515,3.29166666645,9.9077898395,57.86992521399999,64.41441441
4,6,288.0,18.209163715416683,17.011683902759724,0.0,0.31362672825000054,14.703908895,50.156615053499976,118.36228290000001
5,1,33.0,18.833404176424246,19.526687924513833,0.0,3.4505494504,11.53846154,42.62626262399999,106.8965517
5,4,24.0,21.135020534916666,21.143723600321504,0.0,0.41666666670000035,13.43243243,56.29861111349998,85.86206897
5,6,253.0,18.610241638059282,19.58384207923112,0.0,0.11965514380000006,13.75545852,54.577762876,146.46464650000001
6,1,7.0,23.778069067428568,19.264983229191056,2.222222222,2.8599033815,26.95652174,48.382034635,51.51515152
6,4,1.0,44.68085106,,44.68085106,44.68085106,44.68085106,44.68085106,44.68085106
6,6,14.0,19.717829375357137,10.360884752968964,4.277594975,6.55162459065,20.35642517,33.4819369015,34.97109827
7,1,1.0,46.66666667,,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
8,1,1342.0,34.43746675856936,28.25734425995456,0.0,1.736111111,29.836531264999998,92.30769231,147.61904760000002
8,2,2.0,8.6713339405,11.772922719721155,0.346620451,1.1790917999500001,8.6713339405,16.16357608105,16.99604743
8,4,70.0,17.75930549224286,12.83680813901784,1.123595506,1.5424222796000002,14.774394715,41.6873065035,46.26865672
8,5,94.0,19.6650322049468,15.551945898922321,0.645374449,2.69785248515,16.00393497,47.9758522745,83.42142857
8,6,6.0,13.881687751166666,14.633199600068718,0.649350649,1.14867250025,9.203594672,34.362254355000005,37.93103448
