InternalProjectID,AverageForecast,AverageCount,Forecast_Method,AbsPE,PercentError,UnifiedImprovementType,Error
5,19300,16800,1,12.9533679,-12.9533679,6,2500
8,9700,9112,1,6.0618557,-6.0618557,6,588
9,31000,32405,4,4.5322581,4.5322581,6,-1405
11,15900,15600,1,1.8867925,-1.8867925,6,300
14,45900,55526,6,20.9716776,20.9716776,6,-9626
15,67300,68726,6,2.1188707,2.1188707,6,-1426
18,4300,7584,6,76.372093,76.372093,6,-3284
22,7500,8300,6,10.6666667,10.6666667,6,-800
23,9800,21932,6,123.7959184,123.7959184,6,-12132
25,17500,14200,6,18.8571429,-18.8571429,6,3300
30,21100,22319,5,5.7772512,5.7772512,6,-1219
31,30600,29547,5,3.4411765,-3.4411765,6,1053
32,45000,44600,6,0.8888889,-0.8888889,6,400
33,11000,15100,6,37.2727273,37.2727273,6,-4100
34,10000,18200,6,82,82,6,-8200
35,2700,4200,6,55.5555556,55.5555556,6,-1500
36,17000,20000,6,17.6470588,17.6470588,6,-3000
37,20000,11500,6,42.5,-42.5,6,8500
38,7750,7500,6,3.2258065,-3.2258065,6,250
39,12500,12800,6,2.4,2.4,6,-300
40,5400,6306,6,16.7777778,16.7777778,6,-906
41,11100,14600,6,31.5315315,31.5315315,6,-3500
42,2300,3660,6,59.1304348,59.1304348,6,-1360
43,7000,6200,6,11.4285714,-11.4285714,6,800
44,1300,2700,6,107.6923077,107.6923077,6,-1400
45,11200,15395,6,37.4553571,37.4553571,6,-4195
46,10000,14731,6,47.31,47.31,6,-4731
47,30000,48861,6,62.87,62.87,6,-18861
48,3500,4350,6,24.2857143,24.2857143,6,-850
49,5400,3900,6,27.7777778,-27.7777778,6,1500
50,6000,8000,6,33.3333333,33.3333333,6,-2000
51,2000,2100,6,5,5,6,-100
52,2000,3310,6,65.5,65.5,6,-1310
53,4000,3400,6,15,-15,6,600
54,20000,24600,6,23,23,6,-4600
55,8000,12200,6,52.5,52.5,6,-4200
56,3000,3800,6,26.6666667,26.6666667,6,-800
57,3000,4100,6,36.6666667,36.6666667,6,-1100
58,11500,16000,6,39.1304348,39.1304348,6,-4500
59,12000,14350,6,19.5833333,19.5833333,6,-2350
60,4300,8200,6,90.6976744,90.6976744,6,-3900
61,1000,1700,6,70,70,6,-700
62,5500,8600,6,56.3636364,56.3636364,6,-3100
63,6500,6900,6,6.1538462,6.1538462,6,-400
64,4100,4400,6,7.3170732,7.3170732,6,-300
65,480,728,6,51.6666667,51.6666667,6,-248
66,8800,8322,6,5.4318182,-5.4318182,6,478
67,19000,19410,6,2.1578947,2.1578947,6,-410
68,14600,13708,6,6.109589,-6.109589,6,892
69,13700,13412,6,2.1021898,-2.1021898,6,288
70,11100,12000,6,8.1081081,8.1081081,6,-900
71,35000,26700,6,23.7142857,-23.7142857,6,8300
72,10130,10901,6,7.6110563,7.6110563,6,-771
73,1355,1486,6,9.6678967,9.6678967,6,-131
74,46800,49500,6,5.7692308,5.7692308,6,-2700
75,755,2500,6,231.1258278,231.1258278,6,-1745
76,4200,3986,6,5.0952381,-5.0952381,6,214
77,88900,67000,6,24.6344207,-24.6344207,6,21900
78,5700,5023,6,11.877193,-11.877193,6,677
79,11400,12752,6,11.8596491,11.8596491,6,-1352
80,22000,32500,6,47.7272727,47.7272727,6,-10500
81,16000,17200,6,7.5,7.5,6,-1200
82,11000,12000,6,9.0909091,9.0909091,6,-1000
83,20700,19466,6,5.9613527,-5.9613527,6,1234
84,4150,3881,6,6.4819277,-6.4819277,6,269
85,2000,6470,6,223.5,223.5,6,-4470
86,900,1000,6,11.1111111,11.1111111,6,-100
87,100,100,6,0,0,6,0
88,82700,67030,6,18.9480048,-18.9480048,6,15670
89,46000,37620,6,18.2173913,-18.2173913,6,8380
91,13280,9200,6,30.7228916,-30.7228916,6,4080
92,15500,14900,6,3.8709677,-3.8709677,6,600
93,86000,103900,6,20.8139535,20.8139535,6,-17900
95,24930,23980,6,3.8106699,-3.8106699,6,950
96,5634,5320,6,5.5733049,-5.5733049,6,314
97,16216,15180,6,6.3887519,-6.3887519,6,1036
98,15500,14840,6,4.2580645,-4.2580645,6,660
99,38295,43910,6,14.6624886,14.6624886,6,-5615
100,6984,6520,6,6.6437572,-6.6437572,6,464
107,21500,20850,6,3.0232558,-3.0232558,6,650
112,27700,19750,6,28.700361,-28.700361,6,7950
117,,,6,27.2727273,-27.2727273,6,0
125,7300,11700,6,60.2739726,60.2739726,6,-4400
136,18200,28200,6,54.9450549,54.9450549,6,-10000
152,175866,156091,6,11.2443565,-11.2443565,6,19775
158,,,6,13,13,6,0
164,154100,149700,6,2.8552888,-2.8552888,6,4400
174,254538,242055,6,4.9041793,-4.9041793,6,12483
179,16000,19500,6,21.875,21.875,6,-3500
184,25000,23500,6,6,-6,6,1500
199,74600,81200,6,8.847185,8.847185,6,-6600
206,,,6,100,100,6,0
215,40850,40400,6,1.1015912,-1.1015912,6,450
221,32250,27600,6,14.4186047,-14.4186047,6,4650
225,47708,53900,6,12.9789553,12.9789553,6,-6192
238,109000,109900,6,0.8256881,0.8256881,6,-900
247,59658,88197,6,47.8376747,47.8376747,6,-28539
252,28400,20400,6,28.1690141,-28.1690141,6,8000
260,50691,69309,6,36.7284133,36.7284133,6,-18618
264,34992,52613,6,50.3572245,50.3572245,6,-17621
271,24880,32550,6,30.8279743,30.8279743,6,-7670
284,101390,85902,6,15.2756682,-15.2756682,6,15488
292,30400,32400,6,6.5789474,6.5789474,6,-2000
299,30400,31700,6,4.2763158,4.2763158,6,-1300
304,27500,26500,6,3.6363636,-3.6363636,6,1000
315,105938,105354,6,0.5512658,-0.5512658,6,584
321,1600,2206,6,37.875,37.875,6,-606
331,24600,33600,6,36.5853659,36.5853659,6,-9000
347,159120,114115,6,28.2836853,-28.2836853,6,45005
353,70800,60200,6,14.9717514,-14.9717514,6,10600
357,57100,62900,6,10.1576182,10.1576182,6,-5800
360,146158,130932,6,10.4174934,-10.4174934,6,15226
362,50600,43600,6,13.8339921,-13.8339921,6,7000
366,151744,143361,6,5.5244359,-5.5244359,6,8383
381,703950,554300,6,21.2586121,-21.2586121,6,149650
392,717000,727650,6,1.4853556,1.4853556,6,-10650
409,256500,278100,6,8.4210526,8.4210526,6,-21600
413,298000,254000,6,14.7651007,-14.7651007,6,44000
