Diff_Year,count,unique,top,freq
0.0,52,50,0,3
1.0,201,199,-22.4428625,2
2.0,340,332,0,5
3.0,250,246,-38.71569411,2
4.0,130,130,-16.72686991,1
5.0,67,67,-18.10774106,1
6.0,25,25,-58.72093023,1
7.0,3,3,-10.83303107,1
8.0,3,3,-25.47169811,1
9.0,1,1,-10.75919042,1
10.5,1,1,-12.23248149,1
11.0,2,2,-17.01452962,1
13.0,4,4,23.57352462,1
14.0,11,11,-20.84805654,1
15.0,14,14,-8.312958435,1
16.0,5,5,-2.442613302,1
17.0,5,5,11.19266055,1
18.0,4,4,-9.775641026,1
19.0,6,6,1.339285714,1
20.0,9,9,80.37238169,1
21.0,7,7,2.025107048,1
22.0,7,7,-12.99477222,1
23.0,8,8,147.3684211,1
24.0,7,7,5.263157895,1
25.0,8,8,42.64705882,1
