AverageForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",138.0,24.90740245451449,34.04438387787319,0.0,0.19634814490000002,13.651651704999999,84.23382539200001,231.1258278
"(3000, 6000]",131.0,20.371243418152684,22.482281110191476,0.0,0.761376694,12.06896552,60.139242894999995,118.3622829
"(6000, 9000]",116.0,15.536259469189652,13.20973861945569,0.0,0.845091489,12.198788875,40.58797365,60.2739726
"(9000, 13000]",142.0,17.354977413309857,17.105172852038002,0.0,1.14639698405,12.72913257,42.66881020249999,123.7959184
"(13000, 17000]",140.0,17.399841046385728,13.617952420638346,0.028280543,0.8569512506,15.555635689999999,40.66419991849998,83.42142857
"(17000, 22000]",116.0,18.23465466785345,19.03541964955769,0.005099699,2.51351059925,12.672399055,54.27340988,147.3684211
"(22000, 30000]",134.0,20.177244902597018,17.50722776654894,0.025844245,1.22077463905,14.825388795,62.40169626149999,93.37979094
"(30000, 40000]",121.0,16.54570529352066,15.293718730256819,0.315789474,1.5625,13.32026144,47.72727273,86.64546057
"(40000, 60000]",143.0,13.62715646274825,12.976851776003405,0.003121001,0.3572676992,10.72423996,36.637571997,77.56642512
"(60000, 717000]",116.0,10.829875869043107,9.207963972918606,0.00129234,0.1669329175,9.0108046445,27.54702432,47.72643292
