,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError
,count,mean,std,min,5%,50%,95%,max,count,mean,std,min,5%,50%,95%,max
Decade_Opening,,,,,,,,,,,,,,,,
1,92.0,30.137176640880426,26.73156779711258,0.955497382,2.26952693175,25.25211263,89.487584333,130.7692308,92.0,12.975290939880438,38.24393586933405,-77.56642512,-43.71272447850001,9.635307508,89.487584333,130.7692308
2,72.0,28.092318831888885,38.654678528312154,0.285477673,2.5758983169,16.292396625000002,63.8386053225,227.6024741,72.0,15.831540392472224,45.16979033214062,-63.91484943,-28.6634918255,3.737295593,62.881543691500006,227.6024741
3,15.0,15.647854579333334,17.090503158028255,0.751490023,0.8547924453000001,9.914204004,51.822876742999995,54.41819773,15.0,6.693009868533334,22.50409288529408,-29.66666667,-22.862081008,3.738317757,51.822876742999995,54.41819773
4,351.0,18.917994084253568,16.413336390200275,0.038738668999999996,2.2116288665,15.44633902,47.647151755,147.36842109999998,351.0,-7.9778717627094,23.758837747002154,-65.08498825,-36.817146754999996,-11.52263374,33.45903312,147.36842109999998
5,512.0,14.21571578149415,13.196035562632803,0.0,0.4410183068500001,10.911275119999999,38.8876167225,90.74074074,512.0,-9.208458832802737,17.077931598788116,-85.86206897,-35.066666666,-8.458067356499999,12.251570438999996,90.74074074
6,249.0,13.56488104357028,15.18455829576466,0.0,0.0984378094,9.090909091,43.056466463999996,118.36228290000001,249.0,-8.72612451628514,18.40832642212687,-83.42142857,-42.710923364,-5.778409091,13.45188466399999,118.36228290000001
