,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError
,count,mean,std,min,5%,50%,95%,max,count,mean,std,min,5%,50%,95%,max
Forecast_Method,,,,,,,,,,,,,,,,
1,252.0,22.20767873991269,21.9269657830787,0.43668122299999995,1.6300912919000001,15.294646870000001,58.16372828599999,147.36842109999998,252.0,-0.09968075488095368,31.239841743355363,-77.56642512,-39.344976023,-5.217501501999999,55.05987887949998,147.36842109999998
2,7.0,11.320084915285717,6.316743921778105,0.346620451,1.5613156345000003,14.02173913,16.425535087,16.99604743,7.0,-2.180435745,13.559361340652949,-16.99604743,-16.425535087,-0.346620451,13.886645962,14.02173913
4,179.0,16.880842148754184,16.066944866794877,0.0,1.1449799959,12.54752852,48.32908163599998,90.74074074,179.0,-8.416370768005589,21.759531607495486,-85.86206897,-44.914320685999996,-9.747292418999999,27.155237200000002,90.74074074
5,177.0,17.837083595056498,14.633251968466093,0.639377537,1.8950701038000002,14.28571429,47.72727273000001,83.42142857,177.0,-11.767856961146892,19.87038149692205,-83.42142857,-43.11220024800001,-11.94331984,18.518658476,65.64308682
6,676.0,15.490965430883136,18.67213585094083,0.0,0.10479567025000001,11.037185335,41.7896705525,227.6024741,676.0,-5.360876394770714,23.6683883340784,-68.82352941,-34.393220735,-6.449970636,29.4870224725,227.6024741
