AverageForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",133.0,-1.8475099253233058,42.14844813307239,-85.86206897,-45.008741256,-5.747126437,75.16614984399988,227.6024741
"(3000, 6000]",142.0,-0.370394193823941,29.74010341184476,-63.91484943,-36.501306782499995,-4.638254846000001,50.32617844849997,118.36228290000001
"(6000, 9000]",125.0,-5.6844677447039995,21.940154531954477,-48.4375,-35.28946005,-8.8,36.673264929999995,91.86765152
"(9000, 13000]",145.0,-4.664687893124137,19.99254439830046,-57.19884393,-31.34296613,-7.286461779,34.45481049599991,80.37238169
"(13000, 17000]",143.0,-6.204709392475526,21.606628935953754,-83.42142857,-37.762031751,-6.532258065,30.645145680000002,62.73785686
"(17000, 22000]",113.0,-5.6482437993097365,25.47278204099377,-58.72093023,-41.622388106,-8.312958435,37.84907035799999,147.36842109999998
"(22000, 30000]",133.0,-5.650818311022553,25.356150228436857,-65.08498825,-40.310255489999996,-8.474576271,41.750753497999995,93.37979094
"(30000, 40000]",115.0,-9.779924045860863,18.226991358328156,-61.64383562,-39.536315332,-10.25641026,12.264928849999993,65.64308682
"(40000, 60000]",137.0,-8.95047720460584,16.006093943206935,-77.56642512,-34.44444444,-7.683297988,7.48715524399998,54.41819773
"(60000, 717000]",105.0,-8.957453472447623,9.897341623403488,-43.23481781,-24.50416395,-7.90335707,3.6823827189999974,14.41907683
