FunctionalClass,ForecastMethodology,count,mean,std,min,5%,50%,95%,max,
1,1,22,-11.93,8.53,-34.44,-29.01,-9.65,-1.71,-1.26,11.93
1,4,29,-6.78,10.74,-47.54,-20.25,-4.22,6.85,7.96,8.68
1,5,2,-41.62,30.22,-63.00,-60.86,-41.62,-22.39,-20.25,41.62
1,6,493,-7.12,13.35,-89.21,-26.51,-5.52,12.38,41.59,10.70
3,1,175,-5.15,20.15,-53.24,-32.46,-7.19,26.37,93.38,15.36
3,2,2,6.08,10.03,-1.02,-0.31,6.08,12.46,13.17,7.09
3,4,176,-8.10,20.09,-61.64,-31.39,-11.58,28.50,75.00,17.14
3,5,79,-9.23,21.62,-87.42,-42.93,-9.09,19.06,47.73,17.08
3,6,529,-11.14,19.29,-83.45,-41.33,-10.64,19.82,94.65,16.97
4,1,77,-9.37,22.04,-60.61,-37.33,-12.90,25.06,55.84,19.22
4,2,3,-5.45,16.47,-15.09,-15.07,-14.81,10.73,13.57,14.49
4,4,63,-2.75,27.66,-55.17,-30.99,-4.76,27.80,146.67,17.83
4,5,22,-6.40,28.04,-64.41,-57.71,-3.97,37.52,53.13,20.01
4,6,288,-8.82,23.33,-74.56,-40.63,-10.58,25.96,118.36,18.21
5,1,33,-4.28,26.99,-45.45,-38.40,-6.67,23.92,106.90,18.83
5,4,24,-17.18,24.60,-85.86,-56.30,-9.65,11.22,16.47,21.14
5,6,253,-10.77,24.80,-84.61,-50.81,-10.28,17.33,146.46,18.61
6,1,7,-9.06,30.58,-41.07,-38.35,-8.33,35.39,51.52,23.78
6,4,1,-44.68,,-44.68,-44.68,-44.68,-44.68,-44.68,44.68
6,6,14,-13.80,17.91,-34.97,-33.48,-15.02,19.11,26.03,19.72
7,1,1,46.67,,46.67,46.67,46.67,46.67,46.67,46.67
8,1,1342,12.53,42.76,-92.74,-51.32,8.15,92.30,147.62,34.44
8,2,2,-8.67,11.77,-17.00,-16.16,-8.67,-1.18,-0.35,8.67
8,4,70,-12.38,18.15,-46.27,-41.69,-12.84,19.90,32.24,17.76
8,5,94,-15.50,19.75,-83.42,-44.75,-14.73,9.60,65.64,19.67
8,6,6,-13.67,14.88,-37.93,-34.36,-9.20,-0.17,0.65,13.88
