InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
1929,13817.3913,16991.30435,3173.913043,18.67963153,18.67963153,7.347826087,4,4,3
1939,32600,37200,4600,12.3655914,12.3655914,1,1,5,3
19468,12990,15657.5,2667.5,17.03656395,17.03656395,3,6,3,3
19503,14545,15840,1295,8.175505051,8.175505051,2,6,2,1
19567,4390,6120,1730,28.26797386,28.26797386,3,6,2,1
19571,1000,1367,367,26.84711046,26.84711046,5,6,1,1
19578,10890,14509.58333,3619.583333,24.94615628,24.94615628,3.166666667,6,4,3
19580,7810,10430.83333,2620.833333,25.12582887,25.12582887,3,6,3,3
19585,52020,56244,4224,7.510134414,7.510134414,1,6,2,1
1959,10512.5,14187.5,3675,25.9030837,25.9030837,4,1,2,3
19601,1470,1488.5,18.5,1.242861942,1.242861942,5,6,1,1
1965,6900,7780,880,11.31105398,11.31105398,3.6,4,1,3
19654,6010,6340,330,5.205047319,5.205047319,4,6,2,1
1986,4800,4375,-425,-9.714285714,9.714285714,4,4,4,3
1990,14400,20025,5625,28.08988764,28.08988764,3,4,5,3
19932,41700,39760,-1940,-4.879275654,4.879275654,1,6,3,3
19971,9920,12630,2710,21.45684877,21.45684877,3,6,3,1
20-Year Plan For District 9,48875,47904.875,-970.125,-2.025107048,2.025107048,8,1,21,3
2004,6500,7400,900,12.16216216,12.16216216,3,1,1,3
2005,6733.333333,6966.666667,233.3333333,3.349282297,3.349282297,3,1,1,3
2006,2650,2900,250,8.620689655,8.620689655,4,1,1,3
20082,31765,40170,8405,20.92357481,20.92357481,3,6,3,3
2015,15200,18866.66667,3666.666667,19.43462898,19.43462898,4,1,2,3
2017,30800,36400,5600,15.38461538,15.38461538,1,1,3,3
20233,8420,12920,4500,34.82972136,34.82972136,3,6,3,1
20236,23592.5,25893,2300.5,8.884640636,8.884640636,3,6,0,2
2035,12500,15000,2500,16.66666667,16.66666667,4,1,1,3
20383,3590,3978,388,9.753645048,9.753645048,5,6,3,1
20424,32848.57143,45045.14286,12196.57143,27.07632978,27.07632978,3,6,0,1
2064,12900,14200,1300,9.154929577,9.154929577,3,1,1,3
2084,2575,1350,-1225,-90.74074074,90.74074074,4,4,6,3
20874,550,299,-251,-83.94648829,83.94648829,5,6,2,1
20878,26610,32144.70833,5534.708333,17.21810096,17.21810096,3.416666667,6,5,3
20879,9045,11045,2000,18.10774106,18.10774106,4,6,5,1
20981,7910,13320,5410,40.61561562,40.61561562,4,6,2,1
20996,17970,23498,5528,23.52540642,23.52540642,1,6,1.5,3
21075,3060,4821,1761,36.52769135,36.52769135,5,6,1,3
21147,8670,14284,5614,39.30271633,39.30271633,3,6,3,1
21177,23070,41694.5,18624.5,44.66896113,44.66896113,1,6,2,1
21250,10900,11099.65,199.65,1.798705365,1.798705365,4,6,2,3
2126,2630,2420,-210,-8.67768595,8.67768595,7,1,1,3
2137,38900,36362.5,-2537.5,-6.978343073,6.978343073,3,1,3,3
2138,6533.333333,8233.333333,1700,20.64777328,20.64777328,3,4,3,3
21453,18505,22254.16667,3749.166665,16.84703238,16.84703238,1,6,2,1
2148,10400,12800,2400,18.75,18.75,3,1,0,3
21509,6250,7145,895,12.52624213,12.52624213,4,6,1,1
2154,1395,1770,375,21.18644068,21.18644068,4.5,4,4,3
2156,2900,3000,100,3.333333333,3.333333333,3,1,0,3
21582,6090,6598.333333,508.333333,7.703965643,7.703965643,3,6,2,1
21583,41370,41340,-30,-0.07256894,0.07256894,1,6,1,1
2159,5976.666667,8371.666667,2395,28.60840135,28.60840135,3.666666667,1,4,3
21616,31660,37945,6285,16.56344709,16.56344709,1,6,2,1
21755,20643.33333,19483.33333,-1160,-5.953806672,5.953806672,3,6,2,1
21785,12810,14378,1568,10.90555015,10.90555015,4,6,2,3
2187,1800,1700,-100,-5.882352941,5.882352941,5,4,3,3
2191,1800,2800,1000,35.71428571,35.71428571,4,1,1,3
21927,15003.33333,17408.33333,2405,13.81522259,13.81522259,2.833333333,6,5,2
21938,13445,16154.5,2709.5,16.77241635,16.77241635,3,6,2,1
2197,1200,1500,300,20,20,4,1,2,3
2198,18100,20500,2400,11.70731707,11.70731707,3,1,1,3
22010,5200,7532.5,2332.5,30.9658148,30.9658148,4.5,6,3,1
2204,9537.5,9937.5,400,4.025157233,4.025157233,3,4,4,3
22080,11820,20070,8250,41.10612855,41.10612855,3,6,2,1
2209,3434,3742,308,8.230892571,8.230892571,4.4,1,3,3
2214,8028.571429,6314.285714,-1714.285714,-27.14932127,27.14932127,6.285714286,4,0,3
2217,5700,6250,550,8.8,8.8,3,1,2,3
22179,47736.66667,51026,3289.333333,6.446386809,6.446386809,1,6,2,3
22200,91694,99076,7382,7.450845815,7.450845815,1,6,4,1
22219,2655,2940,285,9.693877551,9.693877551,5,6,2,1
22232,14003.33333,16649.5,2646.166667,15.89337017,15.89337017,3,6,2,3
22245,14513.33333,22118.33333,7605,34.38324165,34.38324165,1.666666667,6,1,2
22398,7345,9986.25,2641.25,26.44886719,26.44886719,4,6,2,3
2241,22000,24500,2500,10.20408163,10.20408163,4,4,0,3
22491,7366.666667,9111,1744.333333,19.14535543,19.14535543,4.666666667,6,3,1
2252,3160,3550,390,10.98591549,10.98591549,3,1,2,3
22529,19126.66667,19483.88889,357.2222233,1.833423632,1.833423632,3,6,1,1
2253,1300,2325,1025,44.08602151,44.08602151,4,1,2,3
2256,6500,7166.666667,666.6666667,9.302325581,9.302325581,3.666666667,1,3,3
2259,5250,5950,700,11.76470588,11.76470588,3,4,1,3
22598,13440,13070,-370,-2.830910482,2.830910482,3,6,2,1
2261,4850,5250,400,7.619047619,7.619047619,4,1,6,3
22666,1720,2280,560,24.56140351,24.56140351,5,6,2,1
22772,20434,29147.2,8713.2,29.89378053,29.89378053,2.2,6,3,1
22788,34920,46460,11540,24.83857081,24.83857081,1,6,1,3
22853,30230,30592.16667,362.1666667,1.183854255,1.183854255,1,6,2,1
22889,47160,57105.5,9945.5,17.41601072,17.41601072,1,6,4,2
2293,8691,7550,-1141,-15.11258278,15.11258278,3,5,1,3
2298,3496.666667,3066.666667,-430,-14.02173913,14.02173913,4.333333333,2,1,3
23022,3600,3519,-81,-2.301790281,2.301790281,4,6,1,1
23029,17985,21337.5,3352.5,15.71177504,15.71177504,3,6,1,1
23030,15110,30522.5,15412.5,50.49553608,50.49553608,4,6,2,3
2308,21133.33333,27200,6066.666667,22.30392157,22.30392157,3,4,4,3
23104,12030,10631,-1399,-13.1596275,13.1596275,4,6,2,1
23174,1980,3776.25,1796.25,47.56703078,47.56703078,5,6,2,3
2320,28650,32000,3350,10.46875,10.46875,3,1,1,3
2322,30566.66667,22933.33333,-7633.333333,-33.28488372,33.28488372,3,1,3,3
23265,11080,14695,3615,24.60020415,24.60020415,3.5,6,3,3
2329,26366.66667,27066.66667,700,2.586206897,2.586206897,3,1,3,3
2341,15633.33333,15600,-33.33333333,-0.213675214,0.213675214,3.333333333,4,1,3
2345,7866.666667,8233.333333,366.6666667,4.453441296,4.453441296,3.666666667,4,3,3
23569,5506.666667,6615,1108.333333,16.75485009,16.75485009,3.666666667,6,2,3
23574,5482.5,6274.125,791.625,12.61729723,12.61729723,4,6,2,1
23576,11610,11930,320,2.682313495,2.682313495,4,6,1,1
23577,6777.5,7508.125,730.625,9.731124615,9.731124615,4.75,6,2,1
23582,1752,2785.666667,1033.666667,37.10661721,37.10661721,5,6,2,1
23584,6730,6997.5,267.5,3.822793855,3.822793855,3,6,1,1
23586,10186,14360.5,4174.5,29.0693221,29.0693221,4.4,6,0.6,2
23587,3850,6444.166667,2594.166667,40.25604552,40.25604552,3,6,1,1
23588,920,1304.166667,384.166667,29.45686903,29.45686903,6,6,3,1
2359,9166.666667,9433.333333,266.6666667,2.826855124,2.826855124,3,1,2,3
2368,13400,15500,2100,13.5483871,13.5483871,3,4,3,3
2369,13200,14650,1450,9.897610922,9.897610922,3.5,4,3,3
23716,11710,12836.66667,1126.66667,8.776941078,8.776941078,3,6,1,1
23717,9290,10080,790,7.837301587,7.837301587,3,6,2,3
2372,2200,2000,-200,-10,10,4,1,3,3
2373,7700,8700,1000,11.49425287,11.49425287,3,1,2,3
23730,63585,81905.75,18320.75,22.36808771,22.36808771,1,6,2,1
23735,20380,21765,1385,6.363427521,6.363427521,1,6,1,1
23736,16265,17387.08334,1122.083335,6.453545505,6.453545505,1,6,1,1
23737,15890,14283.33333,-1606.666667,-11.24854142,11.24854142,2.333333333,6,1,1
23738,10970,12795,1825,14.26338413,14.26338413,3,6,1,1
237506-2,29250,32025,2775,8.665105386,8.665105386,3,1,7,1
237550-1,36000,39300,3300,8.396946565,8.396946565,3,1,5,1
237565-1,13400,18300,4900,26.77595628,26.77595628,4,1,6,1
237567-1,23000,22900,-100,-0.436681223,0.436681223,3,1,0,1
237576-1,30500,56700,26200,46.20811287,46.20811287,3,1,5,1
237592-1,37000,43500,6500,14.94252874,14.94252874,3,4,5,1
237592-2,27000,33700,6700,19.88130564,19.88130564,3,4,5,1
237629-1,55000,48300,-6700,-13.87163561,13.87163561,3,4,11,1
237632-1,13700,17375,3675,21.15107914,21.15107914,3,6,8,3
237650-2,32500,28900,-3600,-12.4567474,12.4567474,3,4,4,1
237650-3,28100,36600,8500,23.22404372,23.22404372,3,4,5,1
237965-1,14900,9800,-5100,-52.04081633,52.04081633,3,4,2,1
23799,41166.66667,38434.16667,-2732.5,-7.109559637,7.109559637,1,6,1,1
23800,25345,29647.5,4302.5,14.51218484,14.51218484,2,6,1,1
2381,1475,2000,525,26.25,26.25,4,4,1,3
23817,18030,17325.83333,-704.16667,-4.064258593,4.064258593,1,6,1,1
23823,46570,50628.5,4058.5,8.016235915,8.016235915,1,6,3,1
23825,20590,23980,3390,14.13678065,14.13678065,3,6,2,1
23828,88050,108505,20455,18.85166582,18.85166582,1,6,3,2
23830,41640,46642,5002,10.72423996,10.72423996,1,6,2,3
23832,13900,14380,480,3.337969402,3.337969402,3,6,2,1
23833,11590,13722,2132,15.53709372,15.53709372,3,6,3,1
23835,31536.66667,39743.16667,8206.5,20.64883271,20.64883271,1,6,3,1
238394-2,36666.66667,36466.66667,-200,-0.548446069,0.548446069,3,4,8,1
238394-2A,25000,27700,2700,9.747292419,9.747292419,3,4,3,1
238394-3,28000,36600,8600,23.49726776,23.49726776,3,4,5,1
238394-4,41500,55400,13900,25.09025271,25.09025271,3,5,5,3
238395-4,32500,38400,5900,15.36458333,15.36458333,3,5,7,1
238395-5,34500,40050,5550,13.8576779,13.8576779,3,5,2,1
238422-1,33750,28100,-5650,-20.10676157,20.10676157,3,1,5,1
238429-4,43000,48600,5600,11.52263374,11.52263374,3,4,1,1
238429-5,52500,49000,-3500,-7.142857143,7.142857143,3,1,4,1
238651-1,14400,12625,-1775,-14.05940594,14.05940594,3,4,8,1
238677-1,18500,18300,-200,-1.092896175,1.092896175,4,1,3,1
238720-1,7900,10600,2700,25.47169811,25.47169811,3,5,8,1
2388,7133.333333,8566.666667,1433.333333,16.73151751,16.73151751,4.333333333,4,3,3
23894,16060,17993.25,1933.25,10.74430689,10.74430689,3,6,3,3
23903,5193.333333,5645,451.6666667,8.001180986,8.001180986,4,6,2,1
2391,600,1100,500,45.45454545,45.45454545,5,1,0,3
23914,2960,3580,620,17.31843575,17.31843575,4,6,4,1
2396,3950,3866.666667,-83.33333333,-2.155172414,2.155172414,3.666666667,1,2,3
240373-1,8450,8440,-10,-0.118483412,0.118483412,3,1,8,1
24073,19300,17940,-1360,-7.580824972,7.580824972,1,6,4,1
240887-1,47500,44700,-2800,-6.263982103,6.263982103,3,5,6,1
240992-2,19600,20200,600,2.97029703,2.97029703,3,4,2,1
240992-5,24500,25000,500,2,2,3,4,2,1
241020-1,25000,30100,5100,16.94352159,16.94352159,3,5,3,1
241043-1,3700,2845,-855,-30.05272408,30.05272408,3,4,4,1
2411,5225,6550,1325,20.22900763,20.22900763,4.5,1,3,3
241200-1,16500,5645,-10855,-192.2940655,192.2940655,6,5,3,2
241211-1,17000,14200,-2800,-19.71830986,19.71830986,4,5,3,1
241543-1,11300,16600,5300,31.92771084,31.92771084,3,4,3,1
2417,12825,15700,2875,18.31210191,18.31210191,3,1,2,3
24247,10250,29357,19107,65.08498825,65.08498825,3,6,2,1
242592-2,142000,148500,6500,4.377104377,4.377104377,1,1,4,1
242696-1,61000,45750,-15250,-33.33333333,33.33333333,3,1,6,1
24316,5933.333333,8281.25,2347.916667,28.35220126,28.35220126,3.833333333,6,2,1
2442,410,2900,2490,85.86206897,85.86206897,5,4,2,3
24441,110195,107500.625,-2694.375,-2.506380777,2.506380777,1,6,2,1
2449,4400,5350,950,17.75700935,17.75700935,4,1,1,3
2458,31566.66667,31666.66667,100,0.315789474,0.315789474,3.333333333,4,3,3
24597,4925,7635,2710,35.49443353,35.49443353,4,6,4,1
24598,2800,3702,902,24.365208,24.365208,5,6,5,1
2464,5700,7100,1400,19.71830986,19.71830986,3,4,4,3
2465,7666.666667,8766.666667,1100,12.54752852,12.54752852,3.333333333,4,4,3
2467,17757.14286,18928.57143,1171.428571,6.188679245,6.188679245,4,1,4,3
24691,36860,31816.66667,-5043.33333,-15.851231,15.851231,1,6,2,1
24738,5340,5115,-225,-4.398826979,4.398826979,4.5,6,1,1
24771,16060,18763.5,2703.5,14.4082927,14.4082927,3,6,1,1
24794,17133.33333,15547.83333,-1585.5,-10.19756236,10.19756236,1,6,3,1
2486,1000,1300,300,23.07692308,23.07692308,5,1,3,3
24947,8690,12563.7,3873.7,30.83247769,30.83247769,3.6,6,4,1
24956,23695,27028.33334,3333.333335,12.33273726,12.33273726,2,6,2,1
24957,55935,52330,-3605,-6.88897382,6.88897382,1,6,4,1
2501,10300,13400,3100,23.13432836,23.13432836,3,1,4,3
2514,576.6666667,713.3333333,136.6666667,19.1588785,19.1588785,5,1,3,3
25154,66090,82930,16840,20.30628241,20.30628241,1,6,1,1
25159,64560,64535,-25,-0.038738669,0.038738669,1,6,1,1
25198,10510,13978,3468,24.81041637,24.81041637,3,6,3,1
25199,14890,15007.75,117.75,0.784594626,0.784594626,3,6,3,1
25203,47515,48990,1475,3.010818534,3.010818534,1,6,2,1
25207,11250,12400,1150,9.274193548,9.274193548,3,6,3,1
2523,3800,4300,500,11.62790698,11.62790698,4,1,3,3
25235,18210,23602.66667,5392.666667,22.84770082,22.84770082,1.666666667,6,4,1
25325,39200,41440,2240,5.405405405,5.405405405,1,6,4,3
2533,7187.5,7579.5,392,5.171845109,5.171845109,4.2,1,2,3
2536,10940,12510,1570,12.54996003,12.54996003,3.4,1,2,3
25377,8036.666667,7772.5,-264.1666667,-3.398734856,3.398734856,3.666666667,6,1,3
25378,5410,6786.388889,1376.388889,20.28160944,20.28160944,4.833333333,6,2,1
25423,13030,15433.66667,2403.666667,15.57417766,15.57417766,3,6,4,1
25438,2810,3323.333333,513.3333333,15.44633902,15.44633902,4,6,1,1
2545,4733.333333,4550,-183.3333333,-4.029304029,4.029304029,4.666666667,1,1,3
2549,3900,4200,300,7.142857143,7.142857143,3,1,2,3
25499,65990,71752.5,5762.5,8.031079056,8.031079056,1,6,1,1
2550,12840,13870,1030,7.426099495,7.426099495,3,1,2,3
25508,45485,47023.625,1538.625,3.272025498,3.272025498,1,6,4,3
25521,52960,56428.33333,3468.333333,6.146439436,6.146439436,1,6,5,1
25528,77307.5,94146.66666,16839.16666,17.8860997,17.8860997,1,6,0,1
25555,65300,89823,24523,27.30147067,27.30147067,1,6,2,1
25574,19000,21961.66667,2961.66667,13.48561889,13.48561889,1,6,1,1
25575,18485,21502.91667,3017.916665,14.03491774,14.03491774,1,6,1,1
25594,91150,91237,87,0.095356051,0.095356051,1,6,4,1
25618,13910,13497.5,-412.5,-3.056121504,3.056121504,3,6,2,1
2564,3000,3900,900,23.07692308,23.07692308,5,1,2,3
25645,1680,1506,-174,-11.55378486,11.55378486,5,6,3,1
25654,3185.833333,4525.208333,1339.375,29.5980848,29.5980848,4.5,6,2,1
25657,1620,2140,520,24.29906542,24.29906542,5,6,2,1
25659,4860,5364.166667,504.166667,9.398788261,9.398788261,4,6,2,1
25661,13490,18481.25,4991.25,27.00710179,27.00710179,4,6,2,1
25662,2070,3464.166667,1394.166667,40.24536926,40.24536926,5,6,2,1
25663,6203.333333,7082.361111,879.0277778,12.41150746,12.41150746,4.25,6,2,1
25664,2185,2435.833333,250.8333335,10.29763942,10.29763942,5,6,1,1
25666,2536.666667,3693.888889,1157.222222,31.32801925,31.32801925,5,6,2,1
25667,2120,2780,660,23.74100719,23.74100719,4,6,2,1
25668,6436.666667,10246.11111,3809.444445,37.17941767,37.17941767,3,6,1,1
25669,3440,3437.5,-2.5,-0.072727273,0.072727273,4,6,1,1
2567,11050,11550,500,4.329004329,4.329004329,3,4,2,3
25672,4631.25,6378.229166,1746.979166,27.38972089,27.38972089,3,6,2,1
25673,1650,2000.625,350.625,17.5257732,17.5257732,5,6,2,1
25676,1290,1843.333333,553.333333,30.01808317,30.01808317,5,6,2,1
25677,2680,3310.833333,630.8333334,19.05361188,19.05361188,5,6,2,1
25679,3724,5678.833333,1954.833333,34.4231503,34.4231503,4,6,1,1
25681,2748,3974.666666,1226.666666,30.8621268,30.8621268,4,6,1,1
25683,9752.5,10518.95833,766.4583342,7.286447098,7.286447098,4,6,3,1
25695,10580,14655,4075,27.80620948,27.80620948,3.5,6,2,1
25697,7750,9608.333333,1858.333333,19.34084995,19.34084995,3,6,2,1
25698,11175,13134.16667,1959.166668,14.91656622,14.91656622,4,6,2,1
25700,8782.5,10693.125,1910.625001,17.86778889,17.86778889,3.125,6,2,1
25713,112045,104185.75,-7859.25,-7.543498031,7.543498031,1,6,2,3
25733,48057.5,45575.6,-2481.9,-5.445677073,5.445677073,2.1,6,5,2
25734,52020,56349.5,4329.5,7.683297988,7.683297988,1,6,6,1
2576,5038,37725,32687,86.64546057,86.64546057,3,5,2,3
25760,24925,27406.75,2481.75,9.055250987,9.055250987,1,6,6,3
25768,18983.33333,26488.33333,7505,28.33322847,28.33322847,3,6,3,1
25769,9930,12738.66667,2808.666667,22.04835671,22.04835671,3,6,4,1
2577,17350,14666.66667,-2683.333333,-18.29545455,18.29545455,3.166666667,1,2,3
2621,1800,1900,100,5.263157895,5.263157895,3,1,3,3
2627,22000,17400,-4600,-26.43678161,26.43678161,3,1,2,3
2649,14000,13000,-1000,-7.692307692,7.692307692,3,4,1,3
2653,16600,16700,100,0.598802395,0.598802395,3,1,1,3
2671,82993,158766.6667,75773.66667,47.72643292,47.72643292,3,5,1,3
2690,19600,18500,-1100,-5.945945946,5.945945946,3,1,0,3
2698,510,750,240,32,32,6,1,1,3
2717,870,780,-90,-11.53846154,11.53846154,5,1,1,3
2726,4900,5800,900,15.51724138,15.51724138,4,1,1,3
2729,620,775,155,20,20,4,1,1,3
2737,3000,3600,600,16.66666667,16.66666667,4,1,1,3
2739,3100,4700,1600,34.04255319,34.04255319,4,1,1,3
2764,856.6666667,1406.666667,550,39.09952607,39.09952607,5,1,1,3
2833,32580,35040,2460,7.020547945,7.020547945,1,1,2,3
2834,9700,15000,5300,35.33333333,35.33333333,4,4,3,3
2840,5100,5250,150,2.857142857,2.857142857,3.8,4,1,3
2891,2600,2625,25,0.952380952,0.952380952,4,4,2,3
2923,8725,11675,2950,25.26766595,25.26766595,3.25,4,1,3
2926,9250,9200,-50,-0.543478261,0.543478261,4.25,4,2,3
2927,4475,4525,50,1.104972376,1.104972376,4,4,0,3
2962,36625,39600,2975,7.512626263,7.512626263,3,4,1,3
2963,11500,11975,475,3.966597077,3.966597077,4,4,1,3
3055,11444.61538,12119.23077,674.6153846,5.56648683,5.56648683,5.307692308,4,2,3
3073,1200,2800,1600,57.14285714,57.14285714,4,1,2,3
3076,48800,51866.66667,3066.666667,5.912596401,5.912596401,1,4,1,3
3082,7250,8200,950,11.58536585,11.58536585,4.5,4,2,3
3135,3350,3750,400,10.66666667,10.66666667,5,4,1,3
3200,260,470,210,44.68085106,44.68085106,6,4,1,3
3202,700,790,90,11.39240506,11.39240506,5,1,1,3
3209,3237.5,3825,587.5,15.35947712,15.35947712,4.5,4,1,3
3231,2460,2200,-260,-11.81818182,11.81818182,4.2,1,2,3
3253,3650,3750,100,2.666666667,2.666666667,4,1,1,3
3278,32650,30900,-1750,-5.663430421,5.663430421,1,4,1,3
3317,9500,10916.66667,1416.666667,12.97709924,12.97709924,3.666666667,4,1,3
3324,34066.66667,38766.66667,4700,12.12381771,12.12381771,1,1,1,3
3331,450,430,-20,-4.651162791,4.651162791,5,1,1,3
3362,17066.66667,21100,4033.333333,19.11532385,19.11532385,3.333333333,4,0,3
3364,2500,4800,2300,47.91666667,47.91666667,5,4,1,3
3366,3700,5300,1600,30.18867925,30.18867925,5,4,1,3
3374,720,700,-20,-2.857142857,2.857142857,5,1,1,3
3376,780,700,-80,-11.42857143,11.42857143,5,1,1,3
3384,5600,6600,1000,15.15151515,15.15151515,4,4,0,3
3385,650,630,-20,-3.174603175,3.174603175,5,1,0,3
3394,6770,8510,1740,20.44653349,20.44653349,6.3,4,0,3
3434,9283.333333,11583.33333,2300,19.85611511,19.85611511,3.333333333,4,0,3
3456,8336.666667,9511.666667,1175,12.35325039,12.35325039,3,2.6,0,3
3489,4850,4900,50,1.020408163,1.020408163,3,1,1,3
3490,130,170,40,23.52941176,23.52941176,5,1,1,3
3493,2600,2500,-100,-4,4,3,1,2,3
3507,1400,1500,100,6.666666667,6.666666667,5,1,1,3
3512,2383.333333,2481.666667,98.33333333,3.962390866,3.962390866,3.833333333,4,1,3
3531,4300,6600,2300,34.84848485,34.84848485,4,4,1,3
3558,4100,4300,200,4.651162791,4.651162791,5,1,1,3
3609,35700,38300,2600,6.788511749,6.788511749,3,1,1,3
404418-1,49000,51500,2500,4.854368932,4.854368932,3,1,0,1
404525-1,19900,23450,3550,15.13859275,15.13859275,3,5,4,1
405506-2,36500,53700,17200,32.02979516,32.02979516,3,1,5,1
406869-3,52500,53400,900,1.685393258,1.685393258,1,1,6,1
406869-4,31000,35400,4400,12.42937853,12.42937853,1,1,6,1
406869-5,29500,45000,15500,34.44444444,34.44444444,1,1,6,1
406869-6,31000,43900,12900,29.38496583,29.38496583,1,1,6,1
408638-1,26000,24500,-1500,-6.12244898,6.12244898,3,1,4,1
408639-1,2600,2800,200,7.142857143,7.142857143,3,1,3,1
408905-1,41500,27200,-14300,-52.57352941,52.57352941,4,1,1,3
409093-1,7900,22200,14300,64.41441441,64.41441441,4,5,3,1
409165-1,32375,26650,-5725,-21.48217636,21.48217636,3,5,7,1
409166-1,15310,12800,-2510,-19.609375,19.609375,3,5,7,1
409167-1,14366.66667,17933.33333,3566.666667,19.88847584,19.88847584,4,5,6.333333333,1
409173-1,1912.5,2550,637.5,25,25,3,4,5,1
409180-1,6940,5320,-1620,-30.45112782,30.45112782,4,5,6,1
409846-1,37500,29825,-7675,-25.7334451,25.7334451,3,1,6,1
409847-1,51750,45000,-6750,-15,15,3,1,7,1
409870-1,11282,16200,4918,30.35802469,30.35802469,3,5,4,1
410250-1,5500,6500,1000,15.38461538,15.38461538,4,4,5,1
410777-1,12500,11600,-900,-7.75862069,7.75862069,4,4,2,1
410983-1,43229.66667,48700,5470.333333,11.23271732,11.23271732,3,4,4,1
411092-1,10200,16900,6700,39.64497041,39.64497041,3,1,5,1
411116-1,11500,17400,5900,33.90804598,33.90804598,3,1,1,1
411256-3,14100,13300,-800,-6.015037594,6.015037594,3,1,4,1
411256-4,12200,13600,1400,10.29411765,10.29411765,3,1,5,1
411257-3,14500,16500,2000,12.12121212,12.12121212,3,5,3,1
411257-4,13900,12200,-1700,-13.93442623,13.93442623,3,4,5,1
411476-1,20500,29800,9300,31.20805369,31.20805369,3,4,7,1
411603-1,25000,38800,13800,35.56701031,35.56701031,3,4,3,1
411603-1A,31250,40950,9700,23.68742369,23.68742369,3,4,2,1
411612-1,15500,15900,400,2.51572327,2.51572327,4,4,2,1
411613-1,7400,10200,2800,27.45098039,27.45098039,3,4,3,1
411613-1A,6550,5900,-650,-11.01694915,11.01694915,3,4,3,1
411614-1,14925,14025,-900,-6.417112299,6.417112299,4,5,7,1
411660-1,11750,14750,3000,20.33898305,20.33898305,3,4,6,1
411661-1,4650,6775,2125,31.36531365,31.36531365,3,4,6,1
411662-1,4200,5250,1050,20,20,3,4,6,1
411664-1,27071.42857,23057.14286,-4014.285714,-17.41016109,17.41016109,3,5,4.571428571,1
411666-1,21000,20100,-900,-4.47761194,4.47761194,3,4,3,1
411667-1,27250,40575,13325,32.84041898,32.84041898,3,4,8,1
411672-1,23170,23000,-170,-0.739130435,0.739130435,3,4,7,1
411727-1,5150,5493.75,343.75,6.257110353,6.257110353,3,4,7,1
411728-1,45250,49375,4125,8.35443038,8.35443038,3,5,8,1
411730-1,58500,67900,9400,13.84388807,13.84388807,3,4,4,1
411742-1,23745.33333,25566.66667,1821.333333,7.123859192,7.123859192,3,5,2,1
411777-1,34321.5,32665,-1656.5,-5.071177101,5.071177101,3,4,4,1
411778-1,27000,28375,1375,4.845814978,4.845814978,3,4,8,1
411781-1,11600,10950,-650,-5.936073059,5.936073059,3,4,3,1
411782-1,19500,28250,8750,30.97345133,30.97345133,3,4,4,1
411783-1,7000,6875,-125,-1.818181818,1.818181818,3,5,8,1
411787-1,54733.33333,27733.33333,-27000,-97.35576923,97.35576923,1,5,5.333333333,1
