FunctionalClass,ForecastMethodology,count,mean,std,max,,,,,,,,
1-Interstate or Limited-access facility,1-Traffic count trend,22.00,11.93,8.53,34.44,,,1,1,22,11.93393,8.532855,34.444444
,4-Regional travel model,29.00,8.68,9.22,47.54,,,,4,29,8.675877,9.218073,47.540984
,5-Professional judgement,4.00,56.75,49.75,124.78,,,,5,4,56.753387,49.74863,124.777448
,6-Unknown Methodology,493.00,10.70,10.70,89.21,,,,6,493,10.69735,10.701828,89.21461
,1-Traffic count trend,183.00,15.39,14.03,93.38,,,3,1,183,15.390224,14.02776,93.379791
3-Principal Arterial,2-Population growth rates,2.00,7.09,8.59,13.17,,,,2,2,7.091976,8.593819,13.168724
,4-Regional travel model,193.00,17.97,16.10,145.61,,,,4,193,17.968754,16.102499,145.614035
,5-Professional judgement,87.00,18.20,17.78,90.05,,,,5,87,18.196305,17.777446,90.045249
,6-Unknown Methodology,532.00,17.22,15.85,169.90,,,,6,532,17.219022,15.851237,169.899323
4-Minor Arterial,1-Traffic count trend,78.00,19.95,16.28,91.78,,,4,1,78,19.945063,16.279076,91.780822
,2-Population growth rates,3.00,14.49,0.81,15.09,,,,2,3,14.493528,0.810699,15.09434
,4-Regional travel model,64.00,19.15,22.78,146.67,,,,4,64,19.145876,22.779955,146.666667
,5-Professional judgement,29.00,25.19,31.72,118.46,,,,5,29,25.193936,31.723586,118.461539
,6-Unknown Methodology,288.00,18.21,17.01,118.36,,,,6,288,18.209165,17.011685,118.362283
5-Major Collector,1-Traffic count trend,33.00,18.83,19.53,106.90,,,5,1,33,18.833404,19.526688,106.896552
,4-Regional travel model,24.00,21.14,21.14,85.86,,,,4,24,21.135021,21.143724,85.862069
,6-Unknown Methodology,253.00,18.61,19.58,146.46,,,,6,253,18.610257,19.583831,146.464647
6-Minor Collector,1-Traffic count trend,7.00,23.78,19.26,51.52,,,6,1,7,23.778069,19.264983,51.515152
,4-Regional travel model,1.00,44.68,NaN,44.68,,,,4,1,44.680851,NaN,44.680851
,5-Professional judgement,1.00,192.29,NaN,192.29,,,,5,1,192.294066,NaN,192.294066
,6-Unknown Methodology,14.00,19.72,10.36,34.97,,,,6,14,19.717751,10.360932,34.971098
7-Local,1-Traffic count trend,1.00,46.67,NaN,46.67,,,7,1,1,46.666667,NaN,46.666667
8-Unknown Functional Class,1-Traffic count trend,2039.00,40.02,36.95,196.30,,,8,1,2039,40.022898,36.947557,196.296296
,2-Population growth rates,2.00,8.67,11.77,17.00,,,,2,2,8.671334,11.772923,16.996047
,4-Regional travel model,70.00,17.76,12.84,46.27,,,,4,70,17.759305,12.836808,46.268657
,5-Professional judgement,94.00,19.67,15.55,83.42,,,,5,94,19.665032,15.551946,83.421429
,6-Unknown Methodology,6.00,13.88,14.63,37.93,,,,6,6,13.881688,14.6332,37.931034
