TrafficForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",330.0,-1.0024820695636374,36.38016167196842,-85.86206897,-44.69772913,-6.693017128,85.95041322,146.66666669999998
"(3000, 6000]",379.0,0.21966948793140012,33.82647978203955,-70.76345984,-37.93103448,-5.55764132,64.77884615799994,147.61904760000002
"(6000, 9000]",363.0,-4.5487025384848545,29.699462905196654,-92.74193548,-47.77777778000001,-8.933717579,53.87957316699998,94.65387252
"(9000, 13000]",445.0,-5.637813272629216,28.2866424771417,-83.45105954,-44.812664074,-8.08838945,48.98989899,96.28099174
"(13000, 17000]",342.0,-0.6924311110175434,35.231545450302335,-83.42142857,-49.963414634,-5.650275155,79.70401691,108.8235294
"(17000, 22000]",376.0,-5.222436526348405,33.26344079551953,-74.56315789,-50.031628672500005,-9.021468862999999,59.884467265,147.36842109999998
"(22000, 30000]",414.0,3.7961310333357545,37.04355438724965,-65.73281626,-46.23429649949999,-3.0324248535000002,77.79633436499998,117.79254340000001
"(30000, 40000]",388.0,0.19172964032216694,35.429151922181276,-85.76836158,-44.557015538499996,-6.966034556,72.61459186799995,119.6969697
"(40000, 60000]",428.0,3.5953455655280373,26.868509650373742,-89.21461044,-32.653727274,-0.0094473115,51.76182103849989,87.57327081
"(60000, 717000]",342.0,-6.732442801084793,15.32178822322059,-66.27647715,-28.3536959405,-5.955033246000001,18.289057443499978,64.22764228
