,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,AbsPE,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError,PercentError
,count,mean,std,min,5%,50%,95%,max,count,mean,std,min,5%,50%,95%,max
Decade_ForecastProduced,,,,,,,,,,,,,,,,
1,94.0,30.764132021797877,27.619212399206802,0.955497382,2.3605233828000003,26.31259344,83.26768912249995,147.36842109999998,94.0,11.248975832010643,39.89397576375245,-77.56642512,-47.122806059,8.980990391999999,83.26768912249995,147.36842109999998
2,45.0,34.826718113,27.224725619482058,2.025107048,3.5564718246,31.31539349,86.27675031999993,118.05555559999999,45.0,28.20625667340001,34.175683207015524,-36.90265487,-19.958839349999998,28.53297443,86.27675031999993,118.05555559999999
3,51.0,23.168337108843133,43.472747752137856,0.285477673,1.676677449,10.15761821,53.564750540000006,227.6024741,51.0,11.133573889078432,48.072356729240404,-33.93678384,-24.790288490000002,-1.8679992490000001,53.564750540000006,227.6024741
4,924.0,15.791284821057367,13.486717386267069,0.0,0.8665053067000004,12.524461559999999,41.103351261,93.37979094,924.0,-9.95535636478464,18.229368947527615,-85.86206897,-38.36157604899999,-10.31934785,15.952380947999991,93.37979094
5,177.0,11.833557721762713,15.550680032023063,0.0,0.0334629902,6.382978723,41.84854458599999,118.36228290000001,177.0,-5.36454439943503,18.807193583052086,-83.42142857,-38.64522284,-2.646638054,15.62414961199997,118.36228290000001
