Forecast Horizon,Observations,Mean,Standard Deviation,min,5th Percentile,Median,95th Percentile,max,Mean Absolute Percentage Error
0,51,-8.240,13.069,-45.455,-30.780,-5.593,10.202,27.149,11.451
1,201,-9.286,14.904,-48.889,-36.964,-8.031,11.429,52.574,13.004
2,340,-8.065,20.386,-86.645,-40.640,-7.689,20.383,93.380,15.488
3,250,-10.300,18.500,-83.421,-37.112,-10.543,17.426,71.667,16.210
4,130,-10.629,16.647,-54.582,-35.440,-12.331,17.609,31.387,15.980
5,67,-10.442,22.229,-47.727,-43.990,-13.815,13.397,118.362,16.819
6,25,-16.051,28.661,-58.721,-43.102,-12.429,10.814,90.741,24.768
7,3,-19.135,10.698,-31.208,-29.624,-15.365,-11.286,-10.833,19.135
8,3,-10.806,13.322,-25.472,-23.674,-7.495,-0.256,0.548,11.172
9,1,-10.759,,-10.759,-10.759,-10.759,-10.759,-10.759,10.759
11,2,-37.107,28.415,-57.199,-55.190,-37.107,-19.024,-17.015,37.107
13,4,-16.530,43.023,-77.566,-66.876,-6.063,19.163,23.574,28.316
14,11,-1.375,22.101,-40.090,-30.469,-5.936,26.782,30.684,19.092
15,14,-18.060,30.674,-52.387,-49.941,-31.596,35.265,47.767,30.215
16,5,-2.696,26.034,-36.903,-31.654,-2.443,28.646,35.569,17.305
17,5,11.822,26.295,-27.935,-20.920,11.193,39.505,42.939,22.996
18,4,49.068,52.541,-9.776,-2.016,43.997,107.253,118.056,53.956
19,6,11.556,33.714,-28.008,-22.639,0.132,57.791,63.776,23.427
20,9,46.132,57.839,-63.915,-34.803,39.715,121.713,130.769,60.335
21,7,18.994,25.268,-10.539,-6.770,11.826,56.768,62.150,22.005
22,7,15.486,39.142,-37.016,-32.079,20.164,57.673,59.168,35.648
23,8,17.989,58.831,-36.434,-32.813,1.110,114.836,147.368,35.556
24,7,29.689,33.432,-9.914,-5.361,23.927,79.348,88.645,32.522
25,8,22.107,29.064,-27.850,-22.502,35.957,47.727,50.463,32.212
