Agency_y,count,mean,std,min,5%,50%,95%,max
12,381.0,-9.072700074446876,21.043772041607056,-83.42142857142858,-42.30769230769231,-10.294117647058824,22.033898305084747,93.37979094076655
26,1.0,-6.227206418672508,,-6.227206418672508,-6.227206418672508,-6.227206418672508,-6.227206418672508,-6.227206418672508
27,3.0,-39.7531035696284,51.345450941413596,-86.64546056991385,-82.7535578049653,-47.7264329204283,8.828681211268423,15.112582781456954
28,101.0,12.028144378109618,40.626049533966516,-77.56642512077295,-46.314907872696814,8.864347647632245,80.37238169123351,147.3684210526316
40,565.0,-9.471251108277151,16.222040602715445,-68.82352941176471,-35.4754875929167,-8.574558060491093,12.104933450424145,118.3622828784119
58,132.0,-10.783920154962575,18.83431619553019,-85.86206896551724,-41.34344901391225,-10.352485236220472,11.664335664335661,90.74074074074075
