DecadeOpening,count,mean,std,min,5%,50%,95%,max
2,18.0,-29.475081731777777,32.07661972983494,-70.91836735,-70.468923934,-42.70642202,25.48262548,25.48262548
3,558.0,-2.372761972308239,40.43688596721212,-92.74193548,-56.63994749999999,-2.631578947,74.96641149399976,134.0884574
4,468.0,31.911030343899597,40.84786120089136,-70.76345984,-28.491356732999993,32.22222222,100.0,146.3054187
5,1842.0,-6.7082965799131555,25.407825604221234,-89.21461044,-39.81481481,-9.9497164895,41.58110724199998,147.61904760000002
6,920.0,-6.996974313998907,19.835943440257257,-87.42072409,-38.758208479,-5.654387833,18.544783404999976,146.66666669999998
