InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
Nicolaisen292,32400,30400,2000,6.578947368,6.578947368,6,8,6,,3
Nicolaisen299,31700,30400,1300,4.276315789,4.276315789,6,8,6,,3
Nicolaisen304,26500,27500,-1000,-3.636363636,3.636363636,6,8,6,,3
Nicolaisen315,105354,105938,-584,-0.551265835,0.551265835,6,8,6,,3
Nicolaisen321,2206,1600,606,37.875,37.875,6,8,6,,3
Nicolaisen331,33600,24600,9000,36.58536585,36.58536585,6,8,6,,3
Nicolaisen347,114115,159120,-45005,-28.28368527,28.28368527,6,8,6,,3
Nicolaisen353,60200,70800,-10600,-14.97175141,14.97175141,6,8,6,,3
Nicolaisen357,62900,57100,5800,10.15761821,10.15761821,6,8,6,,3
Nicolaisen360,130932,146158,-15226,-10.4174934,10.4174934,6,8,6,,3
Nicolaisen362,43600,50600,-7000,-13.83399209,13.83399209,6,8,6,,3
Nicolaisen366,143361,151744,-8383,-5.524435892,5.524435892,6,8,6,,3
Nicolaisen381,554300,703950,-149650,-21.25861212,21.25861212,6,8,6,,3
Nicolaisen392,727650,717000,10650,1.485355649,1.485355649,6,8,6,,3
Nicolaisen409,278100,256500,21600,8.421052632,8.421052632,6,8,6,,3
Nicolaisen413,254000,298000,-44000,-14.76510067,14.76510067,6,8,6,,3
