InternalProjectID,AverageCount
10914,67797.5
12356,28800.0
13364,4610.0
13486,53705.0
13624,580.0
14821,34445.0
16144,15556.0
16514,54630.0
16592,2040.0
1663,3600.0
16669,66695.0
1693,11820.0
16964,67020.0
16987,2100.0
1745,3178.3333333333335
1760,6460.0
18221,7760.0
18232,8020.0
18239,15180.0
18241,22520.0
18242,21435.0
18296,22230.0
18604,4620.0
18624,875.0
18629,4030.0
18630,9140.0
1864,1300.0
18702,103690.0
18741,6750.0
1905,5700.0
1929,13817.391304347826
1939,32600.0
19468,12990.0
19503,14545.0
19567,4390.0
19571,1000.0
19578,10890.0
19580,7810.0
19585,52020.0
1959,10512.5
19601,1470.0
1965,6900.0
19654,6010.0
1986,4800.0
1990,14400.0
19932,41700.0
19971,9920.0
20-Year Plan For District 9,48875.0
2004,6500.0
2005,6733.333333333333
2006,2650.0
20082,31765.0
2015,15200.0
2017,30800.0
20233,8420.0
20236,23592.5
2035,12500.0
20424,32848.57142857143
2064,12900.0
2084,2575.0
20874,550.0
20878,26610.0
20879,9045.0
20981,7910.0
20996,17970.0
21075,3060.0
21147,8670.0
21177,23070.0
21250,10900.0
2126,2630.0
2137,38900.0
2138,6533.333333333333
21453,18505.0
2148,10400.0
21509,6250.0
2154,1395.0
2156,2900.0
21582,6090.0
21583,41370.0
2159,5976.666666666667
21616,31660.0
21785,12810.0
2187,1800.0
2191,1800.0
21927,15003.333333333334
21938,13445.0
2197,1200.0
2198,18100.0
22010,5200.0
2204,9537.5
22080,11820.0
2209,3434.0
2214,8028.571428571428
2217,5700.0
22179,47736.666666666664
22200,91694.0
22219,2655.0
22232,14003.333333333334
22245,14513.333333333334
22398,7345.0
2241,22000.0
22491,7366.666666666667
2252,3160.0
2253,1300.0
2256,6500.0
2259,5250.0
22598,13440.0
2261,4850.0
22666,1720.0
22772,20434.0
22788,34920.0
22889,47160.0
2293,8691.0
2298,3496.6666666666665
23022,3600.0
23029,17985.0
23030,15110.0
2308,21133.333333333332
23104,12030.0
23174,1980.0
2320,28650.0
2322,30566.666666666668
23265,11080.0
2329,26366.666666666668
2341,15633.333333333334
2345,7866.666666666667
23569,5506.666666666667
23574,5482.5
23576,11610.0
23577,6777.5
23582,1752.0
23584,6730.0
23586,10186.0
23587,3850.0
23588,920.0
2359,9166.666666666666
2368,13400.0
2369,13200.0
23716,11710.0
23717,9290.0
2372,2200.0
2373,7700.0
23730,63585.0
23735,20380.0
23737,15890.0
23738,10970.0
237506-2,32500.0
237550-1,33000.0
237565-1,13400.0
237567-1,23000.0
237576-1,30500.0
237592-1,37000.0
237592-2,27000.0
237632-1,14100.0
237650-2,32500.0
237650-3,28100.0
237965-1,14900.0
23799,41166.666666666664
23800,25345.0
2381,1475.0
23817,18030.0
23823,46570.0
23825,20590.0
23828,88050.0
23830,41640.0
23832,13900.0
23833,11590.0
23835,31536.666666666668
238394-2,36666.666666666664
238394-2A,25000.0
238394-3,28000.0
238394-4,41500.0
238395-4,32500.0
238395-5,34500.0
238422-1,33750.0
238429-4,43000.0
238429-5,52500.0
238651-1,14600.0
238677-1,18500.0
238720-1,7900.0
2388,7133.333333333333
23894,16060.0
23903,5193.333333333333
2391,600.0
23914,2960.0
2396,3950.0
240373-1,8200.0
240887-1,47500.0
240992-2,19600.0
240992-5,24500.0
241020-1,25000.0
241043-1,3700.0
2411,5225.0
241211-1,17000.0
