Decade2,count,mean,std,min,5%,50%,95%,max
1,391.0,1.8740347406726434,42.01576078611646,-73.86363636,-55.77487898,1.03626943,85.16270661,134.0884574
2,380.0,11.230467878584209,44.43400738463378,-92.74193548,-62.46523443700001,9.075757576,83.56164384000002,147.36842109999998
3,561.0,20.653152479204987,40.870449438942586,-88.80952381,-36.36363636,10.91234347,96.36363636,147.61904760000002
4,12.0,-14.716779936833328,17.46889373268472,-42.55596925,-41.980249946499995,-13.1057171845,11.76470588,11.76470588
5,2119.0,-9.48844412394998,20.336461630947156,-89.21461044,-38.71569411,-10.02992821,20.71533068499999,146.66666669999998
6,343.0,-5.8840191844344,19.904197086234863,-87.42072409,-42.459055756,-1.768172888,18.990614270999988,118.36228290000001
