InternalProjectID,GEOID2015,County
11378,39139,Richland
11378,39139,Richland
11378,39139,Richland
11378,39139,Richland
19055,39157,Tuscarawas
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
11385,39093,Lorain
12769,39129,Pickaway
19578,39157,Tuscarawas
19578,39157,Tuscarawas
19578,39157,Tuscarawas
19578,39157,Tuscarawas
19578,39157,Tuscarawas
19578,39157,Tuscarawas
75086,39013,Belmont
25377,39095,Lucas
25377,39095,Lucas
18473,39115,Morgan
25377,39095,Lucas
21452,39157,Tuscarawas
21452,39157,Tuscarawas
16964,39113,Montgomery
22788,39151,Stark
21452,39157,Tuscarawas
23675,39099,Mahoning
20996,39157,Tuscarawas
23956,39123,Ottawa
24257,39023,Clark
21582,39013,Belmont
24316,39151,Stark
24316,39151,Stark
24316,39151,Stark
23569,39123,Ottawa
23569,39123,Ottawa
22398,39143,Sandusky
22398,39143,Sandusky
24178,39007,Ashtabula
24178,39007,Ashtabula
24178,39007,Ashtabula
24178,39007,Ashtabula
24178,39007,Ashtabula
24316,39151,Stark
24178,39007,Ashtabula
24178,39007,Ashtabula
24178,39007,Ashtabula
24178,39007,Ashtabula
22666,39063,Hancock
X,39005,Ashland
X,39005,Ashland
X,39005,Ashland
X,39005,Ashland
24316,39151,Stark
24316,39151,Stark
23569,39123,Ottawa
22398,39143,Sandusky
22398,39143,Sandusky
23174,39125,Paulding
23174,39125,Paulding
23174,39125,Paulding
23174,39125,Paulding
22179,39099,Mahoning
22179,39099,Mahoning
22179,39099,Mahoning
23675,39099,Mahoning
23675,39099,Mahoning
21453,39081,Jefferson
21453,39081,Jefferson
21938,39017,Butler
21938,39017,Butler
22232,39155,Trumbull
22232,39155,Trumbull
22232,39155,Trumbull
24443,39113,Montgomery
75186,39063,Hancock
20996,39157,Tuscarawas
23366,39093,Lorain
23366,39093,Lorain
23366,39093,Lorain
18311,39103,Medina
18311,39103,Medina
18311,39103,Medina
23366,39093,Lorain
23366,39093,Lorain
23366,39093,Lorain
24732,39019,Carroll
24732,39019,Carroll
24738,39075,Holmes
18311,39103,Medina
18311,39103,Medina
18311,39103,Medina
18311,39103,Medina
X,39025,Clermont
24732,39019,Carroll
24738,39075,Holmes
25154,39113,Montgomery
25154,39113,Montgomery
,39035,Cuyahoga
,39035,Cuyahoga
,39035,Cuyahoga
,39035,Cuyahoga
25159,39109,Miami
25159,39109,Miami
18311,39103,Medina
23029,39081,Jefferson
23029,39081,Jefferson
75078,39113,Montgomery
24771,39081,Jefferson
24771,39081,Jefferson
75077,39113,Montgomery
77057,39143,Sandusky
77057,39143,Sandusky
18311,39103,Medina
25369,39025,Clermont
77057,39143,Sandusky
20236,39165,Warren
20236,39165,Warren
77688,39029,Columbiana
20236,39165,Warren
20236,39165,Warren
23586,39139,Richland
23586,39139,Richland
20424,39041,Delaware
20424,39041,Delaware
20424,39041,Delaware
20424,39041,Delaware
20424,39041,Delaware
20424,39041,Delaware
20424,39041,Delaware
75395,39035,Cuyahoga
24794,39121,Noble
24794,39121,Noble
24794,39121,Noble
23823,39023,Clark
19971,39053,Gallia
19181,39055,Geauga
19468,39157,Tuscarawas
19580,39157,Tuscarawas
19580,39157,Tuscarawas
19580,39157,Tuscarawas
13500,39159,Union
22991,39003,Allen
