InternalProjectID,AverageForecast,AverageCount,Forecast_Method,AbsPE,PercentError,UnifiedImprovementType,Error,,
5,19300,16800,1,12.9533679,-12.9533679,6,2500,Nicolaisen,Nicolaisen5
8,9700,9112,1,6.0618557,-6.0618557,6,588,Nicolaisen,Nicolaisen8
9,31000,32405,4,4.5322581,4.5322581,6,-1405,Nicolaisen,Nicolaisen9
11,15900,15600,1,1.8867925,-1.8867925,6,300,Nicolaisen,Nicolaisen11
14,45900,55526,6,20.9716776,20.9716776,6,-9626,Nicolaisen,Nicolaisen14
15,67300,68726,6,2.1188707,2.1188707,6,-1426,Nicolaisen,Nicolaisen15
18,4300,7584,6,76.372093,76.372093,6,-3284,Nicolaisen,Nicolaisen18
22,7500,8300,6,10.6666667,10.6666667,6,-800,Nicolaisen,Nicolaisen22
23,9800,21932,6,123.7959184,123.7959184,6,-12132,Nicolaisen,Nicolaisen23
25,17500,14200,6,18.8571429,-18.8571429,6,3300,Nicolaisen,Nicolaisen25
30,21100,22319,5,5.7772512,5.7772512,6,-1219,Nicolaisen,Nicolaisen30
31,30600,29547,5,3.4411765,-3.4411765,6,1053,Nicolaisen,Nicolaisen31
32,45000,44600,6,0.8888889,-0.8888889,6,400,Nicolaisen,Nicolaisen32
33,11000,15100,6,37.2727273,37.2727273,6,-4100,Nicolaisen,Nicolaisen33
34,10000,18200,6,82,82,6,-8200,Nicolaisen,Nicolaisen34
35,2700,4200,6,55.5555556,55.5555556,6,-1500,Nicolaisen,Nicolaisen35
36,17000,20000,6,17.6470588,17.6470588,6,-3000,Nicolaisen,Nicolaisen36
37,20000,11500,6,42.5,-42.5,6,8500,Nicolaisen,Nicolaisen37
38,7750,7500,6,3.2258065,-3.2258065,6,250,Nicolaisen,Nicolaisen38
39,12500,12800,6,2.4,2.4,6,-300,Nicolaisen,Nicolaisen39
40,5400,6306,6,16.7777778,16.7777778,6,-906,Nicolaisen,Nicolaisen40
41,11100,14600,6,31.5315315,31.5315315,6,-3500,Nicolaisen,Nicolaisen41
42,2300,3660,6,59.1304348,59.1304348,6,-1360,Nicolaisen,Nicolaisen42
43,7000,6200,6,11.4285714,-11.4285714,6,800,Nicolaisen,Nicolaisen43
44,1300,2700,6,107.6923077,107.6923077,6,-1400,Nicolaisen,Nicolaisen44
45,11200,15395,6,37.4553571,37.4553571,6,-4195,Nicolaisen,Nicolaisen45
46,10000,14731,6,47.31,47.31,6,-4731,Nicolaisen,Nicolaisen46
47,30000,48861,6,62.87,62.87,6,-18861,Nicolaisen,Nicolaisen47
48,3500,4350,6,24.2857143,24.2857143,6,-850,Nicolaisen,Nicolaisen48
49,5400,3900,6,27.7777778,-27.7777778,6,1500,Nicolaisen,Nicolaisen49
50,6000,8000,6,33.3333333,33.3333333,6,-2000,Nicolaisen,Nicolaisen50
51,2000,2100,6,5,5,6,-100,Nicolaisen,Nicolaisen51
52,2000,3310,6,65.5,65.5,6,-1310,Nicolaisen,Nicolaisen52
53,4000,3400,6,15,-15,6,600,Nicolaisen,Nicolaisen53
54,20000,24600,6,23,23,6,-4600,Nicolaisen,Nicolaisen54
55,8000,12200,6,52.5,52.5,6,-4200,Nicolaisen,Nicolaisen55
56,3000,3800,6,26.6666667,26.6666667,6,-800,Nicolaisen,Nicolaisen56
57,3000,4100,6,36.6666667,36.6666667,6,-1100,Nicolaisen,Nicolaisen57
58,11500,16000,6,39.1304348,39.1304348,6,-4500,Nicolaisen,Nicolaisen58
59,12000,14350,6,19.5833333,19.5833333,6,-2350,Nicolaisen,Nicolaisen59
60,4300,8200,6,90.6976744,90.6976744,6,-3900,Nicolaisen,Nicolaisen60
61,1000,1700,6,70,70,6,-700,Nicolaisen,Nicolaisen61
62,5500,8600,6,56.3636364,56.3636364,6,-3100,Nicolaisen,Nicolaisen62
63,6500,6900,6,6.1538462,6.1538462,6,-400,Nicolaisen,Nicolaisen63
64,4100,4400,6,7.3170732,7.3170732,6,-300,Nicolaisen,Nicolaisen64
65,480,728,6,51.6666667,51.6666667,6,-248,Nicolaisen,Nicolaisen65
66,8800,8322,6,5.4318182,-5.4318182,6,478,Nicolaisen,Nicolaisen66
67,19000,19410,6,2.1578947,2.1578947,6,-410,Nicolaisen,Nicolaisen67
68,14600,13708,6,6.109589,-6.109589,6,892,Nicolaisen,Nicolaisen68
69,13700,13412,6,2.1021898,-2.1021898,6,288,Nicolaisen,Nicolaisen69
70,11100,12000,6,8.1081081,8.1081081,6,-900,Nicolaisen,Nicolaisen70
71,35000,26700,6,23.7142857,-23.7142857,6,8300,Nicolaisen,Nicolaisen71
72,10130,10901,6,7.6110563,7.6110563,6,-771,Nicolaisen,Nicolaisen72
73,1355,1486,6,9.6678967,9.6678967,6,-131,Nicolaisen,Nicolaisen73
74,46800,49500,6,5.7692308,5.7692308,6,-2700,Nicolaisen,Nicolaisen74
75,755,2500,6,231.1258278,231.1258278,6,-1745,Nicolaisen,Nicolaisen75
76,4200,3986,6,5.0952381,-5.0952381,6,214,Nicolaisen,Nicolaisen76
77,88900,67000,6,24.6344207,-24.6344207,6,21900,Nicolaisen,Nicolaisen77
78,5700,5023,6,11.877193,-11.877193,6,677,Nicolaisen,Nicolaisen78
79,11400,12752,6,11.8596491,11.8596491,6,-1352,Nicolaisen,Nicolaisen79
80,22000,32500,6,47.7272727,47.7272727,6,-10500,Nicolaisen,Nicolaisen80
81,16000,17200,6,7.5,7.5,6,-1200,Nicolaisen,Nicolaisen81
82,11000,12000,6,9.0909091,9.0909091,6,-1000,Nicolaisen,Nicolaisen82
83,20700,19466,6,5.9613527,-5.9613527,6,1234,Nicolaisen,Nicolaisen83
84,4150,3881,6,6.4819277,-6.4819277,6,269,Nicolaisen,Nicolaisen84
85,2000,6470,6,223.5,223.5,6,-4470,Nicolaisen,Nicolaisen85
86,900,1000,6,11.1111111,11.1111111,6,-100,Nicolaisen,Nicolaisen86
87,100,100,6,0,0,6,0,Nicolaisen,Nicolaisen87
88,82700,67030,6,18.9480048,-18.9480048,6,15670,Nicolaisen,Nicolaisen88
89,46000,37620,6,18.2173913,-18.2173913,6,8380,Nicolaisen,Nicolaisen89
91,13280,9200,6,30.7228916,-30.7228916,6,4080,Nicolaisen,Nicolaisen91
92,15500,14900,6,3.8709677,-3.8709677,6,600,Nicolaisen,Nicolaisen92
