InternalProjectID,Improvement Type
237506-2,1
237550-1,1
237565-1,1
237567-1,1
237567-1,1
237576-1,4
237592-1,4
237592-2,4
237592-2,4
237592-2,4
237629-1,2
237632-1,
237650-2,1
237650-2,1
237650-3,4
237965-1,4
411256-3,4
411256-4,4
411257-3,4
411257-4,4
411476-1,1
411603-1,1
411603-1A,1
411603-1A,1
411612-1,1
411613-1,1
411613-1A,1
411613-1A,1
411614-1,1
411614-1,1
411660-1,1
411661-1,1
411662-1,1
411664-1,1
411664-1,1
411664-1,1
411664-1,1
418647-1,1
411666-1,1
411667-1,1
411672-1,1
411672-1,1
411672-1,1
411727-1,1
411727-1,1
411728-1,1
411730-1,1
411742-1,1
411742-1,1
411742-1,1
411777-1,1
411777-1,1
411778-1,1
411781-1,1
411781-1,1
411782-1,1
411783-1,1
411787-1,1
411787-1,1
411809-1,1
411809-1,1
411809-1,1
411809-1,1
411981-1,1
411983-1,1
411983-1,1
411985-1,1
238394-2,4
238394-2,4
238394-2,4
238394-2A,4
238394-3,4
238394-4,12
238395-4,4
238395-5,4
238422-1,4
238422-1,4
238429-4,4
238429-5,4
238651-1,4
238677-1,4
238677-1,4
238720-1,1
238720-1,1
424899-1,1
424899-1,1
424886-1,1
424886-1,1
424885-1,1
424884-1,1
424883-1,1
424881-1,1
424881-1,1
424735-1,2
424524-1,1
424228-1,1
423630-1,1
423567-1,1
426566-1,1
423362-1,1
423362-2,1
423360-1,1
423359-1,1
423356-1,1
423356-1,1
423353-1,1
423352-1,1
423351-1,1
423350-1,1
423348-1,1
423347-1,1
423346-1,1
423096-1,4
422708-1,1
422707-1,1
422707-1,1
422683-1,1
422683-1,1
422627-1,4
422567-1,1
422223-1,4
422033-1,1
422032-1,1
422031-1,1
422030-2,1
422030-1,1
422028-1,1
422027-1,1
422027-1,1
422026-1,1
422024-2,1
422024-1,1
422023-1,1
422022-1,1
422020-1,1
422019-1,1
422018-1,1
422018-1,1
411742-1,1
411742-1,1
411742-1,1
422012-1,1
422011-1,1
422010-1,1
422009-1,1
422008-1,1
422005-1,1
422004-1,1
422004-1,1
422004-1,1
422004-1,1
422003-1,1
422002-1,1
422002-1,1
422001-1,1
421991-1,1
421990-1,1
421989-1,1
421988-1,1
421986-1,1
421981-1,1
421981-1,1
421979-1,1
421978-1,1
421977-1,1
421976-1,1
421975-1,1
421974-1,1
421621-1,1
419595-1,1
419596-1,1
419593-1,1
419593-1,1
419592-1,1
419592-1,1
419591-1,1
419591-1,1
419589-1,1
419597-1A,1
419588-1,1
419588-2,1
419587-1,1
419587-2,1
419586-1,1
419585-1,1
419585-1,1
419584-1,1
419583-1,1
419582-1,1
419582-1,1
419581-1,1
419557-1,1
419557-1,1
419564-1,1
419563-1,1
419563-1,1
419563-1,1
419562-1,1
419561-1,1
419370-1,4
419367-1,4
418328-1,4
418328-1,4
418321-1,4
417158-1,2
417158-1,2
417380-1,12
417378-1,12
417247-1,2
417247-1,2
417165-1,4
417006-1,2
416935-1,2
416893-1,4
416798-1,4
416773-1,12
416753-1,4
416740-1,12
416657-1,4
416518-1,2
416407-1,4
416221-1,4
416219-1,4
416194-1,4
416189-1,4
416188-1,1
416187-1,4
416153-1,1
415978-1,4
415977-1,4
415973-1,4
413596-1,1
413596-1,1
413596-1,1
413595-1,1
413594-1,1
413592-1,1
413592-1,1
413590-1,1
413590-1,1
413589-1,1
413587-1,1
413586-1,1
413586-1,1
413585-1,1
413603-1,1
413603-1,1
413584-1,1
413583-1,1
413582-1,1
413578-1,1
413578-1,1
413577-1,1
413576-1,1
413575-1,1
413574-1,1
413571-1,1
413571-1,1
413570-1,1
413473-1,12
412357-1,5
411997-1,1
411672-1,1
411672-1,1
411672-1,1
411993-1,1
411993-1,1
411116-1,1
411092-1,1
410983-1,4
410983-1,4
410983-1,4
410777-1,1
410250-1,4
409870-1,4
409847-1,1
409846-1,1
409180-1,1
409180-1,1
409180-1,1
409173-1,1
409173-1,1
409167-1,1
409167-1,1
409166-1,1
409165-1,1
409165-1,1
409093-1,1
408905-1,12
408639-1,1
408638-1,1
406869-4,1
406869-6,1
406869-6,1
406869-6,1
406869-3,1
406869-5,1
406869-5,1
405506-2,4
405506-2,4
405506-2,4
404525-1,4
404525-1,4
404418-1,2
404418-1,2
242696-1,4
242696-1,4
242592-2,4
241543-1,4
241211-1,1
241200-1,11
241043-1,1
241020-1,4
240992-5,2
240992-2,2
240992-2,2
240887-1,4
240373-1,4
416408-1,12
416939-1,1
416939-1,1
417141-1,1
417141-1,1
416187-1,12
417153-1,1
417154-1,1
417154-1,1
