StationID,ForecastYear
701007,2003
700233,2004
700348,2010
705149,2007
705206,2007
700169,2007
705064,2007
705125,2015
705064,2015
700403,2015
705027,2002
705147,2004
705131,2006
705131,2006
700345,2011
735003,2006
361009,2009
361007,2011
180002,2009
180100,2010
880165,2010
111012,2006
111012,2006
111021,2006
115176,2008
110503,2006
110502,2006
110503,2006
360479,2005
360480,2005
361012,2003
360245,2003
110502,2003
700398,2004
700399,2004
700400,2004
700400,2004
705197,2010
700150,2010
700395,2005
700408,2004
700421,2004
700423,2004
755140,2005
755044,2005
750630,2005
750444,2006
770064,2009
775051,2009
770102,2009
795081,2006
795142,2006
791001,2005
795179,2009
790436,2009
795185,2006
920058,2005
,2004
750587,2004
790503,2006
790503,2006
790133,2006
790492,2006
110208,2005
360481,2005
360443,2005
795121,2009
115097,2010
110109,2010
115124,2010
115097,2010
115093,2011
110109,2011
115178,2012
111021,2007
110310,2008
110425,2008
110390,2007
750572,2007
360222,2005
360470,2009
360471,2009
360024,2015
360030,2015
755218,2012
755211,2012
700249,2011
705027,2011
360468,2012
180204,2012
180001,2011
111017,2012
115035,2012
181001,2011
180118,2012
709919,2010
705117,2011
700322,2011
189920,2011
920105,2011
920255,2011
790004,2010
770175,2010
750521,2011
750638,2011
750565,2011
700280,2011
790412,2011
700429,2010
361002,2011
115057,2010
110319,2011
111000,2014
775050,2010
775078,2011
770271,2011
795096,2012
795099,2012
790532,2013
700080,2010
750089,2011
920300,2010
790363,2011
790421,2010
111017,2012
795128,2010
790111,2010
790514,2010
790207,2010
790080,2010
790478,2013
799925,2010
790280,2010
770040,2010
790445,2010
795159,2010
795168,2010
795159,2010
770064,2009
775051,2009
770102,2009
750454,2010
750593,2011
755216,2010
750607,2010
750089,2010
755046,2010
795148,2010
755035,2010
755039,2010
750436,2010
750642,2010
750105,2010
750480,2010
735003,2010
700345,2010
700114,2010
180209,2011
180102,2011
180061,2010
110425,2010
115047,2010
110365,2010
110050,2010
770074,2010
110049,2011
110390,2010
110241,2011
795066,2011
795172,2009
795094,2009
180006,2009
180100,2009
700069,2009
700404,2009
115120,2009
115116,2009
791007,2010
790274,2010
790100,2008
791019,2008
755172,2009
750551,2009
360469,2008
365022,2008
365050,2008
360452,2009
361016,2008
750578,2009
750579,2009
110470,2008
361007,2008
360043,2008
110297,2009
700359,2008
700360,2008
700300,2008
920100,2009
110246,2009
110010,2014
772009,2008
700381,2010
700024,2010
920135,2011
110502,2007
360411,2007
110297,2009
360004,2009
790487,2007
790527,2007
110501,2008
700002,2007
180002,2008
750638,2008
360442,2008
795168,2008
360486,2008
750565,2008
111019,2008
922019,2011
700228,2007
180205,2007
795197,2010
795182,2009
750592,2008
180209,2007
180009,2007
360200,2005
770074,2007
791001,2006
180202,2011
790519,2006
790104,2006
790448,2006
790531,2006
750572,2006
920029,2006
920314,2006
750355,2006
755174,2006
705159,2006
700369,2006
700425,2006
700426,2006
750294,2006
750660,2006
750084,2006
791015,2006
360122,2006
790532,2006
755127,2006
755129,2006
750565,2006
705071,2006
111019,2006
110008,2005
730004,2006
780021,2006
365046,2005
180117,2006
180122,2005
701005,2008
700408,2004
700421,2004
700423,2004
110363,2005
110362,2005
111020,2003
730101,2011
750038,2007
750075,2007
750518,2007
790516,2008
180041,2009
110246,2010
790486,2004
700363,2004
110045,2004
110376,2004
115079,2004
920044,2004
921006,2004
700430,2005
700433,2005
700114,2004
700391,2004
700389,2004
110045,2005
360463,2007
730009,2008
110362,2006
790503,2012
790503,2012
790133,2012
790492,2012
700364,2012
700363,2012
700436,2012
700439,2010
700401,2010
700402,2010
770020,2006
770020,2006
770019,2006
770152,2006
790495,2003
790496,2003
770267,2009
360467,2008
700379,2010
705112,2005
790531,2006
790066,2007
795155,2012
795057,2012
790213,2012
791004,2008
180202,2005
705119,2008
180186,2008
180188,2008
730009,2008
735009,2008
700419,2007
700438,2007
790530,2008
790523,2008
