,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY,Year,ActualCount,AdjustedForecast
24,23174,2002,RC,2004.0,3370.0,2024,4690.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,1310.0,3700.0
25,23174,2002,RC,2004.0,2830.0,2024,3930.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,1310.0,3105.0
26,21453,2002,UNK,2004.0,26400.0,2016,29200.0,,2005.0,20800.0,2007.0,23310.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0,20800.0,26633.333333333332
27,21453,2002,UNK,2004.0,17700.0,2016,19800.0,,2005.0,16210.0,2007.0,16980.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0,16210.0,17875.0
28,21938,2002,UNK,2004.0,17980.0,2024,23730.0,,2003.0,13000.0,2007.0,15060.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0,15060.0,18842.5
29,21938,2002,UNK,2004.0,12790.0,2024,17300.0,,2003.0,11820.0,2007.0,11830.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0,11830.0,13466.5
30,22232,2002,MR,2004.0,21590.0,2024,26970.0,,2005.0,17890.0,2008.0,19420.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,17890.0,21859.0
31,22232,2002,MR,2004.0,11890.0,2024,15010.0,,2005.0,10320.0,2008.0,10860.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,10320.0,12046.0
32,22232,2002,MR,2004.0,16020.0,2024,16490.0,,2005.0,13800.0,2008.0,13900.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,13800.0,16043.5
33,20996,2003,UNK,2004.0,20540.0,2024,30400.0,,2003.0,18640.0,2010.0,17970.0,2004.0,1,1.0,6,1.0,12,41,1.0,6.0,-6.0,0.0,1.0,2010.0,17970.0,23498.0
34,24738,2003,UNK,2004.0,9160.0,2016,9700.0,,2004.0,9320.0,2008.0,9030.0,2004.0,1,4.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2004.0,9320.0,9160.0
35,24738,2003,UNK,2004.0,1070.0,2016,1190.0,,2004.0,1360.0,2008.0,1220.0,2004.0,1,5.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2004.0,1360.0,1070.0
36,25154,2003,UNK,2004.0,61870.0,2024,75450.0,,2003.0,67020.0,2009.0,66090.0,2004.0,1,1.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,66090.0,65265.0
37,25154,2003,UNK,2004.0,97990.0,2024,108410.0,,2003.0,66450.0,2009.0,66090.0,2004.0,1,1.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,66090.0,100595.0
38,25159,2003,MR,2004.0,64940.0,2024,80560.0,,2004.0,63900.0,2009.0,59680.0,2004.0,1,1.0,6,1.0,1,41,0.0,5.0,-5.0,0.0,0.0,2004.0,63900.0,64940.0
39,25159,2003,MR,2004.0,64130.0,2024,80970.0,,2004.0,65220.0,2009.0,58340.0,2004.0,1,1.0,6,1.0,1,41,0.0,5.0,-5.0,0.0,0.0,2004.0,65220.0,64130.0
40,77057,2003,RC,2004.0,23590.0,2024,31000.0,,2006.0,17770.0,2009.0,17930.0,2004.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0,17770.0,24331.0
41,77057,2003,RC,2004.0,21820.0,2024,28940.0,,2006.0,17830.0,2009.0,17520.0,2004.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0,17830.0,22532.0
42,77057,2003,RC,2004.0,2650.0,2024,3010.0,,2006.0,2070.0,2009.0,2190.0,2004.0,1,5.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0,2070.0,2686.0
43,20236,2004,MR,2004.0,40720.0,2024,61940.0,,2006.0,39990.0,2010.0,36130.0,2004.0,1,1.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0,39990.0,42842.0
44,20236,2004,MR,2004.0,40690.0,2024,61230.0,,2006.0,40130.0,2010.0,36520.0,2004.0,1,1.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0,40130.0,42744.0
45,20236,2004,MR,2004.0,8900.0,2024,12800.0,,2006.0,7020.0,2010.0,7270.0,2004.0,1,5.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0,7020.0,9290.0
46,20236,2004,MR,2004.0,8210.0,2024,13070.0,,2006.0,7230.0,2010.0,7890.0,2004.0,1,5.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0,7230.0,8696.0
47,23586,2004,UNK,2004.0,4490.0,2016,5370.0,,2005.0,3850.0,2008.0,3490.0,2004.0,1,5.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,3850.0,4563.333333333333
48,23586,2004,UNK,2004.0,2450.0,2016,2800.0,,2005.0,2490.0,2008.0,2440.0,2004.0,1,5.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,2490.0,2479.1666666666665
49,24794,2002,UNK,2005.0,15130.0,2025,22700.0,,2004.0,15580.0,2008.0,15190.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0,15580.0,14751.5
50,24794,2002,UNK,2005.0,17250.0,2025,26240.0,,2004.0,17800.0,2008.0,17340.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0,17800.0,16800.5
51,24794,2002,UNK,2005.0,15530.0,2025,24300.0,,2004.0,18020.0,2008.0,17770.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0,18020.0,15091.5
52,19932,2002,UNK,2005.0,36600.0,2025,49240.0,,2004.0,43330.0,2010.0,41700.0,2005.0,1,1.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2010.0,41700.0,39760.0
53,23265,2002,MR,2005.0,21140.0,2025,23650.0,,2005.0,14590.0,2009.0,13790.0,2005.0,1,3.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2005.0,14590.0,21140.0
54,23894,2002,MR,2005.0,16690.0,2025,21180.0,,2006.0,16060.0,2009.0,14700.0,2005.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,16060.0,16914.5
55,23894,2002,MR,2005.0,18820.0,2025,23860.0,,2006.0,16060.0,2009.0,14700.0,2005.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,16060.0,19072.0
56,23265,2002,MR,2005.0,8250.0,2025,10080.0,,2005.0,7570.0,2009.0,5970.0,2005.0,1,4.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2005.0,7570.0,8250.0
57,19503,2003,SPC,2005.0,14410.0,2017,17340.0,Combination of RC and MR,2005.0,14880.0,2007.0,17210.0,2005.0,1,3.0,6,1.0,1,41,0.0,2.0,-2.0,0.0,0.0,2005.0,14880.0,14410.0
58,23717,2003,RC,2005.0,10080.0,2017,11450.0,,2005.0,9290.0,2007.0,9810.0,2005.0,1,3.0,6,1.0,12,41,0.0,2.0,-2.0,0.0,0.0,2005.0,9290.0,10080.0
59,23903,2003,MR,2005.0,6530.0,2025,9340.0,,2004.0,5820.0,2010.0,6190.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0,6190.0,7232.5
60,23903,2003,MR,2005.0,2360.0,2025,2920.0,,2004.0,3290.0,2010.0,2680.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0,2680.0,2500.0
61,23903,2003,MR,2005.0,6560.0,2025,9130.0,,2004.0,6090.0,2010.0,6710.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0,6710.0,7202.5
62,75182,2003,UNK,2005.0,8430.0,2025,10040.0,,2006.0,7700.0,2009.0,6970.0,2005.0,1,5.0,6,1.0,2,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,7700.0,8510.5
63,75182,2003,UNK,2005.0,9230.0,2025,16520.0,,2006.0,6480.0,2009.0,5690.0,2005.0,1,5.0,6,1.0,2,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,6480.0,9594.5
64,76265,2003,RC,2005.0,6300.0,2025,8750.0,,2005.0,7160.0,2008.0,6840.0,2005.0,1,5.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2005.0,7160.0,6300.0
65,22219,2003,RC,2005.0,4060.0,2025,2100.0,,2004.0,4000.0,2010.0,3360.0,2005.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2010.0,3360.0,3570.0
66,22219,2003,RC,2005.0,2100.0,2025,2940.0,,2004.0,1950.0,2010.0,1950.0,2005.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2010.0,1950.0,2310.0
67,25713,2003,UNK,2005.0,70110.0,2025,85800.0,,2006.0,73350.0,2010.0,63940.0,2005.0,1,1.0,6,1.0,12,41,-1.0,5.0,-5.0,0.0,-1.0,2006.0,73350.0,70894.5
68,25713,2003,UNK,2005.0,136140.0,2025,162880.0,,2006.0,150740.0,2010.0,122460.0,2005.0,1,1.0,6,1.0,12,41,-1.0,5.0,-5.0,0.0,-1.0,2006.0,150740.0,137477.0
69,24441,2003,UNK,2005.0,97990.0,2025,108410.0,,2006.0,102780.0,2009.0,91640.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,102780.0,98511.0
70,24441,2003,UNK,2005.0,102150.0,2025,111310.0,,2006.0,104240.0,2009.0,92640.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,104240.0,102608.0
71,24441,2003,UNK,2005.0,102480.0,2025,111440.0,,2006.0,105090.0,2009.0,91330.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,105090.0,102928.0
72,24441,2003,UNK,2005.0,125470.0,2025,135180.0,,2006.0,128670.0,2009.0,113330.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,128670.0,125955.5
73,19503,2003,SPC,2005.0,17270.0,2017,19550.0,Combination of RC and MR,2005.0,14210.0,2007.0,14230.0,2005.0,1,1.0,6,1.0,1,41,0.0,2.0,-2.0,0.0,0.0,2005.0,14210.0,17270.0
74,21785,2003,UNK,2005.0,14080.0,2025,17060.0,,2007.0,12810.0,2010.0,12340.0,2005.0,1,4.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0,12810.0,14378.0
75,23716,2004,UNK,2005.0,12560.0,2017,15880.0,,2006.0,11710.0,2009.0,10970.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,11710.0,12836.666666666666
76,23587,2004,RC,2005.0,6340.0,2017,7590.0,,2006.0,3850.0,2009.0,3990.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,3850.0,6444.166666666667
77,23576,2004,RC,2005.0,11930.0,2017,12680.0,,2005.0,11610.0,2008.0,13640.0,2005.0,1,4.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2005.0,11610.0,11930.0
78,10914,2004,MR,2005.0,73040.0,2025,84780.0,,2006.0,75310.0,2006.0,75310.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0,75310.0,73627.0
79,10914,2004,MR,2005.0,72910.0,2025,85330.0,,2006.0,72880.0,2006.0,72880.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0,72880.0,73531.0
80,10914,2004,MR,2005.0,68810.0,2025,80530.0,,2006.0,65950.0,2006.0,65950.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0,65950.0,69396.0
81,10914,2004,MR,2005.0,62360.0,2025,72980.0,,2006.0,57050.0,2006.0,57050.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0,57050.0,62891.0
82,18702,2004,MR,2005.0,89090.0,2025,104420.0,,2007.0,103690.0,2010.0,101580.0,2005.0,1,1.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0,103690.0,90623.0
83,75869,2004,MR,2005.0,104800.0,2025,123500.0,,2006.0,107210.0,2009.0,88050.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,107210.0,105735.0
84,75869,2004,MR,2005.0,92700.0,2025,122300.0,,2006.0,107060.0,2009.0,89580.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,107060.0,94180.0
85,75869,2004,MR,2005.0,96000.0,2025,126000.0,,2006.0,107060.0,2009.0,89580.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,107060.0,97500.0
86,75869,2004,MR,2005.0,83800.0,2025,113600.0,,2006.0,99300.0,2009.0,88530.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0,99300.0,85290.0
87,76968,2004,MR,2005.0,27290.0,2025,28750.0,,2007.0,28540.0,2010.0,26910.0,2005.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0,28540.0,27436.0
