Absolute Percent Error by Segment,,,,,,,,,,,,,,
ForecastMethodology,ImprovementType,count,mean,std,min,25%,50%,75%,max,,,,,
1- Traffic Count Trend,1-Resurfacing/Replacement/no minor improvements,158,28.29986561,29.3581603,1.030927835,8.088235294,19.2722372,35.53921568,160.2040816,,,,,
,"2-In existing facility, add intersection capacity",10,58.06295969,104.1077162,0,8.199643494,9.708737864,17.11229947,255.2941176,,,,,
,"4-In existing facility, add new dedicated lane(s)",62,17.90137388,13.57363223,0.372439479,6.635406857,15.26717557,26.36915012,55.70175439,,,,,
,"5-In existing facility, add new managed lane(s)",2,4.255319149,0,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,,,,,
,12-Unknown Improvement,2361,53.12745805,116.4100235,0,11.25541126,29.89045383,54.66666667,2142.424242,,,,,
2- Population Growth Rate,1-Resurfacing/Replacement/no minor improvements,12,21.03521663,15.66164469,6.995884774,8.629441624,14.21383648,34.01015228,48.14814815,,,,,
,"4-In existing facility, add new dedicated lane(s)",2,2.857142857,0,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,,,,,
4- Regional Travel Model,1-Resurfacing/Replacement/no minor improvements,228,22.19887917,19.84015305,0,7.188353048,16.0816913,31.20805369,85.05747126,,,,,
,"2-In existing facility, add intersection capacity",20,44.61460419,27.5995518,10.71428571,24.59016393,33.7260929,68.87159533,91.66666667,,,,,
,"4-In existing facility, add new dedicated lane(s)",74,23.43700336,13.75950378,0.024396194,12.28070175,22.81303602,31.92771084,55.02183406,,,,,
,12-Unknown Improvement,210,17.35117454,16.13836248,0,7.079831932,14.28571429,23.25994318,146.6666667,,,,,
5-Professional Judgement,1-Resurfacing/Replacement/no minor improvements,342,42.42407894,110.9878099,0.537634409,8.226603469,19.65471448,41.51264373,1328.571429,,,,,
,"2-In existing facility, add intersection capacity",2,2.150537634,0,2.150537634,2.150537634,2.150537634,2.150537634,2.150537634,,,,,
,"4-In existing facility, add new dedicated lane(s)",40,30.46208435,35.95212486,1.565995526,14.86068111,20.48192771,29.13385827,167.7165354,,,,,
,12-Unknown Improvement,14,61.65873244,51.26474994,3.682719547,29.47674749,44.38930946,82.95233351,167.7165354,,,,,
6-Unknown Methodology,1-Resurfacing/Replacement/no minor improvements,915,16.11152413,40.19886929,0,3.593864441,11.61876826,21.03254475,1096.781076,,,,,
,"2-In existing facility, add intersection capacity",205,17.35305107,14.80170389,0,6.662157592,14.79678239,24.2608875,94.64903361,,,,,
,"3-In existing facility, add mainline/mid-block capacity in general purpose lane(s)",64,18.10380753,15.92884249,0,5.631762242,16.41511685,23.79234213,65.73281626,,,,,
,"4-In existing facility, add new dedicated lane(s)",4,44.16058394,2.107117773,42.33576642,42.33576642,44.16058394,45.98540146,45.98540146,,,,,
,7-New general-purpose lane(s) facility,4,10.87655437,11.55457318,0.521221147,2.978663173,8.319138723,16.21702992,26.3467189,,,,,
,11-Other New Facility,164,15.39300833,15.1044633,0.008982574,4.971155748,10.97133215,22.48352036,83.45105954,,,,,
,12-Unknown Improvement,225,17.85692165,17.92245423,0.071172021,5.795030839,12.71734113,24.06697599,169.899323,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
