DiffYear,count,mean,std,min,25%,50%,75%,max
0,202,16.46901325,14.99227054,0,5.640586778,14.010094,21.88280061,78.73303167
1,522,17.54595879,51.65818919,0,3.879157967,10.38647226,21.67032677,1096.781076
2,1027,24.97825285,65.08701512,0,6.173586823,14.63917526,26.39175026,1328.571429
3,688,23.04818351,31.38850378,0,7.255255407,16.86046512,28.14221328,282.8125
4,297,18.30530787,14.24682358,0,7.01192383,17.19298246,26.64705882,70.91836735
5,223,17.65892907,20.01882716,0.00129234,5.348414501,12.14452535,25.42934267,169.899323
6,62,23.77606447,21.25607927,0.041684035,7.93037554,23.25812068,31.22607946,146.6666667
7,3,24.41637948,11.76352479,10.83303107,21.02054238,31.20805369,31.20805369,31.20805369
8,48,17.47750171,14.22678158,0.024396194,5.382710177,13.19314456,26.65541726,51.14345114
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,20,52.60880595,24.30270287,4.151515152,42.62788779,54.14040617,66.74867021,92.74193548
12,0,0,0,0,0,0,0,0
13,88,34.67345516,30.30083347,0,8.824817336,25.90199704,46.98087172,108.8235294
14,264,30.99828136,51.28318887,0,8.832924626,16.30862748,28.4164859,355.3846154
15,234,37.5237384,24.69452192,0,20.74303406,35.8649789,50.61307902,163.9821029
16,81,37.60428297,31.96422737,0.095057034,15.88785047,31.57894737,48.75,143.0555556
17,146,69.30343925,122.1678302,1.237623762,30.74534214,47.17741935,72.97297297,1033.333333
18,124,48.91926204,43.90182814,1.179941003,15.15431926,33.33032708,77.75614674,205.5555556
