"Segment/
Intersection",Roadway ID,Intersection Approach,ForecastYear,AADT,StationID,Actual AADT,Improvement Type
SR 5/US 1 from 11 Street to Silver Beach Road ,93020000,,2013,29200,930755,23500,1
SR A1A from Azalea Terrace to (MP 4.030) ,86030000,S,2012,29100,865042,23000,12
SR A1A from Azalea Terrace to (MP 4.030) ,86030000,S,2011,24100,865166,19800,12
SR A1A from Cordova Road to Eastof Eisenhower Boulevard ,86180000,E,2013,47700, 865306,41000,1
SR 708 from Old Dixie Highway to 1100 feet east of Old Dixie Highway ,93012000,,2013,30100,930071,16600,1
SR 70 Okeechobee Road Virginia Avenue from East of Jenkins Road (MP 21.600) to US 1 (MP 25.255),94030000,E,2012,39200,940742,27000,1
SR 70 Okeechobee Road Virginia Avenue from East of Jenkins Road (MP 21.600) to US 1 (MP 25.255),94030000,E,2012,30300,940032,21000,1
SR 804 from East of Hagen Ranch Road (MP 2.760) to West of Jog Rod (MP 3.360),93200000,E,2012,37400,935201,41000,12
SR 802 East of Congress Avenue (MP 7.200) to West of Lake Osborne Drive (MP 8.010),93180000,E,2012,25500,930025,24500,12
SR 811 from Hillsboro Boulevard to SW 18 Street (Boca Raton) ,86170000,N,2012,23900,860490,15600,12
SR 713 St. Lucie County from SR 614/Indrio (MP 7.5) to North of Spanish Lakes Blvd (9.5),94003000,N,2013,15600,940269,9000,1
SR 5 from (MP 0.475)  to (MP 0.675),94010000,N,2011,61700,945071,50500,1
SR 717 from Main Street (MP .590) to SR 715 (MP 1.706),93170000,N,2013,3700,930085,3300,12
CR 714 from Mapp Road to SR 76 ,89000056,N,2011,42900,890025,41000,12
SR 25 from Miami Dade County Line (MP 0.000) to North of Griffin Road (MP 7.192),86060000,N,2010,22400,860584,17100,1
SR 25 from Miami Dade County Line (MP 0.000) to North of Griffin Road (MP 7.192),86060000,N,2010,18800,860083,17900,1
SR 25 from Miami Dade County Line (MP 0.000) to North of Griffin Road (MP 7.192),86060000,S ,2010,16400,865336,17200,1
SR 25 from Miami Dade County Line (MP 0.000) to North of Griffin Road (MP 7.192),86060000,S ,2010,15400,865240,14100,1
SR A1A from (MP 0.000)  Broward County to N of Seacrest Parkway,86030000,N,2012,36500,865044,40000,1
SR A1A (MP 2.400) In St Lucie County to (MP 5.900) ,94060000,N,2012,9900,940705,5900,1
SR 80 from (MP 2.620) to (MP 4.460) ,93110000,S ,2013,14600,930359,17300,1
SR 80 from (MP 2.620) to (MP 4.460) ,93110000,S ,2013,23300,935177,22000,1
SR A1A from (MP 3.380) Palm Beach County to (MP 4.000) along John D. MacArthur Beach,93080000,,2012,9500,930666,7000,1
