,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY
16,19578,1999,RC,2003.0,21450.0,2023,30190.0,,2003.0,21000.0,2010.0,19760.0,,1,1.0,6,1.0,12,41,0.0,7.0,,,
17,19578,1999,RC,2003.0,20770.0,2023,29380.0,,2003.0,20450.0,2010.0,18370.0,,1,1.0,6,1.0,12,41,0.0,7.0,,,
18,19578,1999,RC,2003.0,9350.0,2023,12180.0,,2003.0,7420.0,2010.0,5940.0,,1,4.0,6,1.0,12,41,0.0,7.0,,,
19,19578,1999,RC,2003.0,10320.0,2023,13370.0,,2003.0,12670.0,2010.0,9420.0,,1,4.0,6,1.0,12,41,0.0,7.0,,,
20,19578,1999,RC,2003.0,11850.0,2023,14800.0,,2003.0,12670.0,2010.0,9420.0,,1,4.0,6,1.0,12,41,0.0,7.0,,,
21,19578,1999,RC,2003.0,3290.0,2023,5760.0,,2003.0,3090.0,2010.0,2430.0,,1,5.0,6,1.0,12,41,0.0,7.0,,,
55,X,2002,RC,2004.0,2200.0,2016,2890.0,,2003.0,2000.0,2009.0,2140.0,,1,5.0,6,1.0,1,41,1.0,5.0,,,
56,X,2002,RC,2004.0,1970.0,2016,2390.0,,2003.0,1880.0,2009.0,1810.0,,1,5.0,6,1.0,1,41,1.0,5.0,,,
57,X,2002,RC,2004.0,1730.0,2016,2320.0,,2003.0,1650.0,2009.0,1580.0,,1,5.0,6,1.0,1,41,1.0,5.0,,,
58,X,2002,RC,2004.0,1570.0,2016,2200.0,,2003.0,1480.0,2009.0,1680.0,,1,5.0,6,1.0,1,41,1.0,5.0,,,
68,22179,2002,MR,2004.0,51910.0,2024,65630.0,,2005.0,51920.0,2008.0,48270.0,,1,1.0,6,1.0,12,41,-1.0,4.0,,,
69,22179,2002,MR,2004.0,46740.0,2024,59100.0,,2005.0,51920.0,2008.0,48270.0,,1,1.0,6,1.0,12,41,-1.0,4.0,,,
70,22179,2002,MR,2004.0,46740.0,2024,59100.0,,2005.0,50740.0,2008.0,46670.0,,1,1.0,6,1.0,12,41,-1.0,4.0,,,
81,75186,2003,UNK,2004.0,52960.0,2024,71610.0,,2004.0,51030.0,2010.0,47190.0,,1,1.0,6,1.0,11,41,0.0,6.0,,,
99,X,2003,UNK,2004.0,3320.0,2024,4160.0,,2003.0,3010.0,2011.0,2800.0,,1,5.0,6,1.0,1,41,1.0,7.0,,,
104,,2003,MR,2004.0,88310.0,2024,104720.0,,2003.0,92550.0,2010.0,93650.0,,1,1.0,6,1.0,11,41,1.0,6.0,,,
105,,2003,MR,2004.0,99150.0,2024,112650.0,,2003.0,108520.0,2010.0,104340.0,,1,1.0,6,1.0,11,41,1.0,6.0,,,
106,,2003,MR,2004.0,111280.0,2024,123940.0,,2003.0,116790.0,2010.0,110160.0,,1,1.0,6,1.0,11,41,1.0,6.0,,,
107,,2003,MR,2004.0,114080.0,2024,124140.0,,2003.0,119890.0,2010.0,114050.0,,1,1.0,6,1.0,11,41,1.0,6.0,,,
111,23029,2003,MR,2004.0,21200.0,2024,23590.0,,2005.0,19800.0,2007.0,19610.0,,1,3.0,6,1.0,2,41,-1.0,3.0,,,
112,23029,2003,MR,2004.0,20770.0,2024,23080.0,,2005.0,16240.0,2007.0,16360.0,,1,3.0,6,1.0,2,41,-1.0,3.0,,,
113,75078,2003,MR,2004.0,12490.0,2024,15910.0,,2006.0,10260.0,2009.0,10350.0,,1,3.0,6,1.0,3,41,-2.0,5.0,,,
114,24771,2003,MR,2004.0,16500.0,2024,18750.0,,2005.0,16000.0,2007.0,16060.0,,1,3.0,6,1.0,3,41,-1.0,3.0,,,
115,24771,2003,MR,2004.0,20280.0,2024,23010.0,,2005.0,16000.0,2007.0,16060.0,,1,3.0,6,1.0,3,41,-1.0,3.0,,,
116,75077,2003,MR,2004.0,12490.0,2024,15910.0,,2006.0,10260.0,2009.0,10350.0,,1,3.0,6,1.0,1,41,-2.0,5.0,,,
124,77688,2004,RC,2004.0,3950.0,2024,5250.0,,2003.0,3880.0,2009.0,3310.0,,1,5.0,6,1.0,1,41,1.0,5.0,,,
129,20424,2004,MR,2004.0,45820.0,2024,58450.0,,2004.0,43330.0,2008.0,40940.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
130,20424,2004,MR,2004.0,44940.0,2024,57570.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
131,20424,2004,MR,2004.0,41360.0,2024,60010.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
132,20424,2004,MR,2004.0,40620.0,2024,59270.0,,2004.0,34150.0,2008.0,31500.0,,1,3.0,6,1.0,1,41,0.0,4.0,,,
