,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffPOY_AOY,diffAOY_NAOY,diffAOY_RY
2438,93590,2012,UNK,2013.0,7800.0,2033,8700.0,,2012.0,8000.0,,,2013.0,1,3.0,6,1.0,12,41,1.0,,0.0,1.0,
2443,90423,2012,UNK,2013.0,11000.0,2033,14000.0,,2013.0,9740.0,,,2013.0,1,3.0,6,1.0,12,41,0.0,,0.0,0.0,
2462,88759,2012,UNK,2013.0,1800.0,2033,1900.0,,2013.0,920.0,,,2013.0,1,5.0,6,1.0,12,41,0.0,,0.0,0.0,
2471,76174,2012,UNK,2013.0,84140.0,2033,102070.0,,2013.0,75300.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2472,76174,2012,UNK,2013.0,92520.0,2033,101700.0,,2013.0,69330.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2473,76174,2012,UNK,2013.0,92520.0,2033,101700.0,,2013.0,69330.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2474,76174,2012,UNK,2013.0,75170.0,2033,83650.0,,2013.0,61900.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2475,76174,2012,UNK,2013.0,75170.0,2033,83650.0,,2013.0,61900.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2476,76174,2012,UNK,2013.0,105090.0,2033,117540.0,,2013.0,87970.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2477,76174,2012,UNK,2013.0,103960.0,2033,125110.0,,2013.0,89300.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2478,76174,2012,UNK,2013.0,103960.0,2033,125110.0,,2013.0,89300.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2479,76174,2012,UNK,2013.0,106470.0,2033,127800.0,,2013.0,93900.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2481,88000,2012,UNK,2013.0,10780.0,2025,11540.0,,2013.0,129013.0,,,2013.0,1,1.0,6,1.0,1,41,0.0,,0.0,0.0,
2502,83883,2012,UNK,2013.0,154000.0,2035,182000.0,,2013.0,157070.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
2504,95132,2012,UNK,2013.0,172000.0,2025,172000.0,,2013.0,65850.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
2505,95132,2012,UNK,2013.0,75000.0,2025,77000.0,,2013.0,74360.0,,,2013.0,1,1.0,6,1.0,12,41,0.0,,0.0,0.0,
