InternalProjectID,AverageForecast,AverageCount,Yforecast,Ycount1,ForecastMethod,AbsPE,PercentError,UnifiedImprovementType
117,,,1991,,6,27.2727273,-27.2727273,6
125,7300,11700,1990,2004,6,60.2739726,60.2739726,6
136,18200,28200,1991,2004,6,54.9450549,54.9450549,6
152,175866,156091,1992,2007,6,11.2443565,-11.2443565,6
158,,,,,6,13,13,6
164,154100,149700,2001,2006,6,2.8552888,-2.8552888,6
174,254538,242055,2001,2006,6,4.9041793,-4.9041793,6
179,16000,19500,1994,2004,6,21.875,21.875,6
184,25000,23500,1991,2005,6,6,-6,6
199,74600,81200,2004,2007,6,8.847185,8.847185,6
206,,,,2007,6,100,100,6
215,40850,40400,1998,2006,6,1.1015912,-1.1015912,6
221,32250,27600,1991,2003,6,14.4186047,-14.4186047,6
225,47708,53900,2004,2008,6,12.9789553,12.9789553,6
238,109000,109900,1994,2005,6,0.8256881,0.8256881,6
247,59658,88197,1992,1999,6,47.8376747,47.8376747,6
252,28400,20400,1995,2009,6,28.1690141,-28.1690141,6
260,50691,69309,,2008,6,36.7284133,36.7284133,6
264,34992,52613,1998,2004,6,50.3572245,50.3572245,6
271,24880,32550,2002,2007,6,30.8279743,30.8279743,6
284,101390,85902,1998,2006,6,15.2756682,-15.2756682,6
292,30400,32400,,2009,6,6.5789474,6.5789474,6
299,30400,31700,2003,2009,6,4.2763158,4.2763158,6
304,27500,26500,1997,2007,6,3.6363636,-3.6363636,6
315,105938,105354,1999,2008,6,0.5512658,-0.5512658,6
321,1600,2206,2002,2007,6,37.875,37.875,6
331,24600,33600,2000,2008,6,36.5853659,36.5853659,6
347,159120,114115,,2008,6,28.2836853,-28.2836853,6
353,70800,60200,,2005,6,14.9717514,-14.9717514,6
357,57100,62900,1993,2004,6,10.1576182,10.1576182,6
360,146158,130932,1994,2008,6,10.4174934,-10.4174934,6
362,50600,43600,2004,2006,6,13.8339921,-13.8339921,6
366,151744,143361,,2007,6,5.5244359,-5.5244359,6
381,703950,554300,2003,2011,6,21.2586121,-21.2586121,6
392,717000,727650,1996,2006,6,1.4853556,1.4853556,6
409,256500,278100,2004,2008,6,8.4210526,8.4210526,6
413,298000,254000,1997,2007,6,14.7651007,-14.7651007,6
