,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY,Year
59,24316,2002,UNK,2004.0,4440.0,2024,5290.0,,2003.0,4360.0,2009.0,3540.0,2004.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0
60,24316,2002,UNK,2004.0,9450.0,2024,10300.0,,2003.0,5490.0,2009.0,4390.0,2004.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0
61,23569,2002,RC,2004.0,3400.0,2024,4130.0,,2003.0,4860.0,2009.0,3810.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
62,22398,2002,RC,2004.0,1350.0,2024,1910.0,,2003.0,1500.0,2009.0,1690.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
63,22398,2002,RC,2004.0,1890.0,2024,2640.0,,2003.0,1750.0,2009.0,2040.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
64,23174,2002,RC,2004.0,4260.0,2024,5950.0,,2003.0,2760.0,2009.0,2630.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
65,23174,2002,RC,2004.0,3290.0,2024,4600.0,,2003.0,2930.0,2009.0,2670.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
66,23174,2002,RC,2004.0,3370.0,2024,4690.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
67,23174,2002,RC,2004.0,2830.0,2024,3930.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0
73,21453,2002,UNK,2004.0,26400.0,2016,29200.0,,2005.0,20800.0,2007.0,23310.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0
74,21453,2002,UNK,2004.0,17700.0,2016,19800.0,,2005.0,16210.0,2007.0,16980.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0
75,21938,2002,UNK,2004.0,17980.0,2024,23730.0,,2003.0,13000.0,2007.0,15060.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0
76,21938,2002,UNK,2004.0,12790.0,2024,17300.0,,2003.0,11820.0,2007.0,11830.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0
77,22232,2002,MR,2004.0,21590.0,2024,26970.0,,2005.0,17890.0,2008.0,19420.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0
78,22232,2002,MR,2004.0,11890.0,2024,15010.0,,2005.0,10320.0,2008.0,10860.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0
79,22232,2002,MR,2004.0,16020.0,2024,16490.0,,2005.0,13800.0,2008.0,13900.0,2004.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0
82,20996,2003,UNK,2004.0,20540.0,2024,30400.0,,2003.0,18640.0,2010.0,17970.0,2004.0,1,1.0,6,1.0,12,41,1.0,6.0,-6.0,0.0,1.0,2010.0
94,24738,2003,UNK,2004.0,9160.0,2016,9700.0,,2004.0,9320.0,2008.0,9030.0,2004.0,1,4.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2004.0
101,24738,2003,UNK,2004.0,1070.0,2016,1190.0,,2004.0,1360.0,2008.0,1220.0,2004.0,1,5.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2004.0
102,25154,2003,UNK,2004.0,61870.0,2024,75450.0,,2003.0,67020.0,2009.0,66090.0,2004.0,1,1.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0
103,25154,2003,UNK,2004.0,97990.0,2024,108410.0,,2003.0,66450.0,2009.0,66090.0,2004.0,1,1.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0
108,25159,2003,MR,2004.0,64940.0,2024,80560.0,,2004.0,63900.0,2009.0,59680.0,2004.0,1,1.0,6,1.0,1,41,0.0,5.0,-5.0,0.0,0.0,2004.0
109,25159,2003,MR,2004.0,64130.0,2024,80970.0,,2004.0,65220.0,2009.0,58340.0,2004.0,1,1.0,6,1.0,1,41,0.0,5.0,-5.0,0.0,0.0,2004.0
117,77057,2003,RC,2004.0,23590.0,2024,31000.0,,2006.0,17770.0,2009.0,17930.0,2004.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0
118,77057,2003,RC,2004.0,21820.0,2024,28940.0,,2006.0,17830.0,2009.0,17520.0,2004.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0
121,77057,2003,RC,2004.0,2650.0,2024,3010.0,,2006.0,2070.0,2009.0,2190.0,2004.0,1,5.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2006.0
122,20236,2004,MR,2004.0,40720.0,2024,61940.0,,2006.0,39990.0,2010.0,36130.0,2004.0,1,1.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0
123,20236,2004,MR,2004.0,40690.0,2024,61230.0,,2006.0,40130.0,2010.0,36520.0,2004.0,1,1.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0
125,20236,2004,MR,2004.0,8900.0,2024,12800.0,,2006.0,7020.0,2010.0,7270.0,2004.0,1,5.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0
126,20236,2004,MR,2004.0,8210.0,2024,13070.0,,2006.0,7230.0,2010.0,7890.0,2004.0,1,5.0,6,1.0,11,41,-2.0,6.0,-6.0,0.0,-2.0,2006.0
127,23586,2004,UNK,2004.0,4490.0,2016,5370.0,,2005.0,3850.0,2008.0,3490.0,2004.0,1,5.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0
128,23586,2004,UNK,2004.0,2450.0,2016,2800.0,,2005.0,2490.0,2008.0,2440.0,2004.0,1,5.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0
137,24794,2002,UNK,2005.0,15130.0,2025,22700.0,,2004.0,15580.0,2008.0,15190.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0
138,24794,2002,UNK,2005.0,17250.0,2025,26240.0,,2004.0,17800.0,2008.0,17340.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0
139,24794,2002,UNK,2005.0,15530.0,2025,24300.0,,2004.0,18020.0,2008.0,17770.0,2004.0,1,1.0,6,1.0,1,41,1.0,3.0,-4.0,1.0,0.0,2004.0
153,19932,2002,UNK,2005.0,36600.0,2025,49240.0,,2004.0,43330.0,2010.0,41700.0,2005.0,1,1.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2010.0
159,23265,2002,MR,2005.0,21140.0,2025,23650.0,,2005.0,14590.0,2009.0,13790.0,2005.0,1,3.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2005.0
164,23894,2002,MR,2005.0,16690.0,2025,21180.0,,2006.0,16060.0,2009.0,14700.0,2005.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
165,23894,2002,MR,2005.0,18820.0,2025,23860.0,,2006.0,16060.0,2009.0,14700.0,2005.0,1,3.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
166,23265,2002,MR,2005.0,8250.0,2025,10080.0,,2005.0,7570.0,2009.0,5970.0,2005.0,1,4.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2005.0
168,19503,2003,SPC,2005.0,14410.0,2017,17340.0,Combination of RC and MR,2005.0,14880.0,2007.0,17210.0,2005.0,1,3.0,6,1.0,1,41,0.0,2.0,-2.0,0.0,0.0,2005.0
169,23717,2003,RC,2005.0,10080.0,2017,11450.0,,2005.0,9290.0,2007.0,9810.0,2005.0,1,3.0,6,1.0,12,41,0.0,2.0,-2.0,0.0,0.0,2005.0
171,23903,2003,MR,2005.0,6530.0,2025,9340.0,,2004.0,5820.0,2010.0,6190.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0
172,23903,2003,MR,2005.0,2360.0,2025,2920.0,,2004.0,3290.0,2010.0,2680.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0
173,23903,2003,MR,2005.0,6560.0,2025,9130.0,,2004.0,6090.0,2010.0,6710.0,2005.0,1,4.0,6,1.0,2,41,1.0,5.0,-5.0,0.0,1.0,2010.0
174,75182,2003,UNK,2005.0,8430.0,2025,10040.0,,2006.0,7700.0,2009.0,6970.0,2005.0,1,5.0,6,1.0,2,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
175,75182,2003,UNK,2005.0,9230.0,2025,16520.0,,2006.0,6480.0,2009.0,5690.0,2005.0,1,5.0,6,1.0,2,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
176,76265,2003,RC,2005.0,6300.0,2025,8750.0,,2005.0,7160.0,2008.0,6840.0,2005.0,1,5.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2005.0
177,22219,2003,RC,2005.0,4060.0,2025,2100.0,,2004.0,4000.0,2010.0,3360.0,2005.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2010.0
178,22219,2003,RC,2005.0,2100.0,2025,2940.0,,2004.0,1950.0,2010.0,1950.0,2005.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2010.0
183,25713,2003,UNK,2005.0,70110.0,2025,85800.0,,2006.0,73350.0,2010.0,63940.0,2005.0,1,1.0,6,1.0,12,41,-1.0,5.0,-5.0,0.0,-1.0,2006.0
184,25713,2003,UNK,2005.0,136140.0,2025,162880.0,,2006.0,150740.0,2010.0,122460.0,2005.0,1,1.0,6,1.0,12,41,-1.0,5.0,-5.0,0.0,-1.0,2006.0
189,24441,2003,UNK,2005.0,97990.0,2025,108410.0,,2006.0,102780.0,2009.0,91640.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
190,24441,2003,UNK,2005.0,102150.0,2025,111310.0,,2006.0,104240.0,2009.0,92640.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
191,24441,2003,UNK,2005.0,102480.0,2025,111440.0,,2006.0,105090.0,2009.0,91330.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
192,24441,2003,UNK,2005.0,125470.0,2025,135180.0,,2006.0,128670.0,2009.0,113330.0,2005.0,1,1.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
197,19503,2003,SPC,2005.0,17270.0,2017,19550.0,Combination of RC and MR,2005.0,14210.0,2007.0,14230.0,2005.0,1,1.0,6,1.0,1,41,0.0,2.0,-2.0,0.0,0.0,2005.0
202,21785,2003,UNK,2005.0,14080.0,2025,17060.0,,2007.0,12810.0,2010.0,12340.0,2005.0,1,4.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0
210,23716,2004,UNK,2005.0,12560.0,2017,15880.0,,2006.0,11710.0,2009.0,10970.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
211,23587,2004,RC,2005.0,6340.0,2017,7590.0,,2006.0,3850.0,2009.0,3990.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
212,23576,2004,RC,2005.0,11930.0,2017,12680.0,,2005.0,11610.0,2008.0,13640.0,2005.0,1,4.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2005.0
213,10914,2004,MR,2005.0,73040.0,2025,84780.0,,2006.0,75310.0,2006.0,75310.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0
214,10914,2004,MR,2005.0,72910.0,2025,85330.0,,2006.0,72880.0,2006.0,72880.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0
215,10914,2004,MR,2005.0,68810.0,2025,80530.0,,2006.0,65950.0,2006.0,65950.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0
216,10914,2004,MR,2005.0,62360.0,2025,72980.0,,2006.0,57050.0,2006.0,57050.0,2005.0,1,1.0,6,1.0,11,41,-1.0,1.0,-1.0,0.0,-1.0,2006.0
217,18702,2004,MR,2005.0,89090.0,2025,104420.0,,2007.0,103690.0,2010.0,101580.0,2005.0,1,1.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0
218,75869,2004,MR,2005.0,104800.0,2025,123500.0,,2006.0,107210.0,2009.0,88050.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
219,75869,2004,MR,2005.0,92700.0,2025,122300.0,,2006.0,107060.0,2009.0,89580.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
220,75869,2004,MR,2005.0,96000.0,2025,126000.0,,2006.0,107060.0,2009.0,89580.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
221,75869,2004,MR,2005.0,83800.0,2025,113600.0,,2006.0,99300.0,2009.0,88530.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
226,76968,2004,MR,2005.0,27290.0,2025,28750.0,,2007.0,28540.0,2010.0,26910.0,2005.0,1,3.0,6,1.0,12,41,-2.0,5.0,-5.0,0.0,-2.0,2007.0
232,23584,2004,RC,2005.0,6870.0,2017,8400.0,,2006.0,6730.0,2009.0,5780.0,2005.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2006.0
235,23586,2004,MR,2005.0,26380.0,2025,34080.0,,2005.0,20610.0,2008.0,29090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0
236,23586,2004,MR,2005.0,22760.0,2025,29960.0,,2005.0,11990.0,2008.0,16090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0
237,23586,2004,MR,2005.0,15620.0,2025,21300.0,,2005.0,11990.0,2008.0,16090.0,2004.0,1,4.0,6,1.0,12,41,0.0,3.0,-4.0,1.0,-1.0,2005.0
294,22491,2003,UNK,2006.0,15180.0,2026,20940.0,,2005.0,13910.0,2008.0,12100.0,2006.0,1,4.0,6,1.0,3,41,1.0,2.0,-2.0,0.0,1.0,2008.0
295,22491,2003,UNK,2006.0,8730.0,2026,12300.0,,2006.0,6850.0,2009.0,6860.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0
296,22491,2003,UNK,2006.0,10410.0,2026,15930.0,,2006.0,8460.0,2009.0,8390.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0
297,22491,2003,UNK,2006.0,14850.0,2026,20600.0,,2006.0,12700.0,2009.0,12430.0,2006.0,1,4.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0
301,22491,2003,UNK,2006.0,3460.0,2026,4960.0,,2006.0,2250.0,2009.0,2250.0,2006.0,1,6.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0
302,22491,2003,UNK,2006.0,1460.0,2026,1970.0,,2006.0,1840.0,2009.0,1470.0,2006.0,1,6.0,6,1.0,3,41,0.0,3.0,-3.0,0.0,0.0,2006.0
329,77076,2004,MR,2006.0,13220.0,2018,17730.0,,2005.0,10550.0,2009.0,10590.0,2006.0,1,5.0,6,1.0,11,41,1.0,3.0,-3.0,0.0,1.0,2009.0
330,25677,2004,RC,2006.0,1340.0,2018,1720.0,,2007.0,890.0,2010.0,1000.0,2006.0,1,5.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2007.0
332,23582,2004,RC,2006.0,4580.0,2018,5860.0,,2006.0,3160.0,2009.0,3380.0,2006.0,1,5.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
333,23582,2004,RC,2006.0,990.0,2018,1020.0,Forecast over multiple log points,2006.0,280.0,2009.0,300.0,2006.0,1,5.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
334,23582,2004,RC,2006.0,5760.0,2018,7020.0,Forecast over multiple log points,2006.0,2090.0,2009.0,2150.0,2006.0,1,5.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
335,23582,2004,RC,2006.0,990.0,2018,1020.0,,2006.0,2440.0,2009.0,2160.0,2006.0,1,5.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
338,23582,2004,RC,2006.0,1570.0,2018,1800.0,,2005.0,870.0,2008.0,790.0,2006.0,1,5.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
340,25662,2004,RC,2006.0,2670.0,2018,3190.0,,2005.0,1260.0,2011.0,930.0,2006.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2011.0
341,25662,2004,RC,2006.0,3920.0,2018,4650.0,,2005.0,3840.0,2008.0,3210.0,2006.0,1,5.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
343,25657,2004,RC,2006.0,2140.0,2018,2340.0,,2006.0,1620.0,2009.0,1890.0,2006.0,1,5.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
344,25677,2004,RC,2006.0,750.0,2018,760.0,,2005.0,480.0,2008.0,540.0,2006.0,1,5.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
345,25677,2004,RC,2006.0,5660.0,2018,5690.0,,2005.0,4060.0,2008.0,3760.0,2006.0,1,5.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
346,25677,2004,RC,2006.0,930.0,2018,1000.0,,2007.0,630.0,2010.0,500.0,2006.0,1,6.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2007.0
348,77076,2004,MR,2006.0,71360.0,2018,76310.0,,2005.0,74970.0,2009.0,64620.0,2006.0,1,1.0,6,1.0,11,41,1.0,3.0,-3.0,0.0,1.0,2009.0
349,77076,2004,MR,2006.0,81210.0,2018,89470.0,,2005.0,83090.0,2009.0,72930.0,2006.0,1,1.0,6,1.0,11,41,1.0,3.0,-3.0,0.0,1.0,2009.0
350,23830,2004,RC,2006.0,37160.0,2026,50320.0,,2007.0,32090.0,2010.0,28090.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-5.0,1.0,-2.0,2007.0
351,23830,2004,RC,2006.0,54680.0,2026,70400.0,,2007.0,51190.0,2010.0,46300.0,2005.0,1,1.0,6,1.0,12,41,-1.0,4.0,-5.0,1.0,-2.0,2007.0
352,77129,2004,MR,2006.0,37760.0,2026,50980.0,,2006.0,25840.0,2010.0,27300.0,2006.0,1,1.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2006.0
353,77129,2004,MR,2006.0,29720.0,2026,41080.0,,2006.0,20450.0,2010.0,27090.0,2006.0,1,1.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2006.0
354,76480,2004,RC,2006.0,18720.0,2026,19660.0,,2006.0,15720.0,2009.0,13010.0,2006.0,1,3.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2006.0
355,76480,2004,RC,2006.0,19820.0,2026,20760.0,,2006.0,15720.0,2009.0,13010.0,2006.0,1,3.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2006.0
356,76480,2004,RC,2006.0,16840.0,2026,17590.0,,2006.0,9760.0,2009.0,10260.0,2006.0,1,3.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2006.0
357,76480,2004,RC,2006.0,13720.0,2026,14360.0,,2006.0,9760.0,2009.0,10260.0,2006.0,1,3.0,6,1.0,2,41,0.0,3.0,-3.0,0.0,0.0,2006.0
358,23825,2004,MR,2006.0,23980.0,2026,25090.0,,2006.0,20590.0,2009.0,18300.0,2005.0,1,3.0,6,1.0,1,41,0.0,3.0,-4.0,1.0,-1.0,2006.0
359,25695,2004,RC,2006.0,23920.0,2018,30210.0,,2006.0,19320.0,2009.0,15570.0,2006.0,1,3.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
361,77129,2004,MR,2006.0,14500.0,2026,20300.0,,2006.0,11030.0,2010.0,13700.0,2006.0,1,3.0,6,1.0,12,41,0.0,4.0,-4.0,0.0,0.0,2006.0
367,18239,2004,RC,2006.0,14100.0,2026,19070.0,,2007.0,15180.0,2010.0,13220.0,2006.0,1,4.0,6,1.0,12,41,-1.0,4.0,-4.0,0.0,-1.0,2007.0
368,25677,2004,RC,2006.0,7830.0,2018,8020.0,,2006.0,7580.0,2009.0,6860.0,2006.0,1,4.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
369,25695,2004,RC,2006.0,5390.0,2018,5780.0,Forecast for section between two log points with significant change in ADT,2006.0,1840.0,2009.0,1840.0,2006.0,1,4.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
370,25698,2004,RC,2006.0,8360.0,2018,11280.0,,2005.0,6290.0,2008.0,7690.0,2006.0,1,4.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
371,25698,2004,RC,2006.0,16420.0,2018,22430.0,,2005.0,12130.0,2008.0,14660.0,2006.0,1,4.0,6,1.0,1,41,1.0,2.0,-2.0,0.0,1.0,2008.0
372,77076,2004,MR,2006.0,14850.0,2018,22790.0,,2005.0,12840.0,2009.0,12050.0,2006.0,1,5.0,6,1.0,11,41,1.0,3.0,-3.0,0.0,1.0,2009.0
378,21075,2005,MR,2006.0,4170.0,2026,10680.0,,2008.0,3060.0,2008.0,3060.0,2006.0,1,5.0,6,1.0,12,41,-2.0,2.0,-2.0,0.0,-2.0,2008.0
382,21583,2005,RC,2006.0,41340.0,2018,51880.0,,2006.0,41370.0,2010.0,34550.0,2006.0,1,1.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2006.0
390,23735,2005,RC,2006.0,22730.0,2018,27910.0,,2006.0,21950.0,2010.0,18370.0,2006.0,1,1.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2006.0
391,23735,2005,RC,2006.0,20800.0,2018,25230.0,,2006.0,18810.0,2010.0,17790.0,2006.0,1,1.0,6,1.0,1,41,0.0,4.0,-4.0,0.0,0.0,2006.0
392,25499,2005,MR,2006.0,71460.0,2018,72630.0,,2005.0,65880.0,2009.0,65990.0,2006.0,1,1.0,6,1.0,3,41,1.0,3.0,-3.0,0.0,1.0,2009.0
394,75691,2006,RC,2006.0,8870.0,2026,9980.0,,2006.0,7150.0,2009.0,6620.0,2006.0,1,4.0,6,1.0,1,41,0.0,3.0,-3.0,0.0,0.0,2006.0
407,24598,2002,UNK,2007.0,3500.0,2027,4510.0,,2006.0,3360.0,2011.0,2800.0,2007.0,1,5.0,6,1.0,1,41,1.0,4.0,-4.0,0.0,1.0,2011.0
420,76375,2003,MR,2007.0,8950.0,2027,10670.0,,2006.0,7740.0,2010.0,7820.0,2007.0,1,4.0,6,1.0,2,41,1.0,3.0,-3.0,0.0,1.0,2010.0
