Forecast_Method,UnifiedImprovementType,count,mean,std,min,25%,50%,75%,max
1.0,1,59.0,22.880695418429063,35.392525368519166,1.9230769230769231,6.992950218529694,15.267175572519085,25.83405234397469,255.2941176470588
1.0,3,183.0,29.918638768557756,42.93266306101299,0.5988023952095808,8.630197768762677,17.969821673525377,34.62043539654676,351.764705882353
2.0,1,4.0,8.488393906183664,6.650591107400494,2.6687598116169546,2.8100470957613815,8.095238095238095,13.773584905660378,15.09433962264151
2.0,3,1.0,14.021739130434783,,14.021739130434783,14.021739130434783,14.021739130434783,14.021739130434783,14.021739130434783
2.6,3,1.0,12.353250394252672,,12.353250394252672,12.353250394252672,12.353250394252672,12.353250394252672,12.353250394252672
3.5,1,1.0,35.11972633979475,,35.11972633979475,35.11972633979475,35.11972633979475,35.11972633979475,35.11972633979475
4.0,1,79.0,21.568254522205095,16.554665906924967,0.42735042735042733,11.04918938835667,16.977225672877847,28.150112504018,77.82644401861484
4.0,3,55.0,19.168481878553855,19.514424211902163,0.21367521367521755,5.772891680944222,13.548387096774194,23.785793760759123,90.74074074074075
5.0,1,72.0,21.26984051588761,39.643436650779634,0.5376344086021505,5.616500814725859,15.667146196727206,21.530534351145036,329.7224709042077
5.0,2,1.0,6.260296540362445,,6.260296540362445,6.260296540362445,6.260296540362445,6.260296540362445,6.260296540362445
5.0,3,4.0,44.9974728585635,30.7957166643465,15.112582781456954,26.65720706720539,39.11592404144159,57.456189832799694,86.64546056991385
5.5,1,1.0,6.422018348623853,,6.422018348623853,6.422018348623853,6.422018348623853,6.422018348623853,6.422018348623853
6.0,1,471.0,16.348850606838937,53.40870840058805,0.0,3.971275789719731,10.756562017498714,19.534905185292807,1096.7810760667903
6.0,2,28.0,11.38400392021153,8.647356107823786,0.5212211466865228,3.9560078568028194,10.168057235112421,17.114899896945097,34.38324165473588
6.0,3,68.0,16.71521733410348,14.308587844789209,0.33444814711245685,5.776800099421842,12.414949142806208,24.20028303292631,68.82352941176471
