Change,count,mean,std,min,25%,50%,75%,max
"(-8, -6]",8.0,15.012482297000002,14.166294535421928,1.1494252870000001,2.4303204695000002,12.6533438865,26.8304843325,35.37414966
"(-6, -4]",93.0,14.9061045633656,14.816072673229813,0.0,4.329004329,12.04819277,18.47980417,83.42142857
"(-4, -2]",136.0,19.209411073830886,25.166586100051124,0.0,4.309496474,11.66463195,25.939703197500002,221.86652740000002
"(-2, 0]",367.0,17.986247879607628,22.314876597354065,0.0,5.338711076500001,11.39240506,23.570756995,227.6024741
"(0, 2]",263.0,16.801713794494287,17.157517261327857,0.0,5.149750192999999,11.76470588,23.455733705,130.7692308
"(2, 4]",217.0,17.05343515412442,16.176151514901736,0.0,6.188679245,12.80353201,23.44262218,108.1283976
"(4, 6]",166.0,17.54182308590362,12.088358117479627,0.46924394,7.327557788,15.58288684,24.7413059625,63.75545852
"(6, 8]",41.0,17.10511954002439,11.663340866788305,0.43668122299999995,8.777969019,15.38461538,20.45454545,57.77777778
