Range_Open,count,mean,std,min,5%,50%,95%,max,
3,4,16.73,21.70,-5.41,-3.21,13.08,41.78,46.17,19.44
5,229,2.13,36.05,-83.42,-40.20,-2.84,55.83,227.60,22.95
7,371,-7.35,21.30,-77.57,-39.70,-7.68,26.86,130.77,16.1
8,128,-8.17,25.21,-86.65,-46.55,-6.88,26.12,108.13,18.29
9,168,-5.41,24.68,-85.86,-33.34,-7.51,35.09,118.36,17.07
10,35,-5.15,22.33,-57.78,-28.14,-11.22,39.05,56.19,18.17
11,356,-8.68,18.08,-63.00,-34.43,-9.64,19.60,93.38,14.89
