UnifiedImprovementType,Forecast_Method,count,mean,std,min,5%,50%,95%,max,
1,1,67,-5.15,22.45,-46.21,-35.53,-6.09,21.46,93.38,17.04
1,2,5,-2.46,12.46,-15.09,-15.04,-0.35,11.74,13.57,9.64
1,4,105,-7.24,21.45,-61.64,-45.36,-7.51,29.48,63.76,17.03
1,5,139,-12.06,20.93,-83.42,-43.61,-12.07,18.73,65.64,18.56
1,6,470,-9.10,16.26,-65.08,-35.14,-8.19,12.89,118.36,13.49
2,4,1,-6.23,,-6.23,-6.23,-6.23,-6.23,-6.23,6.23
2,6,27,-9.33,9.71,-34.38,-19.35,-8.88,3.89,5.45,10.73
3,1,185,1.73,33.73,-77.57,-41.28,-5.17,58.56,147.37,24.08
3,2,2,-1.49,21.93,-17.00,-15.45,-1.49,12.47,14.02,15.51
3,4,73,-10.14,22.39,-85.86,-39.07,-11.31,10.93,90.74,16.81
3,5,38,-14.44,20.25,-86.65,-47.83,-13.64,10.45,30.00,18.52
3,6,179,5.05,35.58,-68.82,-33.62,-0.95,56.89,227.60,21.46
