,InternalProjectID_x,AverageCount,AverageForecast,Error,AbsError,PercentError,AbsPE,ImprovementType,YearForecastProduced,ForecastYear,State,Year_ofObservation,Decade_Count,Decade_ForecastProduced,Decade_Opening,Diff_Year,ForecastHorizon,InternalProjectID_y,FunctionalClass
0,10914,67797.5,69861.25,-2063.75,2063.75,-2.954069674,2.954069674,11.0,2004.0,2005.0,OH,2006.0,4,5,2002-2008,1.0,1,10914,1
1,12356,28800.0,31001.0,-2201.0,2201.0,-7.099770975,7.099770975,12.0,2006.0,2009.0,OH,2008.0,4,5,2008-2012,3.0,3,12343,1
2,13364,4610.0,4910.0,-300.0,300.0,-6.109979632999999,6.109979632999999,1.0,2009.0,2010.0,OH,2010.0,5,5,2008-2012,1.0,1,12356,1
3,13486,53705.0,60317.5,-6612.5,6612.5,-10.96282173,10.96282173,3.0,2005.0,2010.0,OH,2008.0,4,5,2008-2012,5.0,5,13364,5
4,13624,580.0,635.0,-55.0,55.0,-8.661417323,8.661417323,1.0,2008.0,2008.0,OH,2010.0,5,5,2002-2008,0.0,0,13486,1
5,14821,34445.0,28621.75,5823.25,5823.25,20.34554142,20.34554142,3.0,2005.0,2007.0,OH,2010.0,5,5,2002-2008,2.0,2,13624,6
6,16144,15556.0,16568.738,-1012.738,1012.738,-6.1123424129999995,6.1123424129999995,2.0,2007.0,2013.0,OH,2009.0,5,5,After 2012,6.0,6,14821,4
7,16514,54630.0,58143.333329999994,-3513.333333,3513.333333,-6.042538554,6.042538554,11.0,2003.0,2009.0,OH,2010.0,5,5,2008-2012,6.0,6,16144,3
8,16592,2040.0,2790.0,-750.0,750.0,-26.88172043,26.88172043,1.0,2009.0,2010.0,OH,2010.0,5,5,2008-2012,1.0,1,16514,1
9,1663,3600.0,5010.0,-1410.0,1410.0,-28.14371257,28.14371257,12.0,2007.0,2010.0,WI,2010.0,5,5,2008-2012,3.0,3,16579,5
10,16669,66695.0,76644.5,-9949.5,9949.5,-12.981361999999999,12.981361999999999,1.0,2010.0,2012.0,OH,2010.0,5,5,2008-2012,2.0,2,16592,5
11,1693,11820.0,10880.0,940.0,940.0,8.639705882000001,8.639705882000001,12.0,2007.0,2007.0,WI,2007.0,4,5,2002-2008,0.0,0,1663,3
