Decade_Count,Decade_ForecastProduced,count,mean,std,min,5%,50%,95%,max
1,1,71.0,26.35027396602817,24.72293239805979,0.955497382,2.354292789,19.49236977,71.40741721,130.7692308
1,2,5.0,65.8242482186,38.685840846450404,6.054481263,16.0817231444,69.31259088,103.74010851599999,107.0456881
2,1,13.0,48.082697579230775,24.108708905216485,0.97826087,12.074472662000003,45.45454545,84.97048962199997,91.86765152
2,2,23.0,31.889664274086954,16.906615494257387,3.129800307,5.9887857447,31.53318667,61.688959623999985,63.77622378
2,3,5.0,12.857716361000001,11.46837482706933,3.425133572,3.7361914122,6.10115766,27.568217611999998,29.35307342
3,1,4.0,20.502528357750002,22.996367336601562,3.738317757,4.66470069405,11.926798972,48.34637716149999,54.41819773
3,2,2.0,33.3660555245,34.76058397326486,8.786610879,11.244555343550001,33.3660555245,55.48755570545,57.94550017
3,3,3.0,40.24120258,15.709473620655888,25.50803418,26.801560460999998,38.44329699,54.939378612000006,56.77227657
4,1,6.0,52.31229608333333,47.12950133337068,26.08695652,26.52761457,34.96087567,121.18808052999998,147.36842109999998
4,2,13.0,33.048797782461534,31.868581459384856,2.1913081180000002,4.0344179842,21.038591600000004,81.8155236739999,118.05555559999999
4,3,28.0,13.963021240964284,14.353380428989677,1.4853556490000002,2.0993027053,9.559653238,48.6254893115,50.35722451
4,5,242.0,15.382170005690089,12.827563661557157,0.038738668999999996,1.2364969418,11.488253785,39.27336521899999,71.66666667
5,2,2.0,4.1261567335,2.9713329604538257,2.025107048,2.2352120165500002,4.1261567335,6.017101450449999,6.227206419
5,3,15.0,40.37389388393334,75.44755650346889,0.285477673,0.8383314738000001,11.79866284,223.58731141,227.6024741
5,5,505.0,16.199915819138628,14.383932575704165,0.0,1.1138629582,12.89016788,41.40021879999996,118.36228290000001
6,5,226.0,17.247118569526545,15.453529117338778,0.0,1.237120554,13.533535035,47.6800705925,86.64546057
