InternalProjectID,AverageCount,AverageForecast,Error,AbsError,PercentError,AbsPE,ImprovementType,YearForecastProduced,ForecastYear,State,Year_ofObservation,Decade_Count,Decade_ForecastProduced,Decade_Opening,Diff_Year,ForecastHorizon
10914,67797.5,69861.25,-2063.75,2063.75,-2.954069674,2.954069674,11,2004,2005,OH,2006,4,5,2002-2008,1,1
12356,28800,31001,-2201,2201,-7.099770975,7.099770975,12,2006,2009,OH,2008,4,5,2008-2012,3,3
13364,4610,4910,-300,300,-6.109979633,6.109979633,1,2009,2010,OH,2010,5,5,2008-2012,1,1
13486,53705,60317.5,-6612.5,6612.5,-10.96282173,10.96282173,3,2005,2010,OH,2008,4,5,2008-2012,5,5
13624,580,635,-55,55,-8.661417323,8.661417323,1,2008,2008,OH,2010,5,5,2002-2008,0,0
14821,34445,28621.75,5823.25,5823.25,20.34554142,20.34554142,3,2005,2007,OH,2010,5,5,2002-2008,2,2
16144,15556,16568.738,-1012.738,1012.738,-6.112342413,6.112342413,2,2007,2013,OH,2009,5,5,After 2012,6,6
16514,54630,58143.33333,-3513.333333,3513.333333,-6.042538554,6.042538554,11,2003,2009,OH,2010,5,5,2008-2012,6,6
16592,2040,2790,-750,750,-26.88172043,26.88172043,1,2009,2010,OH,2010,5,5,2008-2012,1,1
1663,3600,5010,-1410,1410,-28.14371257,28.14371257,12,2007,2010,WI,2010,5,5,2008-2012,3,3
16669,66695,76644.5,-9949.5,9949.5,-12.981362,12.981362,1,2010,2012,OH,2010,5,5,2008-2012,2,2
1693,11820,10880,940,940,8.639705882,8.639705882,12,2007,2007,WI,2007,4,5,2002-2008,0,0
16964,67020,62530,4490,4490,7.180553334,7.180553334,12,2002,2003,OH,2003,4,5,2002-2008,1,1
16987,2100,1900,200,200,10.52631579,10.52631579,12,2012,2014,OH,2015,6,5,After 2012,2,2
1745,3178.333333,3329.166667,-150.8333333,150.8333333,-4.530663329,4.530663329,12,2007,2009,WI,2009,5,5,2008-2012,2,2
1760,6460,8310,-1850,1850,-22.26233454,22.26233454,12,2007,2011,WI,2011,5,5,2008-2012,4,4
18221,7760,9880,-2120,2120,-21.45748988,21.45748988,1,2009,2010,OH,2009,5,5,2008-2012,1,1
18232,8020,6617,1403,1403,21.20296207,21.20296207,1,2008,2010,OH,2008,4,5,2008-2012,2,2
18239,15180,14348.5,831.5,831.5,5.795030839,5.795030839,12,2004,2006,OH,2007,4,5,2002-2008,2,2
18241,22520,25350.25,-2830.25,2830.25,-11.16458418,11.16458418,1,2009,2010,OH,2009,5,5,2008-2012,1,1
18242,21435,24301,-2866,2866,-11.79375334,11.79375334,1,2009,2010,OH,2009,5,5,2008-2012,1,1
18296,22230,30520,-8290,8290,-27.16251638,27.16251638,1,2005,2007,OH,2010,5,5,2002-2008,2,2
18604,4620,7151.67,-2531.67,2531.67,-35.39970385,35.39970385,1,2005,2007,OH,2009,5,5,2002-2008,2,2
18624,875,1117.5,-242.5,242.5,-21.70022371,21.70022371,1,2006,2008,OH,2010,5,5,2002-2008,2,2
18629,4030,5124.047143,-1094.047143,1094.047143,-21.35123102,21.35123102,1,2006,2008,OH,2009.714286,5,5,2002-2008,2,2
18630,9140,12087.5,-2947.5,2947.5,-24.38469493,24.38469493,1,2005,2007,OH,2008,4,5,2002-2008,2,2
1864,1300,2900,-1600,1600,-55.17241379,55.17241379,12,2005,2008,WI,2008,4,5,2002-2008,3,3
18702,103690,90623,13067,13067,14.41907683,14.41907683,12,2004,2005,OH,2007,4,5,2002-2008,1,1
18741,6750,7045,-295,295,-4.187366927,4.187366927,2,2010,2014,OH,2010,5,5,After 2012,4,4
1905,5700,6350,-650,650,-10.23622047,10.23622047,12,2005,2006,WI,2006,4,5,2002-2008,1,1
1929,13817.3913,16991.30435,-3173.913043,3173.913043,-18.67963153,18.67963153,12,2005,2009,WI,2009,5,5,2008-2012,4,4
1939,32600,37200,-4600,4600,-12.3655914,12.3655914,12,2005,2010,WI,2010,5,5,2008-2012,5,5
19468,12990,15657.5,-2667.5,2667.5,-17.03656395,17.03656395,12,2002,2005,OH,2010,5,5,2002-2008,3,3
19503,14545,15840,-1295,1295,-8.175505051,8.175505051,1,2003,2005,OH,2005,4,5,2002-2008,2,2
19567,4390,6120,-1730,1730,-28.26797386,28.26797386,1,2007,2009,OH,2009,5,5,2008-2012,2,2
19571,1000,1367,-367,367,-26.84711046,26.84711046,1,2009,2010,OH,2009,5,5,2008-2012,1,1
19578,10890,14509.58333,-3619.583333,3619.583333,-24.94615628,24.94615628,12,1999,2003,OH,2010,5,3,2002-2008,4,4
19580,7810,10430.83333,-2620.833333,2620.833333,-25.12582887,25.12582887,12,2002,2005,OH,2010,5,5,2002-2008,3,3
19585,52020,56244,-4224,4224,-7.510134414,7.510134414,1,2008,2010,OH,2008,4,5,2008-2012,2,2
1959,10512.5,14187.5,-3675,3675,-25.9030837,25.9030837,12,2006,2008,WI,2008,4,5,2002-2008,2,2
19601,1470,1488.5,-18.5,18.5,-1.242861942,1.242861942,1,2009,2010,OH,2009,5,5,2008-2012,1,1
1965,6900,7780,-880,880,-11.31105398,11.31105398,12,2005,2006,WI,2006,4,5,2002-2008,1,1
19654,6010,6340,-330,330,-5.205047319,5.205047319,1,2010,2012,OH,2012,5,5,2008-2012,2,2
1986,4800,4375,425,425,9.714285714,9.714285714,12,2007,2011,WI,2011,5,5,2008-2012,4,4
1990,14400,20025,-5625,5625,-28.08988764,28.08988764,12,2005,2010,WI,2010,5,5,2008-2012,5,5
19932,41700,39760,1940,1940,4.879275654,4.879275654,12,2002,2005,OH,2010,5,5,2002-2008,3,3
19971,9920,12630,-2710,2710,-21.45684877,21.45684877,1,2002,2005,OH,2009,5,5,2002-2008,3,3
20-Year Plan For District 9,48875,47904.875,970.125,970.125,2.025107048,2.025107048,12,1989,2010,MN,2010,5,2,2008-2012,21,6
2004,6500,7400,-900,900,-12.16216216,12.16216216,12,2005,2006,WI,2006,4,5,2002-2008,1,1
2005,6733.333333,6966.666667,-233.3333333,233.3333333,-3.349282297,3.349282297,12,2005,2006,WI,2006,4,5,2002-2008,1,1
2006,2650,2900,-250,250,-8.620689655,8.620689655,12,2005,2006,WI,2006,4,5,2002-2008,1,1
20082,31765,40170,-8405,8405,-20.92357481,20.92357481,12,2003,2006,OH,2009,5,5,2002-2008,3,3
2015,15200,18866.66667,-3666.666667,3666.666667,-19.43462898,19.43462898,12,2005,2007,WI,2007,4,5,2002-2008,2,2
2017,30800,36400,-5600,5600,-15.38461538,15.38461538,12,2005,2008,WI,2008,4,5,2002-2008,3,3
20233,8420,12920,-4500,4500,-34.82972136,34.82972136,1,2006,2009,OH,2009,5,5,2008-2012,3,3
20236,23592.5,25893,-2300.5,2300.5,-8.884640636,8.884640636,11,2004,2004,OH,2006,4,5,2002-2008,0,0
2035,12500,15000,-2500,2500,-16.66666667,16.66666667,12,2005,2006,WI,2006,4,5,2002-2008,1,1
20424,32848.57143,45045.14286,-12196.57143,12196.57143,-27.07632978,27.07632978,1,2004,2004,OH,2008,4,5,2002-2008,0,0
2064,12900,14200,-1300,1300,-9.154929577,9.154929577,12,2005,2006,WI,2006,4,5,2002-2008,1,1
2084,2575,1350,1225,1225,90.74074074,90.74074074,12,2005,2011,WI,2011,5,5,2008-2012,6,6
20874,550,299,251,251,83.94648829,83.94648829,1,2009,2011,OH,2009,5,5,2008-2012,2,2
20878,26610,32144.70833,-5534.708333,5534.708333,-17.21810096,17.21810096,12,2002,2007,OH,2010,5,5,2002-2008,5,5
20879,9045,11045,-2000,2000,-18.10774106,18.10774106,1,2003,2008,OH,2010,5,5,2002-2008,5,5
20981,7910,13320,-5410,5410,-40.61561562,40.61561562,1,2006,2008,OH,2008,4,5,2002-2008,2,2
21075,3060,4821,-1761,1761,-36.52769135,36.52769135,12,2005,2006,OH,2008,4,5,2002-2008,1,1
21147,8670,14284,-5614,5614,-39.30271633,39.30271633,1,2007,2010,OH,2008,4,5,2008-2012,3,3
