ForecastHorizon,count,mean,std,min,5%,50%,95%,max,,95%
0,42,-7.88,17.92,-45.45,-34.11,-9.54,0.33,62.74,14.76,12.72
1,189,-6.32,20.42,-48.89,-37.09,-8.62,2.45,91.87,16.00,30.56
2,314,-8.09,21.33,-86.65,-40.79,-8.19,0.53,93.38,16.39,24.57
3,254,-7.93,22.81,-83.42,-36.75,-9.75,1.85,107.05,17.91,30.40
4,119,-11.12,16.67,-54.58,-35.39,-13.52,-1.86,31.39,16.60,19.95
5,60,-8.97,25.83,-47.73,-44.72,-13.99,1.00,118.36,19.84,21.41
5+,185,6.12,41.23,-77.57,-41.48,-2.61,20.16,227.60,26.68,63.45
