UnifiedImprovementType,Forecast_Method,count,mean,std,min,25%,50%,75%,max
1,1.0,67.0,17.040787445,15.370396436471841,0.43668122299999995,6.3399130144999996,13.37209302,25.237068275,93.37979094
1,2.0,5.0,9.6445615694,6.816434996802917,0.346620451,4.395604396,13.57142857,14.81481481,15.09433962
1,4.0,105.0,17.029537985809526,14.832266003144865,0.0,6.164383562,13.84388807,23.68742369,63.75545852
1,5.0,139.0,18.55727671285612,15.41529218098838,0.639377537,8.091416211,14.28571429,23.876561764999998,83.42142857
1,6.0,470.0,13.492774925614903,12.838964111111384,0.0,3.9687447625,10.794085725,19.55768708,118.36228290000001
2,4.0,1.0,6.227206419,,6.227206419,6.227206419,6.227206419,6.227206419,6.227206419
2,6.0,27.0,10.728992116592591,8.073265840648862,0.521221147,3.6501838319999997,8.884640636,16.829919345,34.38324165
3,1.0,185.0,24.078931262935125,23.619473417915955,0.598802395,8.312958435,16.66666667,35.28761062,147.36842109999998
3,2.0,2.0,15.50889328,2.1031535682694327,14.02173913,14.765316205000001,15.50889328,16.252470355,16.99604743
3,4.0,73.0,16.81290479038357,17.85526737902744,0.21367521399999997,5.263157895,12.35325039,20.44653349,90.74074074
3,5.0,38.0,18.523649330736845,16.479988421356364,2.578796562,6.5762110145,15.604116545,24.409794795,86.64546057
3,6.0,179.0,21.455897369217883,28.783966607561805,0.285477673,5.4893551695,12.69230769,27.115269025,227.6024741
