Agency,count,mean,std,min,5%,50%,95%,max,
Agency A,381,-9.07,21.04,-83.42,-42.31,-10.29,22.03,93.38,17.41
Agency B,1,-6.23,,-6.23,-6.23,-6.23,-6.23,-6.23,6.23
Agency C,3,-39.75,51.35,-86.65,-82.75,-47.73,8.83,15.11,49.83
Agency D,99,11.67,40.92,-77.57,-46.55,8.79,81.20,147.37,31.94
Agency E,562,-9.45,16.25,-68.82,-35.49,-8.48,12.13,118.36,13.68
Agency F,132,-10.78,18.83,-85.86,-41.34,-10.35,11.66,90.74,15.87
European Projects,113,15.62,38.88,-33.94,-23.04,5.76,66.87,227.60,24.07
