AverageForecast,count,mean,std,min,5%,50%,95%,max,
"(0, 3000]",133,-1.85,42.15,-85.86,-45.01,-5.75,75.17,227.60,24.59
"(3000, 6000]",141,-0.39,29.85,-63.91,-36.53,-4.65,50.46,118.36,20.66
"(6000, 9000]",125,-5.68,21.94,-48.44,-35.29,-8.80,36.67,91.87,16.75
"(9000, 13000]",145,-4.66,19.99,-57.20,-31.34,-7.29,34.45,80.37,15.59
"(13000, 17000]",143,-6.20,21.61,-83.42,-37.76,-6.53,30.65,62.74,17.41
"(17000, 22000]",113,-5.65,25.47,-58.72,-41.62,-8.31,37.85,147.37,17.98
"(22000, 30000]",133,-5.65,25.36,-65.08,-40.31,-8.47,41.75,93.38,19.54
"(30000, 40000]",116,-10.44,19.50,-86.65,-42.03,-10.36,12.16,65.64,16.17
"(40000, 60000]",136,-9.06,16.02,-77.57,-34.44,-7.83,7.57,54.42,13.24
"(60000, 200000]",102,-9.55,10.69,-47.73,-27.17,-8.74,3.83,14.42,10.84
