FunctionalClass,Forecast_Method,count,mean,std,min,25%,50%,75%,max
1,1.0,9.0,14.35731765222222,10.937670983167171,1.6853932580000002,7.020547945,12.3655914,15.38461538,34.44444444
1,4.0,5.0,15.732895658199999,18.067690766923278,5.663430421,5.912596401,6.227206419,13.32026144,47.54098361
1,5.0,2.0,41.624379635,30.22346220345734,20.25316456,30.9387720975,41.624379635,52.309987172499994,62.99559471
1,6.0,171.0,10.582836742415203,9.86423205757308,0.00129234,2.9267589485,7.543498031,16.746167614999997,44.66896113
3,1.0,82.0,14.17603318263415,13.589082243644688,0.43668122299999995,5.731769505000001,10.0975538745,19.40373627,93.37979094
3,2.0,1.0,4.395604396,,4.395604396,4.395604396,4.395604396,4.395604396,4.395604396
3,4.0,90.0,16.56778288307777,14.110654883110982,0.21367521399999997,6.572948328,13.696137584999999,22.3670251675,71.66666667
3,5.0,64.0,16.302031451093747,13.852596398422914,0.639377537,8.23850071575,13.609231565,20.024615592500002,86.64546057
3,6.0,166.0,14.13261968354216,11.92640403972001,0.0,4.017874728000001,12.18983761,21.457329602500003,65.08498825
4,1.0,34.0,21.224117199705884,15.051085562767483,1.092896175,10.2027027025,18.595819165,28.2693315375,57.14285714
4,2.0,3.0,14.493527666666667,0.8106994436327778,13.57142857,14.19312169,14.81481481,14.954577215,15.09433962
4,4.0,31.0,17.55835092603226,20.292955506660814,0.0,3.7669097185,11.31105398,17.695940909999997,90.74074074
4,5.0,17.0,18.133431661764707,19.101403655596812,1.515151515,4.615384615,8.777969019,34.22818792,64.41441441
4,6.0,101.0,14.744999362237614,15.540529594926557,0.0,4.971983829,10.90555015,19.39120631,118.36228290000001
5,1.0,16.0,15.251369296874996,12.856925951330755,2.857142857,4.651162791,11.410488245,23.07692308,45.45454545
5,2.0,1.0,14.02173913,,14.02173913,14.02173913,14.02173913,14.02173913,14.02173913
5,4.0,11.0,29.300635148,25.447601185323727,3.966597077,11.12601626,21.18644068,39.915780145,85.86206897
5,6.0,117.0,16.525383706905984,14.896579381145246,0.0,5.64738292,12.23541559,24.56140351,83.94648829
6,1.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
6,4.0,1.0,44.68085106,,44.68085106,44.68085106,44.68085106,44.68085106,44.68085106
6,6.0,8.0,17.271302424749997,9.710250042724038,4.277594975,11.29643348075,14.144096189999999,26.924157932500002,29.45704931
8,1.0,110.0,30.064023355199996,27.305960490740954,0.955497382,10.2644245,24.32978048,42.0463258475,147.36842109999998
8,2.0,2.0,8.6713339405,11.772922719721155,0.346620451,4.50897719575,8.6713339405,12.83369068525,16.99604743
8,4.0,41.0,13.18558757229268,11.218832703988145,1.226993865,4.428904429,11.65048544,18.68131868,46.26865672
8,5.0,94.0,19.665032204946808,15.55194589892232,0.645374449,8.36038961025,16.00393497,26.917930419999998,83.42142857
8,6.0,113.0,24.383428603221247,34.22701810765729,0.285477673,5.573304933999999,14.28571429,31.53318667,227.6024741
