TollType,count,mean,std,min,5%,50%,95%,max,
No Tolls on 1+ lane,3799,-1.53,31.89,-92.74,-44.78,-5.67,62.38,147.62,22.6
Static Tolls on 1+ lane,7,16.16,34.96,-8.78,-7.97,8.60,68.85,93.38,20.41
