Decade_Opening,count,mean,std,min,5%,50%,95%,max,
Before 1990,98,17.81,44.87,-77.57,-43.07,11.51,107.21,178.07,34.87
1991-2000,43,21.53,30.26,-63.91,-32.63,24.73,61.85,80.37,31.02
2001-2002,7,74.35,104.63,-9.91,-5.82,13.94,225.88,227.60,77.18
2002-2008,378,-6.92,23.84,-65.08,-36.08,-10.40,37.59,147.37,18.59
2008-2012,547,-8.87,16.98,-85.86,-34.71,-7.67,12.65,90.74,14.02
After 2012,252,-9.20,19.35,-86.65,-43.19,-6.13,14.39,118.36,14.23
