Decade_ForecastProduced,count,mean,std,min,5%,50%,95%,max
1,191,15.36,41.39,-77.57,-36.67,7.62,84.51,227.60
2,926,-9.97,18.22,-85.86,-38.22,-10.32,15.94,93.38
3,208,-1.42,28.42,-86.65,-42.15,-1.98,35.67,178.07
