,Country,Location,Project,Section,Accuracy1,AMCAccuracy1,Zero,Main1,AMain1,Count1,ACount1,Yforecast,Yestimate,Yconstruct,Ytarget1,Yopen,Mopen,Ycount1
0,UK,A5,Weeford - Fazeley,A5 Improvements,-0.03,-0.03,,21500.0,21823.0,20850.0,21163.0,2002.0,,2001.0,2005.0,2005,10,2005.0
1,UK,A5,Weeford - Fazeley,A5 Old Route,0.45,0.45,,1450.0,1472.0,2100.0,2132.0,2002.0,,2001.0,2005.0,2005,10,2005.0
2,UK,A5,Weeford - Fazeley,A38 Northern Arm,0.27,0.27,,32000.0,32480.0,40500.0,41108.0,2002.0,,2001.0,2005.0,2005,10,2005.0
3,UK,A5,Weeford - Fazeley,A38 Southern Arm,0.03,0.03,,37000.0,37555.0,38000.0,38570.0,2002.0,,2001.0,2005.0,2005,10,2005.0
4,UK,A5,Weeford - Fazeley,A5 Western Arm,-0.09,-0.09,,22500.0,22838.0,20500.0,20808.0,2002.0,,2001.0,2005.0,2005,10,2005.0
8,UK,A6,Alvaston Bypass,Shardlow Road,2.64,2.54,,4200.0,4263.0,15300.0,15074.0,1999.0,,2002.0,2003.0,2003,12,2005.0
9,UK,A6,Alvaston Bypass,Bypass,-0.29,-0.31,,27700.0,28116.0,19750.0,19458.0,1999.0,,2002.0,2003.0,2003,12,2005.0
13,UK,A6,Great Glen Bypass,Old A6,-0.24,-0.25,,,,,,1991.0,,2002.0,,2003,2,
14,UK,A6,Great Glen Bypass,A6 Bypass,-0.27,-0.29,,,,,,1991.0,,2001.0,,2003,2,
18,UK,A6,Rushden - Higham Ferres,"A5028 (old A6), S of Rushden",0.39,0.39,,5700.0,5700.0,7900.0,7900.0,1990.0,,2002.0,,2003,8,2004.0
19,UK,A6,Rushden - Higham Ferres,"A5028 (old A6), N of Rushden",0.84,0.84,,11600.0,11600.0,21300.0,21300.0,1990.0,,2002.0,,2003,8,2004.0
20,UK,A6,Rushden - Higham Ferres,"A5028 (old A6), N of Higham Ferrers",1.83,1.83,,4000.0,4000.0,11300.0,11300.0,1990.0,,2002.0,,2003,8,2004.0
21,UK,A6,Rushden - Higham Ferres,B645 Kimbolton Rd,0.96,0.96,,2800.0,2800.0,5500.0,5500.0,1990.0,,2002.0,,2003,8,2004.0
22,UK,A6,Rushden - Higham Ferres,"A6 bypass, S of A45",0.6,0.6,,7300.0,7300.0,11700.0,11700.0,1990.0,,2002.0,,2003,8,2004.0
26,UK,A11,Roudham Heath - Attleborough,A11 Hargham,0.55,0.34,,18200.0,21000.0,28200.0,28200.0,1991.0,,2001.0,1996.0,2003,3,2004.0
27,UK,A11,Roudham Heath - Attleborough,A11 Attleborough Bypass (West of B1077),0.58,0.36,,15600.0,18100.0,24600.0,24600.0,1991.0,,,1996.0,2003,3,2004.0
28,UK,A11,Roudham Heath - Attleborough,A11 Roudham Heath,0.55,0.34,,16800.0,19500.0,26100.0,26100.0,1991.0,,,1996.0,2003,3,2004.0
29,UK,A11,Roudham Heath - Attleborough,"B1077 London Rd (East of A11, West of Fen St)",0.31,0.18,,3600.0,4000.0,4700.0,4700.0,1991.0,,,1996.0,2003,3,2004.0
30,UK,A11,Roudham Heath - Attleborough,Hargham Road,0.42,0.13,,1200.0,1500.0,1700.0,1700.0,1991.0,,,1996.0,2003,3,2004.0
31,UK,A11,Roudham Heath - Attleborough,Chalk Lane,0.0,-0.16,,800.0,950.0,800.0,800.0,1991.0,,,1996.0,2003,3,2004.0
32,UK,A11,Roudham Heath - Attleborough,"Heath Rd, just south of Snetterton Jn (Nth of Ind.",0.0,-0.13,,2300.0,2650.0,2300.0,2300.0,1991.0,,,1996.0,2003,3,2004.0
33,UK,A11,Roudham Heath - Attleborough,Harling Road,0.29,0.11,,2800.0,3250.0,3600.0,3600.0,1991.0,,,1996.0,2003,3,2004.0
37,UK,A1,Ferrybridge to Hook Moor,A1 J40-41,0.05,0.05,,53950.0,53950.0,56424.0,56424.0,1992.0,,2003.0,2007.0,2006,1,2007.0
38,UK,A1,Ferrybridge to Hook Moor,A1 J41-42,-0.11,-0.11,,58447.0,58447.0,51912.0,51912.0,1992.0,,2003.0,2007.0,2006,1,2007.0
39,UK,A1,Ferrybridge to Hook Moor,A1 S of M1,-0.25,-0.25,,63469.0,63469.0,47755.0,47755.0,1992.0,,2003.0,2007.0,2006,1,2007.0
40,UK,A1,Ferrybridge to Hook Moor,A1 S of Darrington,-0.14,-0.14,,73244.0,73244.0,63314.0,63314.0,1992.0,,2003.0,2007.0,2006,1,2007.0
