InternalProjectID,FunctionalClass,Count
10914,1,4
12343,1,1
12356,1,1
13364,5,1
13486,1,2
13624,6,1
14821,4,2
16144,3,5
16514,1,3
16579,5,1
16592,5,1
1663,3,5
16669,1,2
1693,3,5
16964,1,1
16987,5,1
1745,4,7
1745,5,2
1745,6,3
1760,3,5
18221,3,1
18232,5,1
18239,4,1
18241,1,1
18241,5,1
18242,1,1
18242,5,1
18296,1,1
18604,3,1
18624,5,2
18629,3,4
18629,5,3
18630,3,2
1864,4,1
18702,1,1
18741,1,1
18741,4,1
1905,3,1
1905,5,1
1929,3,3
1929,8,20
1939,1,4
19468,3,1
19503,1,1
19503,3,1
19567,3,1
19571,5,1
19578,1,2
19578,4,3
19578,5,1
19580,3,3
19585,1,1
1959,4,8
19601,5,1
1965,3,2
1965,4,3
19654,4,1
1986,4,2
1990,3,4
19932,1,1
19971,3,1
20-Year Plan For District 9,8,16
2004,3,1
2005,3,3
2006,4,4
20082,3,2
2015,4,3
2017,1,3
20233,3,1
20236,1,2
20236,5,2
2035,4,1
20383,5,1
20424,3,7
2064,3,1
2084,4,2
20874,5,1
20878,3,7
20878,4,5
20879,4,2
20981,4,1
20996,1,2
21075,5,1
21147,3,1
21177,1,1
21250,4,1
2126,3,2
2126,8,8
2137,3,8
2138,3,3
21453,1,2
2148,3,2
21509,4,1
2154,4,2
2154,5,2
2156,3,1
21582,3,1
21583,1,1
2159,3,4
2159,5,2
21616,1,2
21755,3,3
21785,4,1
2187,5,1
2191,4,1
21927,1,2
21927,3,1
21927,4,3
21938,3,2
2197,4,1
2198,3,1
22010,4,1
22010,5,1
2204,3,8
22080,3,1
2209,3,2
2209,4,1
2209,6,2
2214,4,3
2214,8,4
2217,3,2
22179,1,3
22200,1,5
22219,5,2
22232,3,3
22245,1,4
22245,3,2
22398,3,2
22398,5,2
2241,4,1
22491,4,4
22491,6,2
2252,3,10
22529,3,3
2253,4,2
2256,3,2
2256,5,1
2259,3,2
22598,3,1
2261,4,2
22666,5,1
22772,1,2
22772,3,3
22788,1,1
22853,1,3
22889,1,2
2293,3,1
2298,3,1
2298,5,2
23022,4,1
23029,3,2
23030,4,1
2308,3,3
23104,4,1
23174,5,4
2320,3,2
2322,3,3
23265,3,1
23265,4,1
2329,3,3
2341,3,2
2341,4,1
2345,3,2
2345,5,1
23569,3,2
23569,5,1
23574,4,4
23576,4,1
23577,4,1
23577,5,3
23582,5,5
23584,3,1
23586,4,3
23586,5,2
23587,3,1
23588,6,1
2359,3,3
2368,3,2
2369,3,1
2369,4,1
23716,3,1
23717,3,1
2372,4,2
2373,3,2
23730,1,4
23735,1,2
23736,1,4
23737,1,1
23737,3,2
23738,3,1
237506-2,3,1
237550-1,3,1
237565-1,4,1
237567-1,3,2
237576-1,3,1
237592-1,3,1
237592-2,3,3
237632-1,3,1
237650-2,3,2
237650-3,3,1
237965-1,3,1
23799,1,3
23800,1,1
23800,3,1
2381,4,2
23817,1,1
23823,1,1
23825,3,1
23828,1,1
23830,1,2
23832,3,1
23833,3,2
23835,1,6
238394-2,3,3
238394-2A,3,1
238394-3,3,1
238394-4,3,1
238395-4,3,1
238395-5,3,1
238422-1,3,2
238429-4,3,1
238429-5,3,1
238651-1,3,1
238677-1,4,1
238720-1,3,1
2388,4,2
2388,5,1
23894,3,2
23903,4,3
2391,5,1
23914,4,1
2396,3,2
2396,5,1
240373-1,3,1
24073,1,1
240887-1,3,1
240992-2,3,1
240992-5,3,1
241020-1,3,1
241043-1,3,1
2411,4,3
2411,6,1
241211-1,4,1
241543-1,3,1
2417,3,4
24247,3,2
242592-2,1,1
242696-1,3,1
24316,3,3
24316,4,1
24316,5,2
2442,5,1
24441,1,4
2449,4,2
2458,3,2
2458,4,1
24597,4,2
24598,5,1
2464,3,1
2465,3,2
2465,4,1
2467,3,4
2467,4,1
2467,5,1
2467,7,1
24691,1,1
24738,4,1
24738,5,1
24771,3,2
24794,1,3
2486,5,1
24947,3,2
24947,4,3
24956,1,1
24956,3,1
24957,1,4
2501,3,1
2514,5,3
25154,1,2
25159,1,2
25198,3,1
25199,1,1
25199,5,1
25203,1,2
25207,3,3
2523,4,1
25235,1,2
25235,3,1
25325,1,1
2533,1,2
2533,3,8
2533,4,4
2533,5,2
2533,8,4
2536,3,3
2536,4,2
25377,3,2
25377,5,1
25378,4,1
25378,5,5
25423,3,3
25438,4,3
2545,4,1
2545,5,2
2549,3,1
25499,1,1
2550,3,5
25508,1,4
25521,1,3
25528,1,4
25555,1,1
25574,1,1
25575,1,2
25594,1,3
25618,3,1
2564,5,1
25645,5,1
25654,3,3
25654,5,9
25657,5,1
25659,4,2
25661,3,1
25661,5,1
25662,5,2
25663,4,9
25663,5,3
25664,5,2
25666,5,3
25667,4,3
25668,3,3
25669,4,1
2567,3,2
25672,3,8
25673,5,4
25676,5,2
25677,4,1
25677,5,3
25677,6,1
25679,3,2
25679,4,1
25679,5,2
25681,4,5
25683,4,4
25695,3,1
25695,4,1
25697,3,1
25698,4,2
25700,3,7
25700,4,1
25713,1,2
25733,1,10
25733,3,8
25733,4,2
25734,1,1
2576,3,2
25760,1,2
25768,3,3
25769,3,3
2577,3,5
2577,4,1
2621,3,1
2627,3,1
2649,3,1
2653,3,1
2671,3,3
2690,3,1
2698,6,1
2717,5,1
2726,4,1
2729,4,2
2737,4,1
2739,4,1
2764,5,3
2833,1,5
2834,4,1
2840,3,4
2840,4,4
2840,5,2
2891,4,2
2923,3,3
2923,4,1
2926,4,3
2926,5,1
2927,3,2
2927,5,2
2962,3,4
2963,3,2
2963,5,2
3055,1,5
3055,8,8
3073,4,1
3076,1,3
3082,4,1
3082,5,1
3135,5,2
3200,6,1
3202,5,1
3209,4,2
3209,5,2
3231,4,4
3231,5,1
3253,4,2
3278,1,4
3317,3,2
3317,5,1
3324,1,3
3331,5,1
3362,3,2
3362,4,1
3364,5,1
3366,5,1
3374,5,1
3376,5,1
3384,4,1
3385,5,2
3394,1,1
3394,3,2
3394,8,7
3434,3,2
3434,4,1
3456,1,2
3456,3,24
3456,4,4
3489,3,2
3490,5,1
3493,3,1
3507,5,1
3512,3,1
3512,4,5
3531,4,1
3558,5,1
3609,3,2
404418-1,3,1
404525-1,3,2
405506-2,3,1
406869-3,1,1
406869-4,1,1
406869-5,1,1
406869-6,1,1
408638-1,3,1
408639-1,3,1
408905-1,4,1
409093-1,4,1
409165-1,3,2
409166-1,3,1
409167-1,4,2
409173-1,3,2
409180-1,4,3
409846-1,3,1
409847-1,3,1
409870-1,3,1
410250-1,4,1
410777-1,4,1
410983-1,3,3
411092-1,3,1
411116-1,3,1
411256-3,3,1
411256-4,3,1
411257-3,3,1
411257-4,3,1
411476-1,3,1
411603-1,3,1
411603-1A,3,2
411612-1,4,1
411613-1,3,1
411613-1A,3,2
411614-1,4,2
411660-1,3,1
411661-1,3,1
411662-1,3,1
411664-1,3,4
411666-1,3,1
411667-1,3,1
411672-1,3,5
411727-1,3,1
411728-1,3,1
411730-1,3,1
411742-1,3,3
411777-1,3,2
411778-1,3,1
411781-1,3,2
411782-1,3,1
411783-1,3,1
411787-1,1,1
411809-1,3,4
411981-1,4,1
411983-1,3,1
411983-1,4,1
411985-1,3,1
411993-1,3,2
411997-1,3,1
412357-1,3,1
413473-1,3,1
413570-1,3,1
413571-1,3,1
413574-1,4,1
413575-1,3,1
413576-1,3,1
413577-1,4,1
413578-1,3,1
413582-1,3,1
413583-1,3,1
413584-1,3,1
413585-1,3,1
413586-1,3,1
413587-1,3,1
413589-1,3,1
413590-1,3,1
413592-1,3,2
413594-1,3,1
413595-1,3,1
413596-1,3,1
413603-1,3,1
415973-1,4,1
415977-1,3,1
415978-1,3,1
416153-1,4,1
416187-1,3,1
416187-1,4,1
416188-1,3,1
416189-1,4,1
416194-1,3,1
416219-1,4,1
416221-1,4,1
416407-1,3,1
416408-1,3,1
416518-1,1,1
416657-1,3,1
416740-1,3,1
416753-1,4,1
416773-1,3,1
416798-1,3,1
416893-1,4,1
416939-1,3,2
417006-1,3,1
417141-1,4,2
417153-1,3,1
417154-1,3,2
417158-1,3,1
417165-1,3,1
417247-1,3,1
417378-1,3,1
417380-1,4,1
418321-1,3,1
418328-1,3,1
418647-1,3,1
419367-1,1,1
419370-1,3,1
419557-1,3,1
419561-1,3,1
419562-1,3,1
419563-1,3,1
419564-1,4,1
419581-1,3,1
419582-1,4,1
419583-1,4,1
419584-1,3,1
419585-1,3,1
419586-1,4,1
419587-1,5,1
419587-2,5,1
419588-1,3,1
419588-2,3,1
419589-1,3,1
419591-1,3,1
419592-1,3,1
419593-1,3,1
419595-1,3,1
419596-1,3,1
419597-1A,3,1
421621-1,3,1
421974-1,4,1
421975-1,3,1
421976-1,4,1
421977-1,3,1
421978-1,3,1
421979-1,4,1
421981-1,3,1
421986-1,4,1
421988-1,3,1
421989-1,3,1
421990-1,3,1
421991-1,3,1
422001-1,3,1
422002-1,3,1
422003-1,3,1
422004-1,3,1
422005-1,4,1
422008-1,4,1
422009-1,4,1
422010-1,4,1
422011-1,3,1
422012-1,4,1
422018-1,3,2
422019-1,3,1
422020-1,3,1
422022-1,3,1
422023-1,3,1
422024-1,3,1
422024-2,3,1
422026-1,3,1
422027-1,3,2
422028-1,4,1
422030-1,3,1
422030-2,3,1
422031-1,4,1
422032-1,3,1
422033-1,3,1
422223-1,4,1
422567-1,3,1
422627-1,3,1
422683-1,3,2
422707-1,3,2
422708-1,3,1
423096-1,4,1
423346-1,3,1
423347-1,3,1
423348-1,3,1
423350-1,3,1
423351-1,3,1
423352-1,3,1
423353-1,3,1
423356-1,4,2
423359-1,4,1
423360-1,4,1
423362-1,3,1
423362-2,3,1
423567-1,1,1
423630-1,3,1
424228-1,4,1
424524-1,4,1
424735-1,4,1
424881-1,4,1
424883-1,3,1
424884-1,3,1
424885-1,4,1
424886-1,3,1
424899-1,4,1
426566-1,3,1
665,3,3
75077,3,1
75078,3,1
75086,1,1
75182,5,2
75186,1,1
75253,1,1
75408,3,3
75418,1,4
75441,5,1
75443,5,1
75444,6,1
75472,3,1
75477,1,2
75518,3,1
75520,3,3
75529,1,1
75643,1,1
75691,4,1
75732,1,1
75736,1,3
75861,5,1
75863,1,5
75863,3,1
75869,1,4
75883,1,1
75883,3,1
75989,1,1
76002,1,3
76009,5,1
76158,5,1
76174,1,11
76254,3,1
76265,5,1
76267,4,1
76359,1,1
76375,4,4
76378,3,2
76411,1,1
76437,3,2
76441,3,1
76469,1,4
76480,3,4
76536,4,1
76565,3,2
76674,1,1
76721,1,5
76825,1,2
76938,3,2
76968,3,1
76990,5,1
77037,1,5
77057,3,2
77057,5,1
77076,1,2
77076,5,2
77078,1,1
77117,1,1
77129,1,2
77129,3,1
77198,3,3
77242,1,8
77242,3,2
77244,1,2
77248,1,1
77273,3,3
77284,3,8
77308,5,1
77314,1,3
77318,3,1
77326,1,3
77348,3,3
77349,3,1
77351,1,4
77355,1,3
77419,1,1
77447,1,4
77449,3,6
77557,3,2
77562,6,1
77568,1,1
77592,4,2
77592,5,2
77688,5,1
77801,1,9
77856,4,3
77873,1,2
77877,5,3
77895,3,1
77975,3,1
78041,4,4
78043,1,1
78044,5,1
78245,1,1
78248,1,3
78248,3,1
78267,3,2
78277,3,4
78278,3,4
78295,1,3
78295,3,8
78300,3,2
78300,5,1
78425,1,4
78483,3,3
78898,4,1
79014,3,2
79016,3,3
79029,3,9
79029,4,11
79078,1,12
79078,3,9
79175,1,3
79258,4,8
79352,1,4
79352,3,4
79357,1,5
79357,3,5
79400,3,1
79449,3,8
79449,4,3
79449,5,1
79453,3,3
79453,4,4
79455,3,6
79489,3,2
79535,1,1
79559,5,1
79601,3,9
79601,4,7
79608,1,4
79608,3,3
79745,3,2
79748,3,2
79853,1,6
79855,3,1
79944,1,3
79951,1,5
79951,3,3
80005,1,1
80030,1,2
80057,5,1
80059,3,1
80065,1,1
80096,3,3
80096,5,2
80102,1,5
80102,3,3
80114,5,1
80119,1,1
80122,5,1
80130,1,1
80139,5,1
80141,5,1
80142,5,1
80145,4,1
80168,4,3
80169,4,2
80170,5,4
80171,5,2
80172,4,3
80172,5,4
80173,4,8
80174,5,8
80175,5,3
80176,3,2
80177,3,1
80177,4,1
80178,4,2
80179,4,2
80179,5,1
80181,5,6
80182,5,3
80183,4,1
80183,5,1
80196,4,1
80197,4,1
80198,5,1
80209,4,1
80217,4,2
80395,1,1
80491,3,2
80605,4,1
80613,5,1
80619,1,4
80791,4,3
80810,1,5
80810,4,7
80931,1,1
80963,3,2
80993,4,1
81137,3,1
81137,4,2
81147,1,7
81162,5,1
81215,5,1
81243,3,2
81243,5,2
81269,3,1
81300,3,4
81300,4,4
81328,5,1
81338,1,2
81338,4,13
81359,1,1
81405,4,3
81485,3,2
81486,1,1
81504,3,2
81539,3,3
81587,3,1
81725,1,2
81796,1,4
81796,3,2
81797,3,2
81899,3,1
81918,5,1
81934,4,1
81935,3,1
81937,3,1
81940,4,1
82030,3,1
82030,4,1
82035,4,2
82040,4,3
82040,5,1
82131,3,5
82131,4,1
82131,5,6
82154,3,4
82249,1,2
82275,4,1
82277,3,3
82298,3,1
82298,4,3
82315,3,7
82315,4,1
82315,5,2
82485,5,1
82505,3,6
82506,3,3
82507,3,2
82606,3,2
82625,1,6
82632,3,2
82632,4,2
82689,4,4
82689,5,1
82757,3,2
82771,3,4
82772,4,1
82773,3,1
82773,4,3
82774,4,1
82812,5,1
82824,3,1
82826,5,1
82838,5,1
82961,1,2
83044,1,6
83079,3,2
83138,3,10
83203,4,1
83239,1,1
83245,1,4
83273,1,9
83301,1,9
83310,4,2
83359,4,4
83388,1,1
83406,5,2
83410,6,3
83414,5,3
83415,5,3
83417,3,1
83418,5,3
83426,4,1
83443,5,1
83444,5,1
83445,3,1
83446,3,1
83449,1,1
83456,4,2
83481,3,2
83489,1,1
83500,1,2
83540,5,1
83548,3,2
83555,3,1
83560,4,6
83571,3,10
83620,1,2
83621,4,2
83652,5,1
83653,3,1
83655,3,1
83663,1,3
83667,4,1
83667,5,1
83709,5,2
83827,5,1
83883,1,4
83883,4,1
83901,1,1
83907,6,1
83923,5,1
83964,1,1
83965,1,1
84096,1,1
84280,3,1
84280,5,1
84353,4,1
84425,1,6
84435,4,2
84483,1,1
84497,1,3
84506,1,6
84521,3,1
84521,4,1
84521,5,5
84521,6,1
84527,4,1
84555,3,1
