Change,count,mean,std,min,25%,50%,75%,max
"(-8, -6]",8.0,-8.68581035375,19.2881825100304,-35.37414966,-26.8304843325,-2.017039043,0.10746012049999998,21.42857143
"(-6, -4]",93.0,-5.628287573795698,20.30027462026586,-83.42142857,-15.42288557,-7.179115301,2.0,57.94550017
"(-4, -2]",136.0,4.446945427080883,31.387418920244325,-68.82352941,-12.272039034999999,-0.66920688,9.57558938775,221.86652740000002
"(-2, 0]",367.0,-4.657362099258849,28.294742219753907,-86.64546057,-17.537722549999998,-6.363427521,3.0497998825,227.6024741
"(0, 2]",263.0,-6.000663004326995,23.272517381427885,-57.19884393,-18.77405316,-6.3197026020000004,3.33471684,130.7692308
"(2, 4]",217.0,-8.01331430606912,22.12065609629011,-85.86206897,-19.88130564,-8.627673343,0.103060447,108.1283976
"(4, 6]",166.0,-11.752377689867473,17.797568358061415,-50.994764399999994,-22.7942586225,-13.941745990000001,-3.8461538460000004,63.75545852
"(6, 8]",41.0,-10.511725071829268,17.96314252657408,-57.77777778,-20.45454545,-11.52263374,1.075268817,20.10676157
